Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2008-03-10,NMDC,337.92,425.68,330.17,389.47,249849,38310104,Monday,,,False,False,,,False,False,,,False,True,,,False
2008-03-17,NMDC,359.37,374.52,309.54,314.28,129635,11171359,Monday,,,False,False,-75.19000000000005,-19.31,False,False,,,False,True,,,False
2008-03-24,NMDC,329.67,345.15,267.3,339.47,163455,9566910,Monday,,,False,False,25.190000000000055,8.02,True,False,,,False,True,,,False
2008-03-31,NMDC,345.15,392.7,333.3,336.2,268485,19347012,Monday,,,False,False,-3.2700000000000387,-0.96,False,False,,,False,True,,,False
2008-04-07,NMDC,349.47,493.37,344.85,493.37,301810,7678577,Monday,1,,False,False,157.17000000000002,46.75,True,True,124.50999999999999,36.4,True,True,,,False
2008-04-14,NMDC,518.03,518.03,427.35,429.96,478218,78787664,Monday,2,,True,False,-63.410000000000025,-12.85,False,True,124.50999999999999,36.4,True,True,,,False
2008-04-21,NMDC,441.21,445.5,392.7,425.02,204349,20942066,Monday,3,,False,False,-4.939999999999998,-1.15,False,True,124.50999999999999,36.4,True,True,,,False
2008-04-28,NMDC,446.28,489.89,435.6,489.89,264098,6024101,Monday,4,,True,False,64.87,15.26,True,True,124.50999999999999,36.4,True,True,,,False
2008-05-05,NMDC,514.39,516.24,448.8,475.84,917491,98250144,Monday,1,,False,False,-14.050000000000011,-2.87,False,False,-53.25,-11.41,False,True,,,False
2008-05-12,NMDC,475.2,509.85,457.08,478.05,477209,34834240,Monday,2,,True,False,2.2100000000000364,0.46,True,False,-53.25,-11.41,False,True,,,False
2008-05-19,NMDC,481.8,516.6,459.36,486.45,668189,52201436,Monday,3,,False,False,8.399999999999977,1.76,True,False,-53.25,-11.41,False,True,,,False
2008-05-26,NMDC,479.0,479.0,410.0,413.3,178408,6843421,Monday,4,,True,False,-73.14999999999998,-15.04,False,False,-53.25,-11.41,False,True,,,False
2008-06-02,NMDC,419.0,423.0,346.25,373.25,107006,8246212,Monday,1,,False,False,-40.05000000000001,-9.69,False,True,-140.65000000000003,-34.03,False,True,,,False
2008-06-09,NMDC,358.0,394.0,354.6,375.2,105418,6650796,Monday,2,,True,False,1.9499999999999886,0.52,True,True,-140.65000000000003,-34.03,False,True,,,False
2008-06-16,NMDC,383.0,389.0,353.6,353.6,46919,4850332,Monday,3,,False,False,-21.599999999999966,-5.76,False,True,-140.65000000000003,-34.03,False,True,,,False
2008-06-23,NMDC,340.0,349.0,287.0,287.0,130422,9044518,Monday,4,,True,False,-66.60000000000002,-18.83,False,True,-140.65000000000003,-34.03,False,True,,,False
2008-06-30,NMDC,287.0,287.0,230.95,230.95,86001,2562390,Monday,5,,False,False,-56.05000000000001,-19.53,False,True,-140.65000000000003,-34.03,False,True,,,False
2008-07-07,NMDC,219.4,264.0,208.45,241.4,334920,20619180,Monday,1,,False,False,10.450000000000017,4.52,True,False,57.05000000000001,20.92,True,True,,,False
2008-07-14,NMDC,236.05,253.5,216.05,229.75,338910,19125308,Monday,2,,True,False,-11.650000000000006,-4.83,False,False,57.05000000000001,20.92,True,True,,,False
2008-07-21,NMDC,241.25,271.2,218.3,271.2,326991,36546372,Monday,3,,False,False,41.44999999999999,18.04,True,False,57.05000000000001,20.92,True,True,,,False
2008-07-28,NMDC,269.8,346.2,269.8,346.2,445501,63236548,Monday,4,,True,False,75.0,27.65,True,False,57.05000000000001,20.92,True,True,,,False
2008-08-04,NMDC,362.35,381.1,312.1,343.85,719199,47774176,Monday,1,,False,False,-2.349999999999966,-0.68,False,True,-25.69999999999999,-7.79,False,True,,,False
2008-08-11,NMDC,361.05,379.1,344.05,352.0,589327,25170464,Monday,2,,True,False,8.149999999999977,2.37,True,True,-25.69999999999999,-7.79,False,True,,,False
2008-08-18,NMDC,350.0,363.8,323.15,326.6,508851,13235792,Monday,3,,False,False,-25.399999999999977,-7.22,False,True,-25.69999999999999,-7.79,False,True,,,False
2008-08-25,NMDC,335.0,341.0,288.3,304.0,250357,16309600,Monday,4,,True,False,-22.600000000000023,-6.92,False,True,-25.69999999999999,-7.79,False,True,,,False
2008-09-01,NMDC,304.0,325.05,297.7,298.35,252149,13601478,Monday,1,,False,False,-5.649999999999977,-1.86,False,False,-88.5,-29.11,False,True,,,False
2008-09-08,NMDC,308.0,311.0,270.25,279.2,334417,23648800,Monday,2,,True,False,-19.150000000000034,-6.42,False,False,-88.5,-29.11,False,True,,,False
2008-09-15,NMDC,275.35,275.35,200.8,216.85,540412,6627587,Monday,3,,False,False,-62.349999999999994,-22.33,False,False,-88.5,-29.11,False,True,,,False
2008-09-22,NMDC,227.7,248.5,222.1,233.4,341146,13024420,Monday,4,,True,False,16.55000000000001,7.63,True,False,-88.5,-29.11,False,True,,,False
2008-09-29,NMDC,231.0,231.0,210.7,216.25,188295,6380673,Monday,5,,False,False,-17.150000000000006,-7.35,False,False,-88.5,-29.11,False,True,,,False
2008-10-06,NMDC,206.05,210.0,180.8,183.0,138271,5633289,Monday,1,,False,False,-33.25,-15.38,False,True,-71.80000000000001,-33.32,False,True,,,False
2008-10-13,NMDC,186.0,193.0,173.85,175.0,220560,3470775,Monday,2,,True,False,-8.0,-4.37,False,True,-71.80000000000001,-33.32,False,True,,,False
2008-10-20,NMDC,181.5,183.75,149.6,149.6,99659,1192611,Monday,3,,False,False,-25.400000000000006,-14.51,False,True,-71.80000000000001,-33.32,False,True,,,False
2008-10-27,NMDC,148.0,148.95,138.2,143.7,58849,3561317,Monday,4,,True,False,-5.900000000000006,-3.94,False,True,-71.80000000000001,-33.32,False,True,,,False
2008-11-03,NMDC,143.7,166.4,143.7,155.6,160017,5779607,Monday,1,,False,False,11.900000000000006,8.28,True,False,-16.849999999999994,-11.73,False,True,,,False
2008-11-10,NMDC,160.0,204.7,157.0,173.0,658305,11681133,Monday,2,,True,False,17.400000000000006,11.18,True,False,-16.849999999999994,-11.73,False,True,,,False
2008-11-17,NMDC,176.0,176.0,138.0,142.9,253607,6469226,Monday,3,,False,False,-30.099999999999994,-17.4,False,False,-16.849999999999994,-11.73,False,True,,,False
2008-11-24,NMDC,140.05,148.9,119.0,126.85,115579,3407064,Monday,4,,True,False,-16.05000000000001,-11.23,False,False,-16.849999999999994,-11.73,False,True,,,False
2008-12-01,NMDC,128.6,141.95,121.2,131.9,229110,4810657,Monday,1,,False,False,5.050000000000011,3.98,True,True,38.900000000000006,30.67,True,True,,,False
2008-12-08,NMDC,141.0,149.0,135.0,141.8,185549,6939976,Monday,2,,True,False,9.900000000000006,7.51,True,True,38.900000000000006,30.67,True,True,,,False
2008-12-15,NMDC,143.9,195.0,140.75,171.85,1281956,11950106,Monday,3,,False,False,30.049999999999983,21.19,True,True,38.900000000000006,30.67,True,True,,,False
2008-12-22,NMDC,173.5,175.5,154.15,156.35,225814,7181469,Monday,4,,True,False,-15.5,-9.02,False,True,38.900000000000006,30.67,True,True,,,False
2008-12-29,NMDC,157.0,200.7,152.5,188.75,955908,87327640,Monday,5,,False,False,32.400000000000006,20.72,True,True,38.900000000000006,30.67,True,True,,,False
2009-01-05,NMDC,192.4,195.5,143.0,147.95,381254,9350292,Monday,1,1,False,False,-40.80000000000001,-21.62,False,False,0.5500000000000114,0.33,True,False,257.9,155.6,True
2009-01-12,NMDC,148.0,156.8,141.0,151.2,214881,7353007,Monday,2,2,True,True,3.25,2.2,True,False,0.5500000000000114,0.33,True,False,257.9,155.6,True
2009-01-19,NMDC,152.8,156.3,143.7,145.6,202553,6757151,Monday,3,3,False,False,-5.599999999999994,-3.7,False,False,0.5500000000000114,0.33,True,False,257.9,155.6,True
2009-01-26,NMDC,144.0,178.5,144.0,166.3,623361,13778620,Monday,4,4,True,True,20.700000000000017,14.22,True,False,0.5500000000000114,0.33,True,False,257.9,155.6,True
2009-02-02,NMDC,167.0,172.0,157.6,159.2,167397,5038839,Monday,1,5,False,False,-7.100000000000023,-4.27,False,True,-14.600000000000023,-8.78,False,False,257.9,155.6,True
2009-02-09,NMDC,162.0,177.0,162.0,168.4,351012,4028633,Monday,2,6,True,True,9.200000000000017,5.78,True,True,-14.600000000000023,-8.78,False,False,257.9,155.6,True
2009-02-16,NMDC,170.0,172.0,150.0,152.65,106054,3105970,Monday,3,7,False,False,-15.75,-9.35,False,True,-14.600000000000023,-8.78,False,False,257.9,155.6,True
2009-02-23,NMDC,152.0,157.0,146.1,151.7,110007,5465751,Monday,4,8,True,True,-0.950000000000017,-0.62,False,True,-14.600000000000023,-8.78,False,False,257.9,155.6,True
2009-03-02,NMDC,150.2,153.0,140.1,143.4,135436,1896322,Monday,1,9,False,False,-8.299999999999983,-5.47,False,False,4.100000000000023,2.7,True,False,257.9,155.6,True
2009-03-09,NMDC,142.85,150.0,141.5,143.5,51111,3446296,Monday,2,10,True,True,0.09999999999999432,0.07,True,False,4.100000000000023,2.7,True,False,257.9,155.6,True
2009-03-16,NMDC,144.0,159.35,140.25,150.8,351751,5504653,Monday,3,11,False,False,7.300000000000011,5.09,True,False,4.100000000000023,2.7,True,False,257.9,155.6,True
2009-03-23,NMDC,154.0,171.9,151.7,159.85,696397,15728761,Monday,4,12,True,True,9.049999999999983,6.0,True,False,4.100000000000023,2.7,True,False,257.9,155.6,True
2009-03-30,NMDC,157.0,165.3,154.2,161.35,304736,17348836,Monday,5,13,False,False,1.5,0.94,True,False,4.100000000000023,2.7,True,False,257.9,155.6,True
2009-04-06,NMDC,164.25,181.5,159.0,167.3,504104,33631316,Monday,1,14,False,True,5.950000000000017,3.69,True,True,42.14999999999998,27.05,True,False,257.9,155.6,True
2009-04-13,NMDC,171.0,241.0,168.55,206.15,2807117,47107128,Monday,2,15,True,False,38.849999999999994,23.22,True,True,42.14999999999998,27.05,True,False,257.9,155.6,True
2009-04-20,NMDC,206.0,221.1,196.5,210.65,952002,29433492,Monday,3,16,False,True,4.5,2.18,True,True,42.14999999999998,27.05,True,False,257.9,155.6,True
2009-04-27,NMDC,209.6,215.0,190.25,197.95,229005,17113964,Monday,4,17,True,False,-12.700000000000017,-6.03,False,True,42.14999999999998,27.05,True,False,257.9,155.6,True
2009-05-04,NMDC,203.95,236.3,200.0,230.15,1658689,82096112,Monday,1,18,False,True,32.20000000000002,16.27,True,False,250.75,126.67,True,False,257.9,155.6,True
2009-05-11,NMDC,234.0,234.0,208.0,222.15,1168445,33164550,Monday,2,19,True,False,-8.0,-3.48,False,False,250.75,126.67,True,False,257.9,155.6,True
2009-05-18,NMDC,266.4,310.9,225.0,297.85,1729223,75135344,Monday,3,20,False,True,75.70000000000002,34.08,True,False,250.75,126.67,True,False,257.9,155.6,True
2009-05-25,NMDC,304.7,462.9,300.1,448.7,3811683,368592704,Monday,4,21,True,False,150.84999999999997,50.65,True,False,250.75,126.67,True,False,257.9,155.6,True
2009-06-01,NMDC,459.8,474.4,391.3,417.65,1391931,168322560,Monday,1,22,False,True,-31.05000000000001,-6.92,False,True,-90.05000000000001,-20.07,False,False,257.9,155.6,True
2009-06-08,NMDC,427.3,430.0,377.0,396.3,1386903,90934992,Monday,2,23,True,False,-21.349999999999966,-5.11,False,True,-90.05000000000001,-20.07,False,False,257.9,155.6,True
2009-06-15,NMDC,393.0,414.6,346.0,356.25,729344,45115500,Monday,3,24,False,True,-40.05000000000001,-10.11,False,True,-90.05000000000001,-20.07,False,False,257.9,155.6,True
2009-06-22,NMDC,366.9,378.0,333.0,368.45,583941,31497686,Monday,4,25,True,False,12.199999999999989,3.42,True,True,-90.05000000000001,-20.07,False,False,257.9,155.6,True
2009-06-29,NMDC,370.0,374.95,345.6,360.5,433820,23036672,Monday,5,26,False,True,-7.949999999999989,-2.16,False,True,-90.05000000000001,-20.07,False,False,257.9,155.6,True
2009-07-06,NMDC,364.9,372.15,302.9,309.55,908779,31140110,Monday,1,27,False,False,-50.94999999999999,-14.13,False,False,0.10000000000002274,0.03,True,False,257.9,155.6,True
2009-07-13,NMDC,309.9,394.3,298.05,389.85,3364364,600388096,Monday,2,28,True,True,80.30000000000001,25.94,True,False,0.10000000000002274,0.03,True,False,257.9,155.6,True
2009-07-20,NMDC,400.75,400.75,362.0,370.1,1349602,41619968,Monday,3,29,False,False,-19.75,-5.07,False,False,0.10000000000002274,0.03,True,False,257.9,155.6,True
2009-07-27,NMDC,375.0,388.75,349.2,358.75,753427,24857788,Monday,4,30,True,True,-11.350000000000023,-3.07,False,False,0.10000000000002274,0.03,True,False,257.9,155.6,True
2009-08-03,NMDC,357.0,402.85,347.1,377.05,1321942,91930816,Monday,1,31,False,False,18.30000000000001,5.1,True,True,17.30000000000001,4.82,True,False,257.9,155.6,True
2009-08-10,NMDC,385.1,388.0,356.2,364.7,551324,40750484,Monday,2,32,True,True,-12.350000000000023,-3.28,False,True,17.30000000000001,4.82,True,False,257.9,155.6,True
2009-08-17,NMDC,362.5,368.0,345.5,357.0,375034,20357924,Monday,3,33,False,False,-7.699999999999989,-2.11,False,True,17.30000000000001,4.82,True,False,257.9,155.6,True
2009-08-24,NMDC,360.0,383.5,357.05,374.55,738980,86774240,Monday,4,34,True,True,17.55000000000001,4.92,True,True,17.30000000000001,4.82,True,False,257.9,155.6,True
2009-08-31,NMDC,370.0,379.9,357.1,363.45,333252,21750666,Monday,5,35,False,False,-11.100000000000023,-2.96,False,True,17.30000000000001,4.82,True,False,257.9,155.6,True
2009-09-07,NMDC,365.0,379.7,357.25,359.45,579027,72565408,Monday,1,36,False,True,-4.0,-1.1,False,False,-17.0,-4.52,False,False,257.9,155.6,True
2009-09-14,NMDC,359.45,369.8,355.25,362.2,301772,20677998,Monday,2,37,True,False,2.75,0.77,True,False,-17.0,-4.52,False,False,257.9,155.6,True
2009-09-21,NMDC,366.0,368.0,349.0,357.8,258902,31025552,Monday,3,38,False,True,-4.399999999999977,-1.21,False,False,-17.0,-4.52,False,False,257.9,155.6,True
2009-09-28,NMDC,363.0,368.0,352.0,356.45,236960,22787136,Monday,4,39,True,False,-1.3500000000000227,-0.38,False,False,-17.0,-4.52,False,False,257.9,155.6,True
2009-10-05,NMDC,354.0,360.0,338.35,342.45,231121,17603300,Monday,1,40,False,True,-14.0,-3.93,False,True,-58.55000000000001,-16.31,False,False,257.9,155.6,True
2009-10-12,NMDC,344.05,357.95,339.0,350.45,272010,5151615,Monday,2,41,True,False,8.0,2.34,True,True,-58.55000000000001,-16.31,False,False,257.9,155.6,True
2009-10-19,NMDC,354.8,359.0,333.8,335.9,303526,15777559,Monday,3,42,False,True,-14.550000000000011,-4.15,False,True,-58.55000000000001,-16.31,False,False,257.9,155.6,True
2009-10-26,NMDC,338.95,339.0,282.1,300.5,288715,14434518,Monday,4,43,True,False,-35.39999999999998,-10.54,False,True,-58.55000000000001,-16.31,False,False,257.9,155.6,True
2009-11-02,NMDC,303.5,338.0,282.5,338.0,338001,19399172,Monday,1,44,False,True,37.5,12.48,True,False,109.5,36.44,True,False,257.9,155.6,True
2009-11-09,NMDC,349.7,475.45,347.0,435.45,12345531,1360639744,Monday,2,45,True,False,97.44999999999999,28.83,True,False,109.5,36.44,True,False,257.9,155.6,True
2009-11-16,NMDC,438.8,448.8,412.1,413.7,2745068,121202936,Monday,3,46,False,True,-21.75,-4.99,False,False,109.5,36.44,True,False,257.9,155.6,True
2009-11-23,NMDC,413.0,427.8,370.0,396.25,1781566,111039952,Monday,4,47,True,False,-17.44999999999999,-4.22,False,False,109.5,36.44,True,False,257.9,155.6,True
2009-11-30,NMDC,401.0,427.8,400.0,415.25,1933021,107231256,Monday,5,48,False,True,19.0,4.79,True,False,109.5,36.44,True,False,257.9,155.6,True
