Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2004-11-11,NTPC,62.92,63.29,61.92,62.04,40049832,1188328064,Thursday,2004-11-05,,,False,False,,,False,False,,,False,True,,,False
2004-11-18,NTPC,62.5,68.67,61.0,61.38,66598083,1322338688,Thursday,2004-11-12,,,False,False,-0.6599999999999966,-1.06,False,False,,,False,True,,,False
2004-11-25,NTPC,61.38,65.83,60.0,64.21,153755134,1813636992,Thursday,2004-11-19,,,False,False,2.829999999999991,4.61,True,False,,,False,True,,,False
2004-12-02,NTPC,64.33,67.79,63.96,67.04,127293214,1464218240,Thursday,2004-11-26,1,,False,False,2.8300000000000125,4.41,True,True,6.789999999999992,10.3,True,True,,,False
2004-12-09,NTPC,67.29,68.42,66.04,66.67,91610706,753485056,Thursday,2004-12-03,2,,True,False,-0.37000000000000455,-0.55,False,True,6.789999999999992,10.3,True,True,,,False
2004-12-16,NTPC,68.0,70.83,65.58,69.83,80004125,814465920,Thursday,2004-12-10,3,,False,False,3.1599999999999966,4.74,True,True,6.789999999999992,10.3,True,True,,,False
2004-12-23,NTPC,70.08,70.79,68.75,69.38,47575796,485389888,Thursday,2004-12-17,4,,True,False,-0.45000000000000284,-0.64,False,True,6.789999999999992,10.3,True,True,,,False
2004-12-30,NTPC,69.79,74.25,69.17,71.38,71970710,1407584512,Thursday,2004-12-24,5,,False,False,2.0,2.88,True,True,6.789999999999992,10.3,True,True,,,False
2005-01-06,NTPC,71.75,74.71,68.0,68.92,72941120,1522715648,Thursday,2004-12-31,1,1,False,False,-2.4599999999999937,-3.45,False,False,-0.6299999999999955,-0.87,False,False,20.620000000000005,28.36,True
2005-01-13,NTPC,69.92,73.33,65.0,68.17,58638787,901002496,Thursday,2005-01-07,2,2,True,True,-0.75,-1.09,False,False,-0.6299999999999955,-0.87,False,False,20.620000000000005,28.36,True
2005-01-20,NTPC,68.63,68.83,64.58,65.21,52740822,687590208,Thursday,2005-01-14,3,3,False,False,-2.960000000000008,-4.34,False,False,-0.6299999999999955,-0.87,False,False,20.620000000000005,28.36,True
2005-01-27,NTPC,70.58,70.58,64.5,66.58,40812645,910006848,Thursday,2005-01-21,4,4,True,True,1.3700000000000045,2.1,True,False,-0.6299999999999955,-0.87,False,False,20.620000000000005,28.36,True
2005-02-03,NTPC,67.29,77.0,67.08,76.54,157886892,1682047616,Thursday,2005-01-28,1,5,False,False,9.960000000000008,14.96,True,True,5.420000000000002,7.52,True,False,20.620000000000005,28.36,True
2005-02-10,NTPC,77.04,78.17,75.21,76.71,84948360,861371072,Thursday,2005-02-04,2,6,True,True,0.1699999999999875,0.22,True,True,5.420000000000002,7.52,True,False,20.620000000000005,28.36,True
2005-02-17,NTPC,77.04,77.87,76.0,77.0,61470943,999144704,Thursday,2005-02-11,3,7,False,False,0.29000000000000625,0.38,True,True,5.420000000000002,7.52,True,False,20.620000000000005,28.36,True
2005-02-24,NTPC,77.25,79.58,76.58,78.21,68812543,1433234432,Thursday,2005-02-18,4,8,True,True,1.2099999999999937,1.57,True,True,5.420000000000002,7.52,True,False,20.620000000000005,28.36,True
2005-03-03,NTPC,78.29,78.46,76.75,78.29,36615358,371380672,Thursday,2005-02-25,1,9,False,False,0.0800000000000125,0.1,True,False,-6.420000000000002,-8.28,False,False,20.620000000000005,28.36,True
2005-03-10,NTPC,78.46,79.04,76.5,77.54,44753259,401031648,Thursday,2005-03-04,2,10,True,True,-0.75,-0.96,False,False,-6.420000000000002,-8.28,False,False,20.620000000000005,28.36,True
2005-03-17,NTPC,77.83,78.33,74.63,75.04,21720457,237216384,Thursday,2005-03-11,3,11,False,False,-2.5,-3.22,False,False,-6.420000000000002,-8.28,False,False,20.620000000000005,28.36,True
2005-03-24,NTPC,75.0,79.58,69.17,70.08,28703381,445047680,Thursday,2005-03-18,4,12,True,True,-4.960000000000008,-6.61,False,False,-6.420000000000002,-8.28,False,False,20.620000000000005,28.36,True
2005-03-31,NTPC,71.17,72.46,70.17,71.08,25724234,538810624,Thursday,2005-03-25,5,13,False,False,1.0,1.43,True,False,-6.420000000000002,-8.28,False,False,20.620000000000005,28.36,True
2005-04-07,NTPC,82.5,82.5,69.92,70.88,28742505,247599616,Thursday,2005-04-01,1,14,False,True,-0.20000000000000284,-0.28,False,True,-2.6200000000000045,-3.69,False,False,20.620000000000005,28.36,True
2005-04-14,NTPC,71.25,71.96,70.17,71.75,26406405,666858752,Thursday,2005-04-08,2,15,True,False,0.8700000000000045,1.23,True,True,-2.6200000000000045,-3.69,False,False,20.620000000000005,28.36,True
2005-04-21,NTPC,71.25,71.25,66.67,71.04,23065619,152786416,Thursday,2005-04-15,3,16,False,True,-0.7099999999999937,-0.99,False,True,-2.6200000000000045,-3.69,False,False,20.620000000000005,28.36,True
2005-04-28,NTPC,71.13,71.88,67.29,68.0,26774642,1029949632,Thursday,2005-04-22,4,17,True,False,-3.0400000000000063,-4.28,False,True,-2.6200000000000045,-3.69,False,False,20.620000000000005,28.36,True
2005-05-05,NTPC,67.96,69.46,67.63,68.83,17300610,201673104,Thursday,2005-04-29,1,18,False,True,0.8299999999999983,1.22,True,False,1.1200000000000045,1.64,True,False,20.620000000000005,28.36,True
2005-05-12,NTPC,68.83,71.67,68.58,70.58,18773796,155884672,Thursday,2005-05-06,2,19,True,False,1.75,2.54,True,False,1.1200000000000045,1.64,True,False,20.620000000000005,28.36,True
2005-05-19,NTPC,70.42,71.25,69.38,70.0,9926114,65213652,Thursday,2005-05-13,3,20,False,True,-0.5799999999999983,-0.82,False,False,1.1200000000000045,1.64,True,False,20.620000000000005,28.36,True
2005-05-26,NTPC,70.0,70.42,67.71,68.71,17378333,762427008,Thursday,2005-05-20,4,21,True,False,-1.2900000000000063,-1.84,False,False,1.1200000000000045,1.64,True,False,20.620000000000005,28.36,True
2005-06-02,NTPC,69.17,70.17,68.5,68.63,12516543,146087408,Thursday,2005-05-27,1,22,False,True,-0.0799999999999983,-0.12,False,True,-0.4099999999999966,-0.59,False,False,20.620000000000005,28.36,True
2005-06-09,NTPC,68.63,73.08,68.58,71.58,27642623,170606256,Thursday,2005-06-03,2,23,True,False,2.950000000000003,4.3,True,True,-0.4099999999999966,-0.59,False,False,20.620000000000005,28.36,True
2005-06-16,NTPC,72.08,72.21,69.0,69.08,14832244,87601264,Thursday,2005-06-10,3,24,False,True,-2.5,-3.49,False,True,-0.4099999999999966,-0.59,False,False,20.620000000000005,28.36,True
2005-06-23,NTPC,69.38,71.42,68.33,70.29,16411450,329973824,Thursday,2005-06-17,4,25,True,False,1.210000000000008,1.75,True,True,-0.4099999999999966,-0.59,False,False,20.620000000000005,28.36,True
2005-06-30,NTPC,70.08,72.04,68.79,69.17,20656061,416808896,Thursday,2005-06-24,5,26,False,True,-1.1200000000000045,-1.59,False,True,-0.4099999999999966,-0.59,False,False,20.620000000000005,28.36,True
2005-07-07,NTPC,69.58,75.21,69.38,72.67,38996828,572313280,Thursday,2005-07-01,1,27,False,False,3.5,5.06,True,False,9.0,13.01,True,False,20.620000000000005,28.36,True
2005-07-14,NTPC,73.29,76.58,72.83,76.29,28657494,582311936,Thursday,2005-07-08,2,28,True,True,3.6200000000000045,4.98,True,False,9.0,13.01,True,False,20.620000000000005,28.36,True
2005-07-21,NTPC,75.04,77.92,75.04,76.75,25329891,595882176,Thursday,2005-07-15,3,29,False,False,0.45999999999999375,0.6,True,False,9.0,13.01,True,False,20.620000000000005,28.36,True
2005-07-28,NTPC,69.12,81.58,69.12,78.58,30107075,271974688,Thursday,2005-07-22,4,30,True,True,1.8299999999999983,2.38,True,False,9.0,13.01,True,False,20.620000000000005,28.36,True
2005-08-04,NTPC,79.29,83.54,76.71,80.08,46588483,467661504,Thursday,2005-07-29,1,31,False,False,1.5,1.91,True,True,6.8700000000000045,8.79,True,False,20.620000000000005,28.36,True
2005-08-11,NTPC,80.21,81.83,79.17,80.88,30349114,344655040,Thursday,2005-08-05,2,32,True,True,0.7999999999999972,1.0,True,True,6.8700000000000045,8.79,True,False,20.620000000000005,28.36,True
