Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1985-10-07,Nasdaq,108.63,111.12,107.81,111.05,0,0,Monday,,,False,False,,,False,True,,,False,False,,,False
1985-10-14,Nasdaq,111.05,115.34,111.05,114.32,0,0,Monday,,,False,False,3.269999999999996,2.94,True,True,,,False,False,,,False
1985-10-21,Nasdaq,114.32,116.11,113.43,113.91,0,0,Monday,,,False,False,-0.4099999999999966,-0.36,False,True,,,False,False,,,False
1985-10-28,Nasdaq,113.91,116.78,113.21,116.28,0,0,Monday,,,False,False,2.3700000000000045,2.08,True,True,,,False,False,,,False
1985-11-04,Nasdaq,116.28,119.39,115.82,119.26,0,0,Monday,1,,False,False,2.980000000000004,2.56,True,False,10.579999999999998,9.16,True,False,,,False
1985-11-11,Nasdaq,119.26,123.1,119.18,122.18,0,0,Monday,2,,True,False,2.9200000000000017,2.45,True,False,10.579999999999998,9.16,True,False,,,False
1985-11-18,Nasdaq,122.18,124.33,121.73,123.97,0,0,Monday,3,,False,False,1.789999999999992,1.47,True,False,10.579999999999998,9.16,True,False,,,False
1985-11-25,Nasdaq,123.97,126.43,122.82,126.06,0,0,Monday,4,,True,False,2.0900000000000034,1.69,True,False,10.579999999999998,9.16,True,False,,,False
1985-12-02,Nasdaq,126.06,129.89,124.72,126.96,0,0,Monday,1,,False,False,0.8999999999999915,0.71,True,True,6.22999999999999,4.94,True,False,,,False
1985-12-09,Nasdaq,126.96,132.17,126.83,132.13,0,0,Monday,2,,True,False,5.170000000000002,4.07,True,True,6.22999999999999,4.94,True,False,,,False
1985-12-16,Nasdaq,132.13,133.18,130.71,132.26,0,0,Monday,3,,False,False,0.12999999999999545,0.1,True,True,6.22999999999999,4.94,True,False,,,False
1985-12-23,Nasdaq,132.26,132.26,129.3,131.49,0,0,Monday,4,,True,False,-0.7699999999999818,-0.58,False,True,6.22999999999999,4.94,True,False,,,False
1985-12-30,Nasdaq,131.49,132.66,130.0,130.55,0,0,Monday,5,,False,False,-0.9399999999999977,-0.71,False,True,6.22999999999999,4.94,True,False,,,False
1986-01-06,Nasdaq,130.55,133.88,128.05,129.57,0,0,Monday,1,1,False,False,-0.9800000000000182,-0.75,False,False,0.6400000000000148,0.48,True,True,9.110000000000014,6.89,True
1986-01-13,Nasdaq,129.57,133.6,128.63,132.77,0,0,Monday,2,2,True,True,3.200000000000017,2.47,True,False,0.6400000000000148,0.48,True,True,9.110000000000014,6.89,True
1986-01-20,Nasdaq,132.77,132.79,128.46,130.2,0,0,Monday,3,3,False,False,-2.5700000000000216,-1.94,False,False,0.6400000000000148,0.48,True,True,9.110000000000014,6.89,True
1986-01-27,Nasdaq,130.21,134.13,129.79,132.93,0,0,Monday,4,4,True,True,2.730000000000018,2.1,True,False,0.6400000000000148,0.48,True,True,9.110000000000014,6.89,True
1986-02-03,Nasdaq,132.93,137.49,132.93,137.42,0,0,Monday,1,5,False,False,4.489999999999981,3.38,True,True,7.5,5.64,True,True,9.110000000000014,6.89,True
1986-02-10,Nasdaq,137.4,140.63,137.3,140.16,0,0,Monday,2,6,True,True,2.740000000000009,1.99,True,True,7.5,5.64,True,True,9.110000000000014,6.89,True
1986-02-17,Nasdaq,140.16,141.24,138.94,141.15,0,0,Monday,3,7,False,False,0.9900000000000091,0.71,True,True,7.5,5.64,True,True,9.110000000000014,6.89,True
1986-02-24,Nasdaq,141.16,141.83,138.68,140.43,0,0,Monday,4,8,True,True,-0.7199999999999989,-0.51,False,True,7.5,5.64,True,True,9.110000000000014,6.89,True
