Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2010-10-21,OBEROIRLTY,271.1,304.9,271.1,298.75,49451196,2413487616,Thursday,2010-10-15,,,False,False,,,False,True,,,False,True,,,False
2010-10-28,OBEROIRLTY,300.0,306.35,280.0,289.15,7061930,88466888,Thursday,2010-10-22,,,False,False,-9.600000000000023,-3.21,False,True,,,False,True,,,False
2010-11-04,OBEROIRLTY,290.0,291.8,274.1,284.95,1533451,82249968,Thursday,2010-10-29,1,,False,False,-4.199999999999989,-1.45,False,False,-9.449999999999989,-3.39,False,True,,,False
2010-11-11,OBEROIRLTY,286.0,294.4,272.4,283.85,846675,56953368,Thursday,2010-11-05,2,,True,False,-1.099999999999966,-0.39,False,False,-9.449999999999989,-3.39,False,True,,,False
2010-11-18,OBEROIRLTY,283.0,285.0,260.55,266.0,606919,27910848,Thursday,2010-11-12,3,,False,False,-17.850000000000023,-6.29,False,False,-9.449999999999989,-3.39,False,True,,,False
2010-11-25,OBEROIRLTY,263.0,279.7,216.0,262.85,1795854,347100000,Thursday,2010-11-19,4,,True,False,-3.1499999999999773,-1.18,False,False,-9.449999999999989,-3.39,False,True,,,False
2010-12-02,OBEROIRLTY,262.5,288.7,256.1,276.95,1934760,13528731,Thursday,2010-11-26,1,,False,False,14.099999999999966,5.36,True,True,-13.950000000000017,-5.17,False,True,,,False
2010-12-09,OBEROIRLTY,273.4,280.0,255.6,265.1,666097,79144544,Thursday,2010-12-03,2,,True,False,-11.849999999999966,-4.28,False,True,-13.950000000000017,-5.17,False,True,,,False
2010-12-16,OBEROIRLTY,265.0,271.5,219.9,260.65,1687468,14079791,Thursday,2010-12-10,3,,False,False,-4.4500000000000455,-1.68,False,True,-13.950000000000017,-5.17,False,True,,,False
2010-12-23,OBEROIRLTY,260.0,272.0,260.0,264.1,204444,1138007,Thursday,2010-12-17,4,,True,False,3.4500000000000455,1.32,True,True,-13.950000000000017,-5.17,False,True,,,False
2010-12-30,OBEROIRLTY,262.05,265.9,258.0,262.05,786718,58872152,Thursday,2010-12-24,5,,False,False,-2.0500000000000114,-0.78,False,True,-13.950000000000017,-5.17,False,True,,,False
2011-01-06,OBEROIRLTY,263.7,264.4,251.1,253.95,590369,1231150,Thursday,2010-12-31,1,1,False,False,-8.100000000000023,-3.09,False,False,-8.099999999999994,-3.17,False,False,-45.849999999999994,-17.93,False
2011-01-13,OBEROIRLTY,254.25,255.0,239.0,248.5,114613,2408711,Thursday,2011-01-07,2,2,True,True,-5.449999999999989,-2.15,False,False,-8.099999999999994,-3.17,False,False,-45.849999999999994,-17.93,False
2011-01-20,OBEROIRLTY,234.0,256.0,234.0,246.5,142643,16394468,Thursday,2011-01-14,3,3,False,False,-2.0,-0.8,False,False,-8.099999999999994,-3.17,False,False,-45.849999999999994,-17.93,False
2011-01-27,OBEROIRLTY,247.0,253.0,245.1,248.1,71046,3795682,Thursday,2011-01-21,4,4,True,True,1.5999999999999943,0.65,True,False,-8.099999999999994,-3.17,False,False,-45.849999999999994,-17.93,False
2011-02-03,OBEROIRLTY,240.55,251.95,222.05,243.7,603346,27746464,Thursday,2011-01-28,1,5,False,False,-4.400000000000006,-1.77,False,True,-29.0,-11.71,False,False,-45.849999999999994,-17.93,False
2011-02-10,OBEROIRLTY,241.15,244.85,211.4,227.6,185981,15127434,Thursday,2011-02-04,2,6,True,True,-16.099999999999994,-6.61,False,True,-29.0,-11.71,False,False,-45.849999999999994,-17.93,False
2011-02-17,OBEROIRLTY,232.75,268.5,220.5,247.6,584390,39578120,Thursday,2011-02-11,3,7,False,False,20.0,8.79,True,True,-29.0,-11.71,False,False,-45.849999999999994,-17.93,False
2011-02-24,OBEROIRLTY,248.0,252.5,212.25,216.4,283253,2092804,Thursday,2011-02-18,4,8,True,True,-31.19999999999999,-12.6,False,True,-29.0,-11.71,False,False,-45.849999999999994,-17.93,False
2011-03-03,OBEROIRLTY,215.0,251.0,212.6,248.95,136386,10287361,Thursday,2011-02-25,1,9,False,False,32.54999999999998,15.04,True,False,36.04999999999998,16.5,True,False,-45.849999999999994,-17.93,False
2011-03-10,OBEROIRLTY,251.0,254.65,231.35,239.7,145058,13600818,Thursday,2011-03-04,2,10,True,True,-9.25,-3.72,False,False,36.04999999999998,16.5,True,False,-45.849999999999994,-17.93,False
2011-03-17,OBEROIRLTY,236.2,269.9,232.0,234.75,302506,2568869,Thursday,2011-03-11,3,11,False,False,-4.949999999999989,-2.07,False,False,36.04999999999998,16.5,True,False,-45.849999999999994,-17.93,False
2011-03-24,OBEROIRLTY,230.35,236.5,215.35,234.7,152040,26123518,Thursday,2011-03-18,4,12,True,True,-0.05000000000001137,-0.02,False,False,36.04999999999998,16.5,True,False,-45.849999999999994,-17.93,False
2011-03-31,OBEROIRLTY,235.75,256.0,230.0,254.6,507594,28216810,Thursday,2011-03-25,5,13,False,False,19.900000000000006,8.48,True,False,36.04999999999998,16.5,True,False,-45.849999999999994,-17.93,False
2011-04-07,OBEROIRLTY,250.6,260.0,246.6,255.95,285258,16349062,Thursday,2011-04-01,1,14,False,True,1.3499999999999943,0.53,True,True,0.5999999999999943,0.24,True,False,-45.849999999999994,-17.93,False
2011-04-14,OBEROIRLTY,255.9,263.95,248.6,256.05,312353,63083804,Thursday,2011-04-08,2,15,True,False,0.10000000000002274,0.04,True,True,0.5999999999999943,0.24,True,False,-45.849999999999994,-17.93,False
2011-04-21,OBEROIRLTY,253.0,272.2,250.15,257.6,167229,12811221,Thursday,2011-04-15,3,16,False,True,1.5500000000000114,0.61,True,True,0.5999999999999943,0.24,True,False,-45.849999999999994,-17.93,False
2011-04-28,OBEROIRLTY,256.1,269.0,252.0,261.5,53199,6002733,Thursday,2011-04-22,4,17,True,False,3.8999999999999773,1.51,True,True,0.5999999999999943,0.24,True,False,-45.849999999999994,-17.93,False
2011-05-05,OBEROIRLTY,262.9,264.95,240.0,248.45,81691,2942642,Thursday,2011-04-29,1,18,False,True,-13.050000000000011,-4.99,False,False,-31.299999999999983,-12.26,False,False,-45.849999999999994,-17.93,False
2011-05-12,OBEROIRLTY,250.0,255.0,225.0,225.8,93981,8762169,Thursday,2011-05-06,2,19,True,False,-22.649999999999977,-9.12,False,False,-31.299999999999983,-12.26,False,False,-45.849999999999994,-17.93,False
2011-05-19,OBEROIRLTY,231.0,238.9,223.0,230.85,141181,9957022,Thursday,2011-05-13,3,20,False,True,5.049999999999983,2.24,True,False,-31.299999999999983,-12.26,False,False,-45.849999999999994,-17.93,False
2011-05-26,OBEROIRLTY,223.6,232.05,221.1,224.25,119741,2474375,Thursday,2011-05-20,4,21,True,False,-6.599999999999994,-2.86,False,False,-31.299999999999983,-12.26,False,False,-45.849999999999994,-17.93,False
2011-06-02,OBEROIRLTY,225.2,257.7,215.0,240.25,842166,31218566,Thursday,2011-05-27,1,22,False,True,16.0,7.13,True,True,16.25,7.26,True,False,-45.849999999999994,-17.93,False
2011-06-09,OBEROIRLTY,243.95,249.0,231.05,231.95,63929,971175,Thursday,2011-06-03,2,23,True,False,-8.300000000000011,-3.45,False,True,16.25,7.26,True,False,-45.849999999999994,-17.93,False
2011-06-16,OBEROIRLTY,235.0,247.05,221.15,232.0,120359,3007416,Thursday,2011-06-10,3,24,False,True,0.05000000000001137,0.02,True,True,16.25,7.26,True,False,-45.849999999999994,-17.93,False
2011-06-23,OBEROIRLTY,229.05,242.0,225.25,231.75,169606,4839867,Thursday,2011-06-17,4,25,True,False,-0.25,-0.11,False,True,16.25,7.26,True,False,-45.849999999999994,-17.93,False
2011-06-30,OBEROIRLTY,239.0,246.0,230.1,240.15,64754,5178355,Thursday,2011-06-24,5,26,False,True,8.400000000000006,3.62,True,True,16.25,7.26,True,False,-45.849999999999994,-17.93,False
2011-07-07,OBEROIRLTY,241.0,253.9,234.0,242.6,123762,1624692,Thursday,2011-07-01,1,27,False,False,2.4499999999999886,1.02,True,False,-1.700000000000017,-0.71,False,False,-45.849999999999994,-17.93,False
2011-07-14,OBEROIRLTY,244.8,254.0,233.0,237.1,66843,2006815,Thursday,2011-07-08,2,28,True,True,-5.5,-2.27,False,False,-1.700000000000017,-0.71,False,False,-45.849999999999994,-17.93,False
2011-07-21,OBEROIRLTY,237.0,245.8,232.0,237.45,145566,1876567,Thursday,2011-07-15,3,29,False,False,0.3499999999999943,0.15,True,False,-1.700000000000017,-0.71,False,False,-45.849999999999994,-17.93,False
2011-07-28,OBEROIRLTY,235.2,245.8,235.2,241.65,75748,3927054,Thursday,2011-07-22,4,30,True,True,4.200000000000017,1.77,True,False,-1.700000000000017,-0.71,False,False,-45.849999999999994,-17.93,False
2011-08-04,OBEROIRLTY,238.05,243.9,225.2,230.3,130970,23925638,Thursday,2011-07-29,1,31,False,False,-11.349999999999994,-4.7,False,True,-14.349999999999994,-6.02,False,False,-45.849999999999994,-17.93,False
