Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2007-03-22,PAGEIND,329.0,339.0,242.15,244.8,8412814,104662776,Thursday,2007-03-16,,,False,False,,,False,False,,,False,False,,,False
2007-03-29,PAGEIND,244.1,338.0,240.0,302.4,8553415,518991264,Thursday,2007-03-23,,,False,False,57.599999999999966,23.53,True,False,,,False,False,,,False
2007-04-05,PAGEIND,308.0,309.3,275.0,282.05,1682871,67364536,Thursday,2007-03-30,1,,False,False,-20.349999999999966,-6.73,False,True,40.349999999999966,13.6,True,False,,,False
2007-04-12,PAGEIND,284.5,390.0,283.2,326.55,5153949,198254704,Thursday,2007-04-06,2,,True,False,44.5,15.78,True,True,40.349999999999966,13.6,True,False,,,False
2007-04-19,PAGEIND,330.0,392.9,325.35,361.05,7036067,346729664,Thursday,2007-04-13,3,,False,False,34.5,10.56,True,True,40.349999999999966,13.6,True,False,,,False
2007-04-26,PAGEIND,365.9,377.8,345.0,349.0,1905598,68452864,Thursday,2007-04-20,4,,True,False,-12.050000000000011,-3.34,False,True,40.349999999999966,13.6,True,False,,,False
2007-05-03,PAGEIND,354.75,355.6,330.1,344.45,490170,65556072,Thursday,2007-04-27,1,,False,False,-4.550000000000011,-1.3,False,False,58.30000000000001,17.3,True,False,,,False
2007-05-10,PAGEIND,345.0,441.25,334.5,422.95,5572779,1397049088,Thursday,2007-05-04,2,,True,False,78.5,22.79,True,False,58.30000000000001,17.3,True,False,,,False
2007-05-17,PAGEIND,400.0,488.9,385.0,434.5,11155918,177062224,Thursday,2007-05-11,3,,False,False,11.550000000000011,2.73,True,False,58.30000000000001,17.3,True,False,,,False
2007-05-24,PAGEIND,420.1,424.0,372.6,382.45,128675,3166304,Thursday,2007-05-18,4,,True,False,-52.05000000000001,-11.98,False,False,58.30000000000001,17.3,True,False,,,False
2007-05-31,PAGEIND,367.0,399.15,365.1,395.25,62717,5476584,Thursday,2007-05-25,5,,False,False,12.800000000000011,3.35,True,False,58.30000000000001,17.3,True,False,,,False
2007-06-07,PAGEIND,400.0,408.0,358.0,360.35,20564,1408608,Thursday,2007-06-01,1,,False,False,-34.89999999999998,-8.83,False,True,14.699999999999989,3.72,True,False,,,False
2007-06-14,PAGEIND,361.2,378.0,350.0,375.8,24854,1843675,Thursday,2007-06-08,2,,True,False,15.449999999999989,4.29,True,True,14.699999999999989,3.72,True,False,,,False
2007-06-21,PAGEIND,369.0,412.0,368.0,405.6,35610,2807969,Thursday,2007-06-15,3,,False,False,29.80000000000001,7.93,True,True,14.699999999999989,3.72,True,False,,,False
2007-06-28,PAGEIND,410.0,410.5,390.0,402.6,15561,1423191,Thursday,2007-06-22,4,,True,False,-3.0,-0.74,False,True,14.699999999999989,3.72,True,False,,,False
2007-07-05,PAGEIND,399.8,420.0,390.0,393.5,122244,659113,Thursday,2007-06-29,1,,False,False,-9.100000000000023,-2.26,False,False,-9.899999999999977,-2.41,False,False,,,False
2007-07-12,PAGEIND,400.0,401.15,383.0,395.0,11030,1294020,Thursday,2007-07-06,2,,True,False,1.5,0.38,True,False,-9.899999999999977,-2.41,False,False,,,False
2007-07-19,PAGEIND,390.0,402.0,375.0,400.25,17450,1494133,Thursday,2007-07-13,3,,False,False,5.25,1.33,True,False,-9.899999999999977,-2.41,False,False,,,False
2007-07-26,PAGEIND,400.0,416.9,387.0,403.35,14357,307353,Thursday,2007-07-20,4,,True,False,3.1000000000000227,0.77,True,False,-9.899999999999977,-2.41,False,False,,,False
2007-08-02,PAGEIND,385.0,412.0,379.0,409.7,22488,2776127,Thursday,2007-07-27,1,,False,False,6.349999999999966,1.57,True,True,25.05000000000001,6.26,True,False,,,False
2007-08-09,PAGEIND,412.0,420.0,392.05,413.35,9734,877955,Thursday,2007-08-03,2,,True,False,3.650000000000034,0.89,True,True,25.05000000000001,6.26,True,False,,,False
2007-08-16,PAGEIND,393.0,425.0,393.0,403.5,6998,469271,Thursday,2007-08-10,3,,False,False,-9.850000000000023,-2.38,False,True,25.05000000000001,6.26,True,False,,,False
2007-08-23,PAGEIND,400.0,414.0,383.0,393.45,11967,340728,Thursday,2007-08-17,4,,True,False,-10.050000000000011,-2.49,False,True,25.05000000000001,6.26,True,False,,,False
2007-08-30,PAGEIND,390.2,425.0,383.0,422.2,11704,1080832,Thursday,2007-08-24,5,,False,False,28.75,7.31,True,True,25.05000000000001,6.26,True,False,,,False
2007-09-06,PAGEIND,442.0,467.1,410.0,452.3,24238,6328582,Thursday,2007-08-31,1,,False,False,30.100000000000023,7.13,True,False,14.899999999999977,3.51,True,False,,,False
2007-09-13,PAGEIND,456.0,465.9,425.1,435.0,9051,309720,Thursday,2007-09-07,2,,True,False,-17.30000000000001,-3.82,False,False,14.899999999999977,3.51,True,False,,,False
2007-09-20,PAGEIND,440.0,445.0,425.0,435.05,7342,797882,Thursday,2007-09-14,3,,False,False,0.05000000000001137,0.01,True,False,14.899999999999977,3.51,True,False,,,False
2007-09-27,PAGEIND,440.0,470.0,425.0,441.15,15892,727015,Thursday,2007-09-21,4,,True,False,6.099999999999966,1.4,True,False,14.899999999999977,3.51,True,False,,,False
2007-10-04,PAGEIND,437.0,445.0,431.0,438.15,9654,1173366,Thursday,2007-09-28,1,,False,False,-3.0,-0.68,False,True,-0.19999999999998863,-0.05,False,False,,,False
2007-10-11,PAGEIND,436.0,457.9,410.0,438.45,14519,766849,Thursday,2007-10-05,2,,True,False,0.30000000000001137,0.07,True,True,-0.19999999999998863,-0.05,False,False,,,False
2007-10-18,PAGEIND,440.0,450.0,420.05,437.0,108014,44695924,Thursday,2007-10-12,3,,False,False,-1.4499999999999886,-0.33,False,True,-0.19999999999998863,-0.05,False,False,,,False
2007-10-25,PAGEIND,415.0,453.0,409.0,442.45,10602,2178182,Thursday,2007-10-19,4,,True,False,5.449999999999989,1.25,True,True,-0.19999999999998863,-0.05,False,False,,,False
2007-11-01,PAGEIND,440.0,457.0,431.1,440.15,25856,7855797,Thursday,2007-10-26,1,,False,False,-2.3000000000000114,-0.52,False,False,-29.900000000000034,-6.8,False,False,,,False
2007-11-08,PAGEIND,437.0,449.0,410.0,439.95,22346,147383,Thursday,2007-11-02,2,,True,False,-0.19999999999998863,-0.05,False,False,-29.900000000000034,-6.8,False,False,,,False
2007-11-15,PAGEIND,355.0,449.0,355.0,433.5,4408,365441,Thursday,2007-11-09,3,,False,False,-6.449999999999989,-1.47,False,False,-29.900000000000034,-6.8,False,False,,,False
2007-11-22,PAGEIND,444.0,444.0,382.0,394.0,12432,249796,Thursday,2007-11-16,4,,True,False,-39.5,-9.11,False,False,-29.900000000000034,-6.8,False,False,,,False
2007-11-29,PAGEIND,395.0,419.95,342.05,404.5,9474,568323,Thursday,2007-11-23,5,,False,False,10.5,2.66,True,False,-29.900000000000034,-6.8,False,False,,,False
2007-12-06,PAGEIND,391.0,420.0,390.0,417.0,40933,14046645,Thursday,2007-11-30,1,,False,False,12.5,3.09,True,True,70.20000000000005,17.13,True,False,,,False
2007-12-13,PAGEIND,425.0,425.0,400.0,410.05,14861,3145904,Thursday,2007-12-07,2,,True,False,-6.949999999999989,-1.67,False,True,70.20000000000005,17.13,True,False,,,False
2007-12-20,PAGEIND,411.0,516.0,390.0,447.5,38103,3519588,Thursday,2007-12-14,3,,False,False,37.44999999999999,9.13,True,True,70.20000000000005,17.13,True,False,,,False
2007-12-27,PAGEIND,445.0,469.95,445.0,450.5,5692,474827,Thursday,2007-12-21,4,,True,False,3.0,0.67,True,True,70.20000000000005,17.13,True,False,,,False
2008-01-03,PAGEIND,462.0,492.0,406.65,484.15,37775,1991309,Thursday,2007-12-28,1,1,False,False,33.64999999999998,7.47,True,False,-28.150000000000034,-5.86,False,True,-145.65000000000003,-30.34,False
2008-01-10,PAGEIND,490.0,491.0,461.0,479.8,12106,841569,Thursday,2008-01-04,2,2,True,True,-4.349999999999966,-0.9,False,False,-28.150000000000034,-5.86,False,True,-145.65000000000003,-30.34,False
2008-01-17,PAGEIND,450.0,555.55,450.0,511.25,16128,1873220,Thursday,2008-01-11,3,3,False,False,31.44999999999999,6.55,True,False,-28.150000000000034,-5.86,False,True,-145.65000000000003,-30.34,False
2008-01-24,PAGEIND,558.0,558.0,401.0,477.65,10905,415078,Thursday,2008-01-18,4,4,True,True,-33.60000000000002,-6.57,False,False,-28.150000000000034,-5.86,False,True,-145.65000000000003,-30.34,False
2008-01-31,PAGEIND,428.1,490.0,428.1,451.95,2165,135585,Thursday,2008-01-25,5,5,False,False,-25.69999999999999,-5.38,False,False,-28.150000000000034,-5.86,False,True,-145.65000000000003,-30.34,False
2008-02-07,PAGEIND,442.1,550.0,442.0,460.7,8627,3117096,Thursday,2008-02-01,1,6,False,True,8.75,1.94,True,True,18.05000000000001,3.99,True,True,-145.65000000000003,-30.34,False
2008-02-14,PAGEIND,445.0,483.95,410.6,456.25,3896,106763,Thursday,2008-02-08,2,7,True,False,-4.449999999999989,-0.97,False,True,18.05000000000001,3.99,True,True,-145.65000000000003,-30.34,False
2008-02-21,PAGEIND,450.0,474.95,444.4,455.5,1068,143938,Thursday,2008-02-15,3,8,False,True,-0.75,-0.16,False,True,18.05000000000001,3.99,True,True,-145.65000000000003,-30.34,False
2008-02-28,PAGEIND,440.0,500.0,440.0,484.3,33373,456211,Thursday,2008-02-22,4,9,True,False,28.80000000000001,6.32,True,True,18.05000000000001,3.99,True,True,-145.65000000000003,-30.34,False
2008-03-06,PAGEIND,461.1,496.0,460.0,480.0,2462,165600,Thursday,2008-02-29,1,10,False,True,-4.300000000000011,-0.89,False,False,-50.0,-10.64,False,True,-145.65000000000003,-30.34,False
2008-03-13,PAGEIND,480.0,500.0,445.5,461.0,5205,53476,Thursday,2008-03-07,2,11,True,False,-19.0,-3.96,False,False,-50.0,-10.64,False,True,-145.65000000000003,-30.34,False
2008-03-20,PAGEIND,476.9,485.0,420.15,439.65,7752,134973,Thursday,2008-03-14,3,12,False,True,-21.350000000000023,-4.63,False,False,-50.0,-10.64,False,True,-145.65000000000003,-30.34,False
2008-03-27,PAGEIND,434.0,461.0,395.1,412.6,81889,19805,Thursday,2008-03-21,4,13,True,False,-27.049999999999955,-6.15,False,False,-50.0,-10.64,False,True,-145.65000000000003,-30.34,False
