Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-07,PEL,110.0,110.0,110.0,110.0,500,55000.0,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-14,PEL,108.0,110.0,106.0,110.0,750,27500.0,Monday,,,False,False,0.0,0.0,False,False,,,False,True,,,False
1994-11-21,PEL,107.5,118.0,107.0,118.0,19000,29500.0,Monday,,,False,False,8.0,7.27,True,False,,,False,True,,,False
1994-11-28,PEL,120.0,120.0,118.0,120.0,4500,420000.0,Monday,,,False,False,2.0,1.69,True,False,,,False,True,,,False
1994-12-05,PEL,119.0,120.0,106.0,106.0,4250,106000.0,Monday,1,,False,False,-14.0,-11.67,False,True,-12.0,-10.0,False,True,,,False
1994-12-12,PEL,111.5,111.5,111.5,111.5,2250,250875.0,Monday,2,,True,False,5.5,5.19,True,True,-12.0,-10.0,False,True,,,False
1994-12-19,PEL,111.6,111.6,108.0,108.0,1750,162000.0,Monday,3,,False,False,-3.5,-3.14,False,True,-12.0,-10.0,False,True,,,False
1994-12-26,,,,,,0,,Monday,4,,True,False,,,False,True,-12.0,-10.0,False,True,,,False
1995-01-02,,,,,,0,,Monday,1,1,False,False,,,False,False,-10.0,-9.26,False,False,-61.4,-56.85,False
1995-01-09,PEL,90.0,100.0,89.0,100.0,4750,175000.0,Monday,2,2,True,True,,,False,False,-10.0,-9.26,False,False,-61.4,-56.85,False
1995-01-16,PEL,99.0,100.0,99.0,99.5,500,49750.0,Monday,3,3,False,False,-0.5,-0.5,False,False,-10.0,-9.26,False,False,-61.4,-56.85,False
1995-01-23,PEL,98.0,98.0,98.0,98.0,2500,245000.0,Monday,4,4,True,True,-1.5,-1.51,False,False,-10.0,-9.26,False,False,-61.4,-56.85,False
1995-01-30,,,,,,0,,Monday,5,5,False,False,,,False,False,-10.0,-9.26,False,False,-61.4,-56.85,False
1995-02-06,PEL,89.0,89.0,79.0,79.0,1750,39500.0,Monday,1,6,False,True,,,False,True,-22.0,-22.45,False,False,-61.4,-56.85,False
1995-02-13,PEL,77.0,78.0,77.0,78.0,1500,117000.0,Monday,2,7,True,False,-1.0,-1.27,False,True,-22.0,-22.45,False,False,-61.4,-56.85,False
1995-02-20,PEL,70.2,79.0,65.0,78.5,4250,98125.0,Monday,3,8,False,True,0.5,0.64,True,True,-22.0,-22.45,False,False,-61.4,-56.85,False
1995-02-27,PEL,75.0,82.0,75.0,82.0,2500,41000.0,Monday,4,9,True,False,3.5,4.46,True,True,-22.0,-22.45,False,False,-61.4,-56.85,False
