Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-10,PEL,110.0,110.0,110.0,110.0,500,55000.0,Thursday,1994-11-04,,,False,False,,,False,False,,,False,True,,,False
1994-11-17,PEL,108.0,110.0,106.0,110.0,750,27500.0,Thursday,1994-11-11,,,False,False,0.0,0.0,False,False,,,False,True,,,False
1994-11-24,PEL,107.5,118.0,107.0,118.0,18750,1298000.0,Thursday,1994-11-18,,,False,False,8.0,7.27,True,False,,,False,True,,,False
1994-12-01,PEL,118.0,120.0,118.0,120.0,1250,90000.0,Thursday,1994-11-25,1,,False,False,2.0,1.69,True,True,-12.0,-10.0,False,True,,,False
1994-12-08,PEL,120.0,120.0,106.0,106.0,7750,106000.0,Thursday,1994-12-02,2,,True,False,-14.0,-11.67,False,True,-12.0,-10.0,False,True,,,False
1994-12-15,PEL,111.5,111.5,111.5,111.5,2250,250875.0,Thursday,1994-12-09,3,,False,False,5.5,5.19,True,True,-12.0,-10.0,False,True,,,False
1994-12-22,PEL,111.6,111.6,108.0,108.0,1750,162000.0,Thursday,1994-12-16,4,,True,False,-3.5,-3.14,False,True,-12.0,-10.0,False,True,,,False
1994-12-29,,,,,,0,,Thursday,1994-12-23,5,,False,False,,,False,True,-12.0,-10.0,False,True,,,False
1995-01-05,,,,,,0,,Thursday,1994-12-30,1,1,False,False,,,False,False,-10.0,-9.26,False,False,-61.4,-56.85,False
1995-01-12,PEL,90.0,91.0,90.0,90.0,3000,135000.0,Thursday,1995-01-06,2,2,True,True,,,False,False,-10.0,-9.26,False,False,-61.4,-56.85,False
1995-01-19,PEL,89.0,100.0,89.0,99.5,2250,49750.0,Thursday,1995-01-13,3,3,False,False,9.5,10.56,True,False,-10.0,-9.26,False,False,-61.4,-56.85,False
1995-01-26,,,,,,0,,Thursday,1995-01-20,4,4,True,True,,,False,False,-10.0,-9.26,False,False,-61.4,-56.85,False
1995-02-02,PEL,98.0,98.0,98.0,98.0,2500,245000.0,Thursday,1995-01-27,1,5,False,False,,,False,True,-22.0,-22.45,False,False,-61.4,-56.85,False
1995-02-09,PEL,89.0,89.0,81.0,81.0,1250,40500.0,Thursday,1995-02-03,2,6,True,True,-17.0,-17.35,False,True,-22.0,-22.45,False,False,-61.4,-56.85,False
1995-02-16,PEL,79.99,79.99,77.0,78.0,2000,117000.0,Thursday,1995-02-10,3,7,False,False,-3.0,-3.7,False,True,-22.0,-22.45,False,False,-61.4,-56.85,False
1995-02-23,PEL,70.2,73.0,65.0,73.0,3000,18250.0,Thursday,1995-02-17,4,8,True,True,-5.0,-6.41,False,True,-22.0,-22.45,False,False,-61.4,-56.85,False
1995-03-02,PEL,78.0,79.0,75.0,78.2,3250,19550.0,Thursday,1995-02-24,1,9,False,False,5.200000000000003,7.12,True,False,-2.0,-2.63,False,False,-61.4,-56.85,False
1995-03-09,PEL,79.4,88.0,79.4,88.0,8000,220000.0,Thursday,1995-03-03,2,10,True,True,9.799999999999997,12.53,True,False,-2.0,-2.63,False,False,-61.4,-56.85,False
1995-03-16,PEL,80.0,88.0,80.0,80.0,21000,1600000.0,Thursday,1995-03-10,3,11,False,False,-8.0,-9.09,False,False,-2.0,-2.63,False,False,-61.4,-56.85,False
1995-03-23,PEL,77.0,78.0,76.21,78.0,4000,156000.0,Thursday,1995-03-17,4,12,True,True,-2.0,-2.5,False,False,-2.0,-2.63,False,False,-61.4,-56.85,False
1995-03-30,PEL,77.0,77.0,74.0,74.0,1750,18500.0,Thursday,1995-03-24,5,13,False,False,-4.0,-5.13,False,False,-2.0,-2.63,False,False,-61.4,-56.85,False
1995-04-06,PEL,76.0,76.4,73.0,76.4,3000,38200.0,Thursday,1995-03-31,1,14,False,True,2.4000000000000057,3.24,True,True,-10.990000000000002,-14.85,False,False,-61.4,-56.85,False
1995-04-13,PEL,75.8,76.0,74.4,76.0,2500,19000.0,Thursday,1995-04-07,2,15,True,False,-0.4000000000000057,-0.52,False,True,-10.990000000000002,-14.85,False,False,-61.4,-56.85,False
1995-04-20,PEL,73.0,73.0,70.6,70.7,7750,35350.0,Thursday,1995-04-14,3,16,False,True,-5.299999999999997,-6.97,False,True,-10.990000000000002,-14.85,False,False,-61.4,-56.85,False
1995-04-27,PEL,70.0,70.0,64.0,64.0,1250,16000.0,Thursday,1995-04-21,4,17,True,False,-6.700000000000003,-9.48,False,True,-10.990000000000002,-14.85,False,False,-61.4,-56.85,False
1995-05-04,PEL,63.01,63.01,60.0,62.0,5500,93000.0,Thursday,1995-04-28,1,18,False,True,-2.0,-3.12,False,False,-0.4099999999999966,-0.65,False,False,-61.4,-56.85,False
1995-05-11,PEL,64.5,64.5,64.5,64.5,750,48375.0,Thursday,1995-05-05,2,19,True,False,2.5,4.03,True,False,-0.4099999999999966,-0.65,False,False,-61.4,-56.85,False
1995-05-18,PEL,65.6,65.8,63.0,63.0,1000,31500.0,Thursday,1995-05-12,3,20,False,True,-1.5,-2.33,False,False,-0.4099999999999966,-0.65,False,False,-61.4,-56.85,False
1995-05-25,PEL,63.0,63.0,59.9,63.0,2500,31500.0,Thursday,1995-05-19,4,21,True,False,0.0,0.0,False,False,-0.4099999999999966,-0.65,False,False,-61.4,-56.85,False
1995-06-01,PEL,62.2,62.6,62.0,62.6,1250,31300.0,Thursday,1995-05-26,1,22,False,True,-0.3999999999999986,-0.63,False,True,1.8000000000000043,2.88,True,False,-61.4,-56.85,False
1995-06-08,PEL,57.0,64.0,57.0,64.0,1000,32000.0,Thursday,1995-06-02,2,23,True,False,1.3999999999999986,2.24,True,True,1.8000000000000043,2.88,True,False,-61.4,-56.85,False
1995-06-15,PEL,64.0,64.4,64.0,64.4,1250,80500.0,Thursday,1995-06-09,3,24,False,True,0.4000000000000057,0.63,True,True,1.8000000000000043,2.88,True,False,-61.4,-56.85,False
1995-06-22,,,,,,0,,Thursday,1995-06-16,4,25,True,False,,,False,True,1.8000000000000043,2.88,True,False,-61.4,-56.85,False
1995-06-29,,,,,,0,,Thursday,1995-06-23,5,26,False,True,,,False,True,1.8000000000000043,2.88,True,False,-61.4,-56.85,False
1995-07-06,,,,,,0,,Thursday,1995-06-30,1,27,False,False,,,False,False,-4.400000000000006,-6.83,False,False,-61.4,-56.85,False
1995-07-13,PEL,58.0,58.01,48.8,50.6,7500,126500.0,Thursday,1995-07-07,2,28,True,True,,,False,False,-4.400000000000006,-6.83,False,False,-61.4,-56.85,False
1995-07-20,PEL,52.0,62.0,52.0,62.0,6250,77500.0,Thursday,1995-07-14,3,29,False,False,11.399999999999999,22.53,True,False,-4.400000000000006,-6.83,False,False,-61.4,-56.85,False
1995-07-27,PEL,60.0,61.0,59.0,61.0,51250,30500.0,Thursday,1995-07-21,4,30,True,True,-1.0,-1.61,False,False,-4.400000000000006,-6.83,False,False,-61.4,-56.85,False
1995-08-03,PEL,60.0,60.0,57.0,58.7,61000,3448625.0,Thursday,1995-07-28,1,31,False,False,-2.299999999999997,-3.77,False,True,-6.700000000000003,-11.17,False,False,-61.4,-56.85,False
1995-08-10,PEL,58.8,58.8,57.0,57.0,1000,28500.0,Thursday,1995-08-04,2,32,True,True,-1.7000000000000028,-2.9,False,True,-6.700000000000003,-11.17,False,False,-61.4,-56.85,False
1995-08-17,PEL,51.4,51.4,51.4,51.4,500,25700.0,Thursday,1995-08-11,3,33,False,False,-5.600000000000001,-9.82,False,True,-6.700000000000003,-11.17,False,False,-61.4,-56.85,False
1995-08-24,PEL,53.05,53.2,52.6,53.1,5500,212400.0,Thursday,1995-08-18,4,34,True,True,1.7000000000000028,3.31,True,True,-6.700000000000003,-11.17,False,False,-61.4,-56.85,False
1995-08-31,PEL,53.3,54.0,53.3,53.3,750,39975.0,Thursday,1995-08-25,5,35,False,False,0.19999999999999574,0.38,True,True,-6.700000000000003,-11.17,False,False,-61.4,-56.85,False
1995-09-07,PEL,53.0,54.8,53.0,54.0,2750,13500.0,Thursday,1995-09-01,1,36,False,True,0.7000000000000028,1.31,True,False,0.10000000000000142,0.19,True,False,-61.4,-56.85,False
1995-09-14,PEL,54.0,56.0,53.0,56.0,1000,28000.0,Thursday,1995-09-08,2,37,True,False,2.0,3.7,True,False,0.10000000000000142,0.19,True,False,-61.4,-56.85,False
1995-09-21,,,,,,0,,Thursday,1995-09-15,3,38,False,True,,,False,False,0.10000000000000142,0.19,True,False,-61.4,-56.85,False
1995-09-28,PEL,54.0,54.0,52.0,53.4,128750,6688350.0,Thursday,1995-09-22,4,39,True,False,,,False,False,0.10000000000000142,0.19,True,False,-61.4,-56.85,False
1995-10-05,,,,,,0,,Thursday,1995-09-29,1,40,False,True,,,False,True,-4.25,-7.96,False,False,-61.4,-56.85,False
1995-10-12,PEL,54.0,55.0,53.6,55.0,3000,110000.0,Thursday,1995-10-06,2,41,True,False,,,False,True,-4.25,-7.96,False,False,-61.4,-56.85,False
1995-10-19,,,,,,0,,Thursday,1995-10-13,3,42,False,True,,,False,True,-4.25,-7.96,False,False,-61.4,-56.85,False
1995-10-26,PEL,54.0,54.0,51.6,53.0,2750,26500.0,Thursday,1995-10-20,4,43,True,False,,,False,True,-4.25,-7.96,False,False,-61.4,-56.85,False
1995-11-02,PEL,50.6,50.8,48.0,50.0,17250,337500.0,Thursday,1995-10-27,1,44,False,True,-3.0,-5.66,False,False,-8.149999999999999,-16.58,False,False,-61.4,-56.85,False
1995-11-09,PEL,50.0,50.0,48.1,48.1,13750,84175.0,Thursday,1995-11-03,2,45,True,False,-1.8999999999999986,-3.8,False,False,-8.149999999999999,-16.58,False,False,-61.4,-56.85,False
