Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2010-04-08,PERSISTENT,200.0,215.95,199.15,207.15,16736458,3466957056,Thursday,2010-04-02,,,False,False,,,False,True,,,False,True,,,False
2010-04-15,PERSISTENT,207.5,209.93,197.8,198.98,7636924,250033584,Thursday,2010-04-09,,,False,False,-8.170000000000016,-3.94,False,True,,,False,True,,,False
2010-04-22,PERSISTENT,198.95,206.43,192.5,200.55,4412678,150511968,Thursday,2010-04-16,,,False,False,1.5700000000000216,0.79,True,True,,,False,True,,,False
2010-04-29,PERSISTENT,200.8,205.5,191.28,198.48,2409236,88781840,Thursday,2010-04-23,,,False,False,-2.0700000000000216,-1.03,False,True,,,False,True,,,False
2010-05-06,PERSISTENT,199.0,202.95,180.1,193.23,1739892,38707992,Thursday,2010-04-30,1,,False,False,-5.25,-2.65,False,False,-5.930000000000007,-2.97,False,True,,,False
2010-05-13,PERSISTENT,191.5,194.5,187.5,190.8,732306,24333488,Thursday,2010-05-07,2,,True,False,-2.4299999999999784,-1.26,False,False,-5.930000000000007,-2.97,False,True,,,False
2010-05-20,PERSISTENT,189.53,198.83,187.55,189.08,801788,19486448,Thursday,2010-05-14,3,,False,False,-1.7199999999999989,-0.9,False,False,-5.930000000000007,-2.97,False,True,,,False
2010-05-27,PERSISTENT,187.55,193.5,182.5,185.4,685724,19020186,Thursday,2010-05-21,4,,True,False,-3.680000000000007,-1.95,False,False,-5.930000000000007,-2.97,False,True,,,False
2010-06-03,PERSISTENT,186.48,196.9,186.05,194.2,418292,7683717,Thursday,2010-05-28,1,,False,False,8.799999999999983,4.75,True,True,12.599999999999994,6.51,True,True,,,False
2010-06-10,PERSISTENT,194.58,197.1,185.0,190.25,253886,4301553,Thursday,2010-06-04,2,,True,False,-3.9499999999999886,-2.03,False,True,12.599999999999994,6.51,True,True,,,False
2010-06-17,PERSISTENT,190.5,208.95,186.5,204.75,1209174,86842256,Thursday,2010-06-11,3,,False,False,14.5,7.62,True,True,12.599999999999994,6.51,True,True,,,False
2010-06-24,PERSISTENT,204.38,208.8,194.5,205.98,735178,54014884,Thursday,2010-06-18,4,,True,False,1.2299999999999898,0.6,True,True,12.599999999999994,6.51,True,True,,,False
2010-07-01,PERSISTENT,205.0,217.0,200.05,214.93,2182074,279828480,Thursday,2010-06-25,1,,False,False,8.950000000000017,4.35,True,False,21.25,10.32,True,True,,,False
2010-07-08,PERSISTENT,217.4,244.5,216.0,233.73,13502474,98433752,Thursday,2010-07-02,2,,True,False,18.799999999999983,8.75,True,False,21.25,10.32,True,True,,,False
2010-07-15,PERSISTENT,235.0,253.65,230.5,241.38,8161212,142788272,Thursday,2010-07-09,3,,False,False,7.650000000000006,3.27,True,False,21.25,10.32,True,True,,,False
