Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2004-04-01,PETRONET,8.5,8.5,6.0,7.65,67658688,70844720,Thursday,2004-03-26,,,False,False,,,False,True,4.23,57.55,True,True,,,False
2004-04-08,PETRONET,7.75,10.35,7.65,9.85,268800724,248033168,Thursday,2004-04-02,,,False,False,2.1999999999999993,28.76,True,True,4.23,57.55,True,True,,,False
2004-04-15,PETRONET,9.95,11.05,9.88,10.58,110439232,269780288,Thursday,2004-04-09,,,False,False,0.7300000000000004,7.41,True,True,4.23,57.55,True,True,,,False
2004-04-22,PETRONET,10.63,13.4,10.5,12.48,228775304,214808208,Thursday,2004-04-16,,,False,False,1.9000000000000004,17.96,True,True,4.23,57.55,True,True,,,False
2004-04-29,PETRONET,12.5,12.78,10.53,11.78,89987738,244590944,Thursday,2004-04-23,,,False,False,-0.7000000000000011,-5.61,False,True,4.23,57.55,True,True,,,False
2004-05-06,PETRONET,11.6,12.33,10.85,12.15,73563924,154424432,Thursday,2004-04-30,1,,False,False,0.370000000000001,3.14,True,False,-0.13000000000000078,-1.12,False,True,,,False
2004-05-13,PETRONET,12.35,12.35,10.68,11.6,74485772,241521120,Thursday,2004-05-07,2,,True,False,-0.5500000000000007,-4.53,False,False,-0.13000000000000078,-1.12,False,True,,,False
2004-05-20,PETRONET,11.75,13.25,8.45,11.8,84925614,146895280,Thursday,2004-05-14,3,,False,False,0.20000000000000107,1.72,True,False,-0.13000000000000078,-1.12,False,True,,,False
2004-05-27,PETRONET,11.75,12.28,10.58,11.8,46688856,111915784,Thursday,2004-05-21,4,,True,False,0.0,0.0,False,False,-0.13000000000000078,-1.12,False,True,,,False
2004-06-03,PETRONET,12.0,12.0,11.1,11.5,39266658,78176720,Thursday,2004-05-28,1,,False,False,-0.3000000000000007,-2.54,False,True,-0.6499999999999986,-5.68,False,True,,,False
2004-06-10,PETRONET,10.58,11.63,10.58,11.28,11654966,19026832,Thursday,2004-06-04,2,,True,False,-0.22000000000000064,-1.91,False,True,-0.6499999999999986,-5.68,False,True,,,False
2004-06-17,PETRONET,11.35,11.35,10.5,10.55,12499682,20744276,Thursday,2004-06-11,3,,False,False,-0.7299999999999986,-6.47,False,True,-0.6499999999999986,-5.68,False,True,,,False
2004-06-24,PETRONET,10.7,10.73,9.48,9.75,11193604,25003972,Thursday,2004-06-18,4,,True,False,-0.8000000000000007,-7.58,False,True,-0.6499999999999986,-5.68,False,True,,,False
2004-07-01,PETRONET,9.63,11.2,9.63,10.78,13030648,12722839,Thursday,2004-06-25,1,,False,False,1.0299999999999994,10.56,True,False,0.25,2.31,True,True,,,False
2004-07-08,PETRONET,10.75,11.25,10.53,10.7,10826542,28154096,Thursday,2004-07-02,2,,True,False,-0.08000000000000007,-0.74,False,False,0.25,2.31,True,True,,,False
2004-07-15,PETRONET,10.55,11.05,10.0,10.95,6270368,15823867,Thursday,2004-07-09,3,,False,False,0.25,2.34,True,False,0.25,2.31,True,True,,,False
2004-07-22,PETRONET,11.03,11.8,10.85,11.48,17177352,123606272,Thursday,2004-07-16,4,,True,False,0.5300000000000011,4.84,True,False,0.25,2.31,True,True,,,False
2004-07-29,PETRONET,11.65,12.03,11.03,11.4,20732786,48733652,Thursday,2004-07-23,5,,False,False,-0.08000000000000007,-0.7,False,False,0.25,2.31,True,True,,,False
2004-08-05,PETRONET,11.35,11.88,10.8,11.18,31892018,31428884,Thursday,2004-07-30,1,,False,False,-0.22000000000000064,-1.93,False,True,1.08,9.77,True,True,,,False
2004-08-12,PETRONET,11.3,11.35,10.7,10.75,11711640,19686024,Thursday,2004-08-06,2,,True,False,-0.4299999999999997,-3.85,False,True,1.08,9.77,True,True,,,False
2004-08-19,PETRONET,10.75,11.45,10.7,10.95,10502506,16729607,Thursday,2004-08-13,3,,False,False,0.1999999999999993,1.86,True,True,1.08,9.77,True,True,,,False
2004-08-26,PETRONET,11.0,12.53,10.73,11.93,49191144,137405440,Thursday,2004-08-20,4,,True,False,0.9800000000000004,8.95,True,True,1.08,9.77,True,True,,,False
2004-09-02,PETRONET,11.9,12.85,11.7,12.68,34388354,206248848,Thursday,2004-08-27,1,,False,False,0.75,6.29,True,False,-0.23000000000000043,-1.9,False,True,,,False
2004-09-09,PETRONET,12.8,12.85,12.08,12.13,26061124,27181170,Thursday,2004-09-03,2,,True,False,-0.5499999999999989,-4.34,False,False,-0.23000000000000043,-1.9,False,True,,,False
2004-09-16,PETRONET,12.45,12.45,11.78,12.15,8654040,33281522,Thursday,2004-09-10,3,,False,False,0.019999999999999574,0.16,True,False,-0.23000000000000043,-1.9,False,True,,,False
2004-09-23,PETRONET,12.23,12.33,11.83,11.88,8868062,32368898,Thursday,2004-09-17,4,,True,False,-0.2699999999999996,-2.22,False,False,-0.23000000000000043,-1.9,False,True,,,False
2004-09-30,PETRONET,11.93,12.2,11.83,11.9,7563276,25151554,Thursday,2004-09-24,5,,False,False,0.019999999999999574,0.17,True,False,-0.23000000000000043,-1.9,False,True,,,False
2004-10-07,PETRONET,12.0,12.63,9.75,12.38,20725316,124758464,Thursday,2004-10-01,1,,False,False,0.4800000000000004,4.03,True,True,-0.2699999999999996,-2.27,False,True,,,False
2004-10-14,PETRONET,12.4,12.48,11.3,11.68,7948692,15070090,Thursday,2004-10-08,2,,True,False,-0.7000000000000011,-5.65,False,True,-0.2699999999999996,-2.27,False,True,,,False
2004-10-21,PETRONET,11.75,13.0,11.63,11.88,5811882,12365651,Thursday,2004-10-15,3,,False,False,0.20000000000000107,1.71,True,True,-0.2699999999999996,-2.27,False,True,,,False
2004-10-28,PETRONET,11.95,11.95,11.4,11.7,4326798,10804786,Thursday,2004-10-22,4,,True,False,-0.1800000000000015,-1.52,False,True,-0.2699999999999996,-2.27,False,True,,,False
2004-11-04,PETRONET,11.73,12.35,11.55,11.93,9405814,16480827,Thursday,2004-10-29,1,,False,False,0.23000000000000043,1.97,True,False,0.09999999999999964,0.86,True,True,,,False
2004-11-11,PETRONET,12.2,12.2,11.65,11.68,5892488,10250720,Thursday,2004-11-05,2,,True,False,-0.25,-2.1,False,False,0.09999999999999964,0.86,True,True,,,False
2004-11-18,PETRONET,11.75,11.85,11.4,11.63,4772546,19293780,Thursday,2004-11-12,3,,False,False,-0.049999999999998934,-0.43,False,False,0.09999999999999964,0.86,True,True,,,False
