Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2007-03-01,PFC,56.5,60.0,51.5,55.28,287590422,485843616,Thursday,2007-02-23,,,False,False,,,False,False,-3.3800000000000026,-6.09,False,False,,,False
2007-03-08,PFC,55.7,56.7,50.6,55.0,28230522,245017744,Thursday,2007-03-02,,,False,False,-0.28000000000000114,-0.51,False,False,-3.3800000000000026,-6.09,False,False,,,False
2007-03-15,PFC,55.0,56.2,50.85,51.8,12956978,113949120,Thursday,2007-03-09,,,False,False,-3.200000000000003,-5.82,False,False,-3.3800000000000026,-6.09,False,False,,,False
2007-03-22,PFC,52.0,54.05,51.2,52.68,6062342,84852576,Thursday,2007-03-16,,,False,False,0.8800000000000026,1.7,True,False,-3.3800000000000026,-6.09,False,False,,,False
2007-03-29,PFC,53.0,56.6,51.33,51.63,10943684,137451776,Thursday,2007-03-23,,,False,False,-1.0499999999999972,-1.99,False,False,-3.3800000000000026,-6.09,False,False,,,False
2007-04-05,PFC,52.25,52.75,50.5,51.55,10954182,119939424,Thursday,2007-03-30,1,,False,False,-0.0800000000000054,-0.15,False,True,10.050000000000004,19.27,True,False,,,False
2007-04-12,PFC,51.75,56.23,51.75,52.8,13247234,165794640,Thursday,2007-04-06,2,,True,False,1.25,2.42,True,True,10.050000000000004,19.27,True,False,,,False
2007-04-19,PFC,53.45,58.18,52.5,54.98,19640670,174637984,Thursday,2007-04-13,3,,False,False,2.1799999999999997,4.13,True,True,10.050000000000004,19.27,True,False,,,False
2007-04-26,PFC,55.95,65.43,55.5,63.28,48588306,493318112,Thursday,2007-04-20,4,,True,False,8.300000000000004,15.1,True,True,10.050000000000004,19.27,True,False,,,False
2007-05-03,PFC,63.05,63.9,60.68,61.35,7544856,93191384,Thursday,2007-04-27,1,,False,False,-1.9299999999999997,-3.05,False,False,17.14999999999999,27.57,True,False,,,False
2007-05-10,PFC,61.5,67.83,60.0,66.3,29468540,1382869760,Thursday,2007-05-04,2,,True,False,4.949999999999996,8.07,True,False,17.14999999999999,27.57,True,False,,,False
2007-05-17,PFC,65.5,77.3,64.15,76.7,67176026,1025964480,Thursday,2007-05-11,3,,False,False,10.400000000000006,15.69,True,False,17.14999999999999,27.57,True,False,,,False
2007-05-24,PFC,76.5,76.7,72.05,73.83,19814736,265093760,Thursday,2007-05-18,4,,True,False,-2.8700000000000045,-3.74,False,False,17.14999999999999,27.57,True,False,,,False
2007-05-31,PFC,71.63,83.4,71.63,79.35,43445866,891426624,Thursday,2007-05-25,5,,False,False,5.519999999999996,7.48,True,False,17.14999999999999,27.57,True,False,,,False
2007-06-07,PFC,80.5,81.35,73.65,74.55,26713726,415498336,Thursday,2007-06-01,1,,False,False,-4.799999999999997,-6.05,False,True,-5.3999999999999915,-6.81,False,False,,,False
2007-06-14,PFC,74.4,75.75,69.9,74.1,22832606,297670816,Thursday,2007-06-08,2,,True,False,-0.45000000000000284,-0.6,False,True,-5.3999999999999915,-6.81,False,False,,,False
2007-06-21,PFC,75.05,76.15,71.8,74.9,22392420,292818720,Thursday,2007-06-15,3,,False,False,0.8000000000000114,1.08,True,True,-5.3999999999999915,-6.81,False,False,,,False
2007-06-28,PFC,75.5,75.5,70.43,73.33,32655942,1052152128,Thursday,2007-06-22,4,,True,False,-1.5700000000000074,-2.1,False,True,-5.3999999999999915,-6.81,False,False,,,False
2007-07-05,PFC,73.88,82.13,72.78,81.48,44134700,724659968,Thursday,2007-06-29,1,,False,False,8.150000000000006,11.11,True,False,19.099999999999994,25.83,True,False,,,False
2007-07-12,PFC,81.25,85.98,79.25,84.65,33802432,718030272,Thursday,2007-07-06,2,,True,False,3.1700000000000017,3.89,True,False,19.099999999999994,25.83,True,False,,,False
