Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-12-22,PIDILITIND,5.14,5.53,5.14,5.26,22500,39500,Thursday,1994-12-16,,,False,False,,,False,True,,,False,True,,,False
1994-12-29,PIDILITIND,5.34,5.34,5.34,5.34,30000,80000,Thursday,1994-12-23,,,False,False,0.08000000000000007,1.52,True,True,,,False,True,,,False
1995-01-05,PIDILITIND,5.2,5.2,5.2,5.2,7500,39000,Thursday,1994-12-30,1,1,False,False,-0.13999999999999968,-2.62,False,False,-0.2699999999999996,-5.06,False,False,-1.2599999999999998,-23.6,False
1995-01-12,PIDILITIND,5.26,5.26,5.26,5.26,7500,39500,Thursday,1995-01-06,2,2,True,True,0.05999999999999961,1.15,True,False,-0.2699999999999996,-5.06,False,False,-1.2599999999999998,-23.6,False
1995-01-19,PIDILITIND,4.93,5.14,4.93,5.14,22500,77000,Thursday,1995-01-13,3,3,False,False,-0.1200000000000001,-2.28,False,False,-0.2699999999999996,-5.06,False,False,-1.2599999999999998,-23.6,False
1995-01-26,PIDILITIND,5.14,5.14,4.93,4.93,30000,37000,Thursday,1995-01-20,4,4,True,True,-0.20999999999999996,-4.09,False,False,-0.2699999999999996,-5.06,False,False,-1.2599999999999998,-23.6,False
1995-02-02,PIDILITIND,5.0,5.14,5.0,5.14,45000,38500,Thursday,1995-01-27,1,5,False,False,0.20999999999999996,4.26,True,True,-0.41000000000000014,-8.09,False,False,-1.2599999999999998,-23.6,False
1995-02-09,PIDILITIND,5.14,5.14,5.07,5.07,30000,38000,Thursday,1995-02-03,2,6,True,True,-0.0699999999999994,-1.36,False,True,-0.41000000000000014,-8.09,False,False,-1.2599999999999998,-23.6,False
1995-02-16,PIDILITIND,4.86,5.0,4.86,4.86,67500,36500,Thursday,1995-02-10,3,7,False,False,-0.20999999999999996,-4.14,False,True,-0.41000000000000014,-8.09,False,False,-1.2599999999999998,-23.6,False
1995-02-23,PIDILITIND,4.4,4.4,4.2,4.2,15000,63000,Thursday,1995-02-17,4,8,True,True,-0.6600000000000001,-13.58,False,True,-0.41000000000000014,-8.09,False,False,-1.2599999999999998,-23.6,False
1995-03-02,PIDILITIND,4.57,4.99,4.57,4.93,30000,37000,Thursday,1995-02-24,1,9,False,False,0.7299999999999995,17.38,True,False,1.0,21.46,True,False,-1.2599999999999998,-23.6,False
1995-03-09,PIDILITIND,4.93,5.0,4.93,5.0,52500,37500,Thursday,1995-03-03,2,10,True,True,0.07000000000000028,1.42,True,False,1.0,21.46,True,False,-1.2599999999999998,-23.6,False
1995-03-16,PIDILITIND,5.07,5.14,5.07,5.14,30000,77000,Thursday,1995-03-10,3,11,False,False,0.13999999999999968,2.8,True,False,1.0,21.46,True,False,-1.2599999999999998,-23.6,False
1995-03-23,PIDILITIND,4.8,4.93,4.7,4.8,37500,36000,Thursday,1995-03-17,4,12,True,True,-0.33999999999999986,-6.61,False,False,1.0,21.46,True,False,-1.2599999999999998,-23.6,False
1995-03-30,PIDILITIND,4.93,5.07,4.93,5.07,60000,76000,Thursday,1995-03-24,5,13,False,False,0.27000000000000046,5.63,True,False,1.0,21.46,True,False,-1.2599999999999998,-23.6,False
1995-04-06,PIDILITIND,5.47,6.0,5.47,5.74,150000,129000,Thursday,1995-03-31,1,14,False,True,0.6699999999999999,13.21,True,True,-0.9400000000000004,-16.61,False,False,-1.2599999999999998,-23.6,False
1995-04-13,PIDILITIND,6.0,6.0,5.7,5.74,127500,258000,Thursday,1995-04-07,2,15,True,False,0.0,0.0,False,True,-0.9400000000000004,-16.61,False,False,-1.2599999999999998,-23.6,False
1995-04-20,PIDILITIND,5.74,5.74,5.66,5.66,30000,85000,Thursday,1995-04-14,3,16,False,True,-0.08000000000000007,-1.39,False,True,-0.9400000000000004,-16.61,False,False,-1.2599999999999998,-23.6,False
1995-04-27,PIDILITIND,5.36,5.36,4.86,4.86,352500,657000,Thursday,1995-04-21,4,17,True,False,-0.7999999999999998,-14.13,False,True,-0.9400000000000004,-16.61,False,False,-1.2599999999999998,-23.6,False
1995-05-04,PIDILITIND,4.78,4.78,4.4,4.74,120000,71000,Thursday,1995-04-28,1,18,False,True,-0.1200000000000001,-2.47,False,False,-0.1899999999999995,-4.03,False,False,-1.2599999999999998,-23.6,False
1995-05-11,PIDILITIND,4.8,5.07,4.8,4.93,120000,185000,Thursday,1995-05-05,2,19,True,False,0.1899999999999995,4.01,True,False,-0.1899999999999995,-4.03,False,False,-1.2599999999999998,-23.6,False
1995-05-18,PIDILITIND,4.9,4.93,4.66,4.8,90000,108000,Thursday,1995-05-12,3,20,False,True,-0.1299999999999999,-2.64,False,False,-0.1899999999999995,-4.03,False,False,-1.2599999999999998,-23.6,False
