Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2002-04-22,PNB,8.0,8.0,7.0,7.48,20003800,149628432,Monday,,,False,False,,,False,True,,,False,True,,,False
2002-04-29,PNB,7.7,9.49,7.53,9.29,50090090,124935264,Monday,,,False,False,1.8099999999999987,24.2,True,True,,,False,True,,,False
2002-05-06,PNB,9.4,9.65,8.52,8.67,20192275,13655813,Monday,1,,False,False,-0.6199999999999992,-6.67,False,False,-0.22999999999999954,-2.87,False,True,,,False
2002-05-13,PNB,8.8,9.0,7.8,8.03,7788850,14505633,Monday,2,,True,False,-0.6400000000000006,-7.38,False,False,-0.22999999999999954,-2.87,False,True,,,False
2002-05-20,PNB,7.99,8.0,7.21,7.77,5898575,10804107,Monday,3,,False,False,-0.2599999999999998,-3.24,False,False,-0.22999999999999954,-2.87,False,True,,,False
2002-05-27,PNB,7.9,8.26,7.6,7.79,6181885,10267337,Monday,4,,True,False,0.020000000000000462,0.26,True,False,-0.22999999999999954,-2.87,False,True,,,False
2002-06-03,PNB,8.1,8.9,7.5,8.58,19159230,42699188,Monday,1,,False,False,0.79,10.14,True,True,1.8500000000000005,23.75,True,True,,,False
2002-06-10,PNB,8.79,10.34,8.56,9.59,29872680,23003678,Monday,2,,True,False,1.0099999999999998,11.77,True,True,1.8500000000000005,23.75,True,True,,,False
2002-06-17,PNB,11.0,11.0,9.32,9.86,12310870,38251968,Monday,3,,False,False,0.2699999999999996,2.82,True,True,1.8500000000000005,23.75,True,True,,,False
2002-06-24,PNB,9.98,11.2,9.35,9.64,4477295,11334037,Monday,4,,True,False,-0.21999999999999886,-2.23,False,True,1.8500000000000005,23.75,True,True,,,False
2002-07-01,PNB,9.6,9.95,9.45,9.85,7659365,34090408,Monday,1,,False,False,0.20999999999999908,2.18,True,False,-1.0600000000000005,-11.0,False,True,,,False
2002-07-08,PNB,9.9,10.04,9.3,9.51,6778970,6404129,Monday,2,,True,False,-0.33999999999999986,-3.45,False,False,-1.0600000000000005,-11.0,False,True,,,False
2002-07-15,PNB,11.22,11.22,8.6,9.3,4132105,2953308,Monday,3,,False,False,-0.20999999999999908,-2.21,False,False,-1.0600000000000005,-11.0,False,True,,,False
2002-07-22,PNB,9.2,9.7,8.82,8.91,2705280,7509125,Monday,4,,True,False,-0.39000000000000057,-4.19,False,False,-1.0600000000000005,-11.0,False,True,,,False
2002-07-29,PNB,9.0,10.12,8.2,9.15,4085415,8956432,Monday,5,,False,False,0.2400000000000002,2.69,True,False,-1.0600000000000005,-11.0,False,True,,,False
2002-08-05,PNB,9.4,9.43,8.82,8.87,4967195,3057755,Monday,1,,False,False,-0.28000000000000114,-3.06,False,True,0.5500000000000007,6.41,True,True,,,False
