Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2002-05-02,PNB,8.0,9.22,7.0,8.96,56645530,149996048,Thursday,2002-04-26,,,False,False,,,False,False,-0.22999999999999954,-2.87,False,True,,,False
2002-05-09,PNB,9.16,9.65,8.52,8.74,32065570,22176178,Thursday,2002-05-03,,,False,False,-0.22000000000000064,-2.46,False,False,-0.22999999999999954,-2.87,False,True,,,False
2002-05-16,PNB,9.6,9.6,8.22,8.25,7557485,6772301,Thursday,2002-05-10,,,False,False,-0.4900000000000002,-5.61,False,False,-0.22999999999999954,-2.87,False,True,,,False
2002-05-23,PNB,8.2,8.33,7.21,7.52,6314515,8223910,Thursday,2002-05-17,,,False,False,-0.7300000000000004,-8.85,False,False,-0.22999999999999954,-2.87,False,True,,,False
2002-05-30,PNB,7.7,8.26,7.6,7.8,6254360,16710759,Thursday,2002-05-24,,,False,False,0.28000000000000025,3.72,True,False,-0.22999999999999954,-2.87,False,True,,,False
2002-06-06,PNB,7.95,8.9,7.5,8.43,15500650,24393302,Thursday,2002-05-31,1,,False,False,0.6299999999999999,8.08,True,True,1.8500000000000005,23.75,True,True,,,False
2002-06-13,PNB,8.63,10.34,8.39,9.63,32450560,23581512,Thursday,2002-06-07,2,,True,False,1.200000000000001,14.23,True,True,1.8500000000000005,23.75,True,True,,,False
2002-06-20,PNB,9.78,11.0,9.32,9.68,10830075,22245076,Thursday,2002-06-14,3,,False,False,0.049999999999998934,0.52,True,True,1.8500000000000005,23.75,True,True,,,False
2002-06-27,PNB,9.8,11.2,9.35,9.48,7181075,7613862,Thursday,2002-06-21,4,,True,False,-0.1999999999999993,-2.07,False,True,1.8500000000000005,23.75,True,True,,,False
2002-07-04,PNB,9.7,9.9,9.45,9.72,5374140,23455866,Thursday,2002-06-28,1,,False,False,0.2400000000000002,2.53,True,False,-1.0600000000000005,-11.0,False,True,,,False
2002-07-11,PNB,9.9,10.04,9.3,9.36,9566515,13424533,Thursday,2002-07-05,2,,True,False,-0.3600000000000012,-3.7,False,False,-1.0600000000000005,-11.0,False,True,,,False
2002-07-18,PNB,9.45,11.22,9.25,9.38,4487955,2545169,Thursday,2002-07-12,3,,False,False,0.02000000000000135,0.21,True,False,-1.0600000000000005,-11.0,False,True,,,False
2002-07-25,PNB,8.6,9.7,8.6,9.12,2180065,3811385,Thursday,2002-07-19,4,,True,False,-0.26000000000000156,-2.77,False,False,-1.0600000000000005,-11.0,False,True,,,False
2002-08-01,PNB,9.09,9.2,8.53,8.8,3949345,6836544,Thursday,2002-07-26,1,,False,False,-0.3199999999999985,-3.51,False,True,0.5500000000000007,6.41,True,True,,,False
2002-08-08,PNB,10.12,10.12,8.2,8.96,5601310,8247187,Thursday,2002-08-02,2,,True,False,0.16000000000000014,1.82,True,True,0.5500000000000007,6.41,True,True,,,False
2002-08-15,PNB,9.02,9.07,7.45,9.0,2566680,7774740,Thursday,2002-08-09,3,,False,False,0.03999999999999915,0.45,True,True,0.5500000000000007,6.41,True,True,,,False
2002-08-22,PNB,8.92,9.45,8.91,9.15,4502450,3453302,Thursday,2002-08-16,4,,True,False,0.15000000000000036,1.67,True,True,0.5500000000000007,6.41,True,True,,,False
2002-08-29,PNB,9.1,9.39,9.01,9.03,2444565,1640661,Thursday,2002-08-23,5,,False,False,-0.120000000000001,-1.31,False,True,0.5500000000000007,6.41,True,True,,,False
2002-09-05,PNB,9.4,9.4,8.84,8.86,2022825,1050796,Thursday,2002-08-30,1,,False,False,-0.16999999999999993,-1.88,False,False,-0.23000000000000043,-2.52,False,True,,,False
2002-09-12,PNB,8.88,9.12,8.7,8.85,1660075,2574288,Thursday,2002-09-06,2,,True,False,-0.009999999999999787,-0.11,False,False,-0.23000000000000043,-2.52,False,True,,,False
2002-09-19,PNB,8.82,9.22,8.76,8.84,4840415,3502850,Thursday,2002-09-13,3,,False,False,-0.009999999999999787,-0.11,False,False,-0.23000000000000043,-2.52,False,True,,,False
2002-09-26,PNB,8.73,9.0,8.5,8.77,3703350,726595,Thursday,2002-09-20,4,,True,False,-0.07000000000000028,-0.79,False,False,-0.23000000000000043,-2.52,False,True,,,False
2002-10-03,PNB,8.8,8.98,8.76,8.83,1955910,2647323,Thursday,2002-09-27,1,,False,False,0.0600000000000005,0.68,True,True,-0.5899999999999999,-6.63,False,True,,,False
2002-10-10,PNB,8.89,8.89,8.51,8.53,1431775,779216,Thursday,2002-10-04,2,,True,False,-0.3000000000000007,-3.4,False,True,-0.5899999999999999,-6.63,False,True,,,False
2002-10-17,PNB,8.0,8.57,8.0,8.26,1324955,1736500,Thursday,2002-10-11,3,,False,False,-0.2699999999999996,-3.17,False,True,-0.5899999999999999,-6.63,False,True,,,False
2002-10-24,PNB,8.26,8.36,8.09,8.1,808995,2260548,Thursday,2002-10-18,4,,True,False,-0.16000000000000014,-1.94,False,True,-0.5899999999999999,-6.63,False,True,,,False
2002-10-31,PNB,8.1,8.41,8.03,8.31,1364085,733898,Thursday,2002-10-25,5,,False,False,0.21000000000000085,2.59,True,True,-0.5899999999999999,-6.63,False,True,,,False
2002-11-07,PNB,8.2,8.7,8.2,8.59,897690,2106053,Thursday,2002-11-01,1,,False,False,0.27999999999999936,3.37,True,False,0.7400000000000002,8.9,True,True,,,False
2002-11-14,PNB,8.72,8.72,8.22,8.36,2081275,833408,Thursday,2002-11-08,2,,True,False,-0.23000000000000043,-2.68,False,False,0.7400000000000002,8.9,True,True,,,False
