Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2002-01-01,PNB,8.0,14.66,7.0,14.51,388394315,149615440,Tuesday,True,,,False
2003-01-01,PNB,14.4,48.86,11.95,48.27,4628578291,896512704,Wednesday,False,33.760000000000005,232.67,True
2004-01-01,PNB,48.4,82.2,42.48,81.12,2421082121,503590944,Thursday,True,32.85,68.05,True
2005-01-01,PNB,82.1,103.99,67.5,93.25,1474175399,239583488,Saturday,False,12.129999999999995,14.95,True
2006-01-01,PNB,93.4,116.44,60.0,101.4,799387970,123940208,Sunday,True,8.150000000000006,8.74,True
2007-01-01,PNB,102.4,140.0,76.07,132.9,824940060,329035808,Monday,False,31.5,31.07,True
2008-01-01,PNB,133.4,144.0,66.02,105.34,893504690,350818560,Tuesday,True,-27.560000000000002,-20.74,False
2009-01-01,PNB,105.62,199.94,57.2,181.24,1329661596,221272288,Thursday,False,75.9,72.05,True
2010-01-01,PNB,180.0,279.98,169.0,244.4,394390165,304067808,Friday,True,63.16,34.85,True
2011-01-01,PNB,247.0,247.4,150.56,156.16,377044925,170526720,Saturday,False,-88.24000000000001,-36.1,False
2012-01-01,PNB,156.98,218.21,131.84,174.26,735941665,1871442560,Sunday,True,18.099999999999994,11.59,True
2013-01-01,PNB,175.94,184.0,80.04,125.29,1501169015,403252128,Tuesday,False,-48.969999999999985,-28.1,False
2014-01-01,PNB,125.51,230.95,101.83,219.1,1522364684,621996416,Wednesday,True,93.80999999999999,74.87,True
2015-01-01,PNB,218.25,222.0,115.15,115.7,1219228917,945189696,Thursday,False,-103.39999999999999,-47.19,False
2016-01-01,PNB,116.0,164.35,69.25,115.45,2934888362,1118243072,Friday,True,-0.25,-0.22,False
2017-01-01,PNB,117.0,231.45,113.2,171.4,3123194456,1677847168,Sunday,False,55.95,48.46,True
2018-01-01,PNB,172.95,197.0,58.45,78.1,7809339839,1087485824,Monday,True,-93.30000000000001,-54.43,False
2019-01-01,PNB,78.6,99.9,55.7,64.35,6481933282,686016960,Tuesday,False,-13.75,-17.61,False
2020-01-01,PNB,64.5,67.0,26.3,33.05,9757869892,6259280896,Wednesday,True,-31.299999999999997,-48.64,False
2021-01-01,PNB,33.3,48.2,31.9,37.3,27707585219,1171680896,Friday,False,4.25,12.86,True
2022-01-01,PNB,37.3,62.0,28.05,56.45,16413992768,0,Saturday,True,19.150000000000006,51.34,True
2023-01-01,PNB,56.8,59.45,44.4,52.25,4463550492,0,Sunday,False,-4.200000000000003,-7.44,False
