Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2019-04-01,POLYCAB,633.0,667.8,614.0,639.25,34062236,332348640,Monday,True,,,False,False,,,False
2019-05-01,POLYCAB,638.9,677.7,583.3,610.85,9506289,107004424,Wednesday,False,-28.399999999999977,-4.44,False,False,,,False
2019-06-01,POLYCAB,614.0,624.9,578.0,622.05,1108100,42805124,Saturday,True,11.199999999999932,1.83,True,False,,,False
2019-07-01,POLYCAB,626.4,654.8,548.6,560.4,2500237,58807820,Monday,False,-61.64999999999998,-9.91,False,False,,,False
2019-08-01,POLYCAB,563.0,620.0,525.15,614.75,1020283,77649688,Thursday,True,54.35000000000002,9.7,True,False,,,False
2019-09-01,POLYCAB,610.0,710.95,583.0,685.45,2813461,182671056,Sunday,False,70.70000000000005,11.5,True,False,,,False
2019-10-01,POLYCAB,684.7,888.8,656.0,855.5,5317322,177343440,Tuesday,True,170.04999999999995,24.81,True,False,,,False
2019-11-01,POLYCAB,857.65,956.0,836.05,924.25,4651368,81339544,Friday,False,68.75,8.04,True,False,,,False
2019-12-01,POLYCAB,924.25,1091.7,918.55,992.25,6998717,323313760,Sunday,True,68.0,7.36,True,False,,,False
2020-01-01,POLYCAB,988.15,1147.0,950.0,984.55,8695675,202394928,Wednesday,False,-7.7000000000000455,-0.78,False,True,44.59999999999991,4.49,True
2020-02-01,POLYCAB,984.8,1182.0,950.0,1062.7,6743948,638371328,Saturday,True,78.15000000000009,7.94,True,True,44.59999999999991,4.49,True
2020-03-01,POLYCAB,1090.0,1120.0,570.0,742.05,5763845,83342600,Sunday,False,-320.6500000000001,-30.17,False,True,44.59999999999991,4.49,True
2020-04-01,POLYCAB,745.0,793.0,685.15,723.6,3435657,303171744,Wednesday,True,-18.449999999999932,-2.49,False,True,44.59999999999991,4.49,True
2020-05-01,POLYCAB,705.0,731.0,623.95,679.4,3676342,375667456,Friday,False,-44.200000000000045,-6.11,False,True,44.59999999999991,4.49,True
2020-06-01,POLYCAB,694.0,839.85,693.95,789.3,8690611,682533760,Monday,True,109.89999999999998,16.18,True,True,44.59999999999991,4.49,True
2020-07-01,POLYCAB,790.9,885.0,790.9,820.3,8412399,185013744,Wednesday,False,31.0,3.93,True,True,44.59999999999991,4.49,True
2020-08-01,POLYCAB,820.0,939.0,815.0,892.85,7522663,328513440,Saturday,True,72.55000000000007,8.84,True,True,44.59999999999991,4.49,True
2020-09-01,POLYCAB,892.85,910.0,798.0,819.9,3069563,71933928,Tuesday,False,-72.95000000000005,-8.17,False,True,44.59999999999991,4.49,True
2020-10-01,POLYCAB,828.9,975.75,800.9,920.7,7452701,94282440,Thursday,True,100.80000000000007,12.29,True,True,44.59999999999991,4.49,True
2020-11-01,POLYCAB,920.0,975.6,905.0,958.4,7134561,711217152,Sunday,False,37.69999999999993,4.09,True,True,44.59999999999991,4.49,True
2020-12-01,POLYCAB,963.5,1069.8,853.8,1036.85,14453179,167100816,Tuesday,True,78.44999999999993,8.19,True,True,44.59999999999991,4.49,True
2021-01-01,POLYCAB,1038.8,1324.95,1031.0,1222.9,17117433,657177920,Friday,False,186.05000000000018,17.94,True,False,1429.65,137.88,True
2021-02-01,POLYCAB,1238.35,1387.95,1202.5,1337.1,7694840,253582352,Monday,True,114.19999999999982,9.34,True,False,1429.65,137.88,True
2021-03-01,POLYCAB,1360.0,1444.4,1126.1,1379.55,5869198,322781600,Monday,False,42.450000000000045,3.17,True,False,1429.65,137.88,True
2021-04-01,POLYCAB,1394.0,1585.0,1323.2,1467.05,7445211,520491744,Thursday,True,87.5,6.34,True,False,1429.65,137.88,True
2021-05-01,POLYCAB,1460.0,1700.0,1425.45,1674.25,7678665,362910432,Saturday,False,207.20000000000005,14.12,True,False,1429.65,137.88,True
2021-06-01,POLYCAB,1680.0,2008.3,1671.0,1975.05,6851912,440250496,Tuesday,True,300.79999999999995,17.97,True,False,1429.65,137.88,True
2021-07-01,POLYCAB,1980.0,2033.0,1762.0,1850.65,6609790,472208160,Thursday,False,-124.39999999999986,-6.3,False,False,1429.65,137.88,True
2021-08-01,POLYCAB,1869.95,2124.3,1795.0,2067.5,8058463,2985693184,Sunday,True,216.8499999999999,11.72,True,False,1429.65,137.88,True
2021-09-01,POLYCAB,2086.05,2627.0,2030.35,2389.0,17092017,1366324096,Wednesday,False,321.5,15.55,True,False,1429.65,137.88,True
2021-10-01,POLYCAB,2387.0,2648.0,2121.1,2261.4,16846631,829816192,Friday,True,-127.59999999999991,-5.34,False,False,1429.65,137.88,True
2021-11-01,POLYCAB,2280.0,2543.85,2142.0,2305.95,7387919,1120504960,Monday,False,44.54999999999973,1.97,True,False,1429.65,137.88,True
2021-12-01,POLYCAB,2324.0,2609.25,2207.2,2466.5,7389765,993370560,Wednesday,True,160.55000000000018,6.96,True,False,1429.65,137.88,True
2022-01-01,POLYCAB,2470.0,2771.75,2377.3,2523.9,12483198,626638912,Saturday,False,57.40000000000009,2.33,True,True,102.59999999999991,4.16,True
2022-02-01,POLYCAB,2549.9,2584.95,2253.0,2374.85,438351152,521697568,Tuesday,True,-149.05000000000018,-5.91,False,True,102.59999999999991,4.16,True
2022-03-01,POLYCAB,2350.0,2498.0,2162.0,2364.4,5980823,625799936,Tuesday,False,-10.449999999999818,-0.44,False,True,102.59999999999991,4.16,True
2022-04-01,POLYCAB,2355.0,2820.0,2355.0,2486.15,10559184,0,Friday,True,121.75,5.15,True,True,102.59999999999991,4.16,True
2022-05-01,POLYCAB,2480.0,2629.9,2365.0,2441.8,6559489,0,Sunday,False,-44.34999999999991,-1.78,False,True,102.59999999999991,4.16,True
2022-06-01,POLYCAB,2449.95,2570.7,2043.85,2201.2,7495534,0,Wednesday,True,-240.60000000000036,-9.85,False,True,102.59999999999991,4.16,True
2022-07-01,POLYCAB,2202.5,2336.0,2104.0,2317.45,9575763,0,Friday,False,116.25,5.28,True,True,102.59999999999991,4.16,True
2022-08-01,POLYCAB,2336.0,2502.95,2288.35,2470.15,5855215,0,Monday,True,152.70000000000027,6.59,True,True,102.59999999999991,4.16,True
2022-09-01,POLYCAB,2462.95,2719.75,2441.1,2560.75,5777140,0,Thursday,False,90.59999999999991,3.67,True,True,102.59999999999991,4.16,True
2022-10-01,POLYCAB,2550.0,2862.5,2531.0,2777.45,7044429,0,Saturday,True,216.69999999999982,8.46,True,True,102.59999999999991,4.16,True
2022-11-01,POLYCAB,2782.3,2846.4,2500.0,2565.0,7596495,0,Tuesday,False,-212.44999999999982,-7.65,False,True,102.59999999999991,4.16,True
2022-12-01,POLYCAB,2573.9,3025.0,2500.25,2569.1,12157013,0,Thursday,True,4.099999999999909,0.16,True,True,102.59999999999991,4.16,True
2023-01-01,POLYCAB,2570.2,2934.65,2546.05,2921.25,5890976,0,Sunday,False,352.1500000000001,13.71,True,False,636.25,24.77,True
2023-02-01,POLYCAB,2949.0,3143.4,2904.75,3081.35,7324353,0,Wednesday,True,160.0999999999999,5.48,True,False,636.25,24.77,True
2023-03-01,POLYCAB,3084.0,3142.0,2753.9,2880.05,5747575,0,Wednesday,False,-201.29999999999973,-6.53,False,False,636.25,24.77,True
2023-04-01,POLYCAB,2903.4,3213.0,2900.0,3205.35,4017914,0,Saturday,True,325.2999999999997,11.29,True,False,636.25,24.77,True
