Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2006-01-01,PVR,281.1,344.4,188.4,229.0,15176863,13229101,Sunday,True,,,False
2007-01-01,PVR,231.1,343.75,149.05,343.75,18022832,18611312,Monday,False,114.75,50.11,True
2008-01-01,PVR,360.95,379.0,58.2,99.4,11094324,4549240,Tuesday,True,-244.35,-71.08,False
2009-01-01,PVR,99.75,193.95,67.2,185.4,33453453,875459,Thursday,False,86.0,86.52,True
2010-01-01,PVR,176.3,204.85,131.25,147.1,15616848,4752213,Friday,True,-38.30000000000001,-20.66,False
2011-01-01,PVR,148.0,164.0,93.0,129.6,25249822,1129335,Saturday,False,-17.5,-11.9,False
2012-01-01,PVR,130.0,340.9,127.6,280.35,29262997,41041560,Sunday,True,150.75000000000003,116.32,True
2013-01-01,PVR,283.2,658.4,229.3,648.7,20604748,43625076,Tuesday,False,368.35,131.39,True
2014-01-01,PVR,648.7,749.0,465.0,700.85,24420322,6602007,Wednesday,True,52.14999999999998,8.04,True
2015-01-01,PVR,705.5,887.9,607.3,801.75,40218453,59824980,Thursday,False,100.89999999999998,14.4,True
2016-01-01,PVR,797.55,1334.8,645.25,1148.75,33354135,305882272,Friday,True,347.0,43.28,True
2017-01-01,PVR,1148.5,1655.0,1142.05,1411.05,51997293,213253408,Sunday,False,262.29999999999995,22.83,True
2018-01-01,PVR,1424.0,1611.7,1062.8,1604.55,92281689,778508416,Monday,True,193.5,13.71,True
2019-01-01,PVR,1600.1,1924.0,1345.25,1898.4,104961393,780622080,Tuesday,False,293.85000000000014,18.31,True
2020-01-01,PVR,1907.0,2125.0,718.3,1320.2,515650979,2167468544,Wednesday,True,-578.2,-30.46,False
2021-01-01,PVR,1324.0,1839.0,988.35,1298.3,310626065,1793058816,Friday,False,-21.90000000000009,-1.66,False
2022-01-01,PVR,1271.55,2214.85,1256.0,1720.15,1124694052,0,Saturday,True,421.85000000000014,32.49,True
2023-01-01,PVR,1728.8,1771.4,1430.55,1463.15,44129123,0,Sunday,False,-257.0,-14.94,False
