Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2008-03-10,RAIN,35.6,39.49,32.47,34.0,8239670,258044192,Monday,,,False,False,,,False,False,,,False,True,,,False
2008-03-17,RAIN,32.33,33.2,27.68,28.08,742665,6706768,Monday,,,False,False,-5.920000000000002,-17.41,False,False,,,False,True,,,False
2008-03-24,RAIN,29.0,43.0,25.0,38.49,4617850,15525904,Monday,,,False,False,10.410000000000004,37.07,True,False,,,False,True,,,False
2008-03-31,RAIN,38.99,45.68,38.4,43.71,2836055,24709482,Monday,,,False,False,5.219999999999999,13.56,True,False,,,False,True,,,False
2008-04-07,RAIN,44.0,45.18,41.1,43.83,1676860,26802044,Monday,1,,False,False,0.11999999999999744,0.27,True,True,9.75,24.74,True,True,,,False
2008-04-14,RAIN,44.49,49.94,43.36,49.13,3172190,55934256,Monday,2,,True,False,5.300000000000004,12.09,True,True,9.75,24.74,True,True,,,False
2008-04-21,RAIN,50.0,54.05,49.23,51.03,5215955,33276152,Monday,3,,False,False,1.8999999999999986,3.87,True,True,9.75,24.74,True,True,,,False
2008-04-28,RAIN,51.8,51.8,45.65,46.2,1628250,27935060,Monday,4,,True,False,-4.829999999999998,-9.47,False,True,9.75,24.74,True,True,,,False
2008-05-05,RAIN,45.01,48.8,42.62,43.53,1698850,11910243,Monday,1,,False,False,-2.6700000000000017,-5.78,False,False,-6.019999999999996,-12.25,False,True,,,False
2008-05-12,RAIN,43.0,44.98,42.0,44.07,763240,7359470,Monday,2,,True,False,0.5399999999999991,1.24,True,False,-6.019999999999996,-12.25,False,True,,,False
2008-05-19,RAIN,43.62,47.8,42.0,44.37,1195215,8269459,Monday,3,,False,False,0.29999999999999716,0.68,True,False,-6.019999999999996,-12.25,False,True,,,False
2008-05-26,RAIN,43.58,43.9,40.0,43.14,1124030,8629510,Monday,4,,True,False,-1.2299999999999969,-2.77,False,False,-6.019999999999996,-12.25,False,True,,,False
2008-06-02,RAIN,43.0,44.0,39.26,40.78,1202200,6697707,Monday,1,,False,False,-2.3599999999999994,-5.47,False,True,-7.280000000000001,-16.88,False,True,,,False
2008-06-09,RAIN,39.6,40.76,35.62,38.89,1520790,11470022,Monday,2,,True,False,-1.8900000000000006,-4.63,False,True,-7.280000000000001,-16.88,False,True,,,False
2008-06-16,RAIN,39.75,44.39,37.4,38.23,1789590,20631392,Monday,3,,False,False,-0.6600000000000037,-1.7,False,True,-7.280000000000001,-16.88,False,True,,,False
2008-06-23,RAIN,37.4,40.52,36.8,38.07,4030550,6918271,Monday,4,,True,False,-0.1599999999999966,-0.42,False,True,-7.280000000000001,-16.88,False,True,,,False
2008-06-30,RAIN,39.0,39.0,31.6,34.68,1311195,2990110,Monday,5,,False,False,-3.3900000000000006,-8.9,False,True,-7.280000000000001,-16.88,False,True,,,False
2008-07-07,RAIN,35.8,40.76,33.81,37.73,811135,16365387,Monday,1,,False,False,3.049999999999997,8.79,True,False,7.960000000000001,22.2,True,True,,,False
2008-07-14,RAIN,36.8,38.2,33.81,35.24,549890,8427646,Monday,2,,True,False,-2.489999999999995,-6.6,False,False,7.960000000000001,22.2,True,True,,,False
