Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2016-09-01,RBLBANK,274.2,316.5,274.2,305.15,93963994,4485547008,Thursday,2016-08-26,,,False,False,,,False,False,-8.199999999999989,-2.74,False,True,,,False
2016-09-08,RBLBANK,306.5,312.8,298.55,305.5,16196765,461155008,Thursday,2016-09-02,,,False,False,0.35000000000002274,0.11,True,False,-8.199999999999989,-2.74,False,True,,,False
2016-09-15,RBLBANK,303.65,303.65,287.6,299.35,5786556,385631648,Thursday,2016-09-09,,,False,False,-6.149999999999977,-2.01,False,False,-8.199999999999989,-2.74,False,True,,,False
2016-09-22,RBLBANK,300.6,304.5,296.3,302.15,4405498,334553472,Thursday,2016-09-16,,,False,False,2.7999999999999545,0.94,True,False,-8.199999999999989,-2.74,False,True,,,False
2016-09-29,RBLBANK,303.0,307.95,281.55,285.9,4748126,354172928,Thursday,2016-09-23,,,False,False,-16.25,-5.38,False,False,-8.199999999999989,-2.74,False,True,,,False
2016-10-06,RBLBANK,287.0,307.5,286.05,304.3,4736178,614131840,Thursday,2016-09-30,1,,False,False,18.400000000000034,6.44,True,True,99.40000000000003,34.13,True,True,,,False
2016-10-13,RBLBANK,305.0,315.45,303.8,306.25,4359329,194376576,Thursday,2016-10-07,2,,True,False,1.9499999999999886,0.64,True,True,99.40000000000003,34.13,True,True,,,False
2016-10-20,RBLBANK,307.0,335.0,303.0,328.05,22096978,4910600704,Thursday,2016-10-14,3,,False,False,21.80000000000001,7.12,True,True,99.40000000000003,34.13,True,True,,,False
2016-10-27,RBLBANK,328.0,367.0,322.5,361.15,12527298,921894208,Thursday,2016-10-21,4,,True,False,33.099999999999966,10.09,True,True,99.40000000000003,34.13,True,True,,,False
2016-11-03,RBLBANK,364.8,404.4,364.75,378.95,19402654,709526656,Thursday,2016-10-28,1,,False,False,17.80000000000001,4.93,True,False,-26.850000000000023,-6.87,False,True,,,False
2016-11-10,RBLBANK,381.35,392.0,330.0,380.9,19098047,1305145088,Thursday,2016-11-04,2,,True,False,1.9499999999999886,0.51,True,False,-26.850000000000023,-6.87,False,True,,,False
2016-11-17,RBLBANK,379.15,389.0,338.0,341.7,9873491,845350784,Thursday,2016-11-11,3,,False,False,-39.19999999999999,-10.29,False,False,-26.850000000000023,-6.87,False,True,,,False
2016-11-24,RBLBANK,342.1,348.0,330.4,337.6,7511643,384151328,Thursday,2016-11-18,4,,True,False,-4.099999999999966,-1.2,False,False,-26.850000000000023,-6.87,False,True,,,False
2016-12-01,RBLBANK,341.3,367.0,341.1,352.35,8798516,400494752,Thursday,2016-11-25,1,,False,False,14.75,4.37,True,True,-28.649999999999977,-7.88,False,True,,,False
2016-12-08,RBLBANK,348.6,356.75,340.0,354.1,5331122,380979744,Thursday,2016-12-02,2,,True,False,1.75,0.5,True,True,-28.649999999999977,-7.88,False,True,,,False
2016-12-15,RBLBANK,355.75,359.25,336.1,355.7,4232099,764322496,Thursday,2016-12-09,3,,False,False,1.599999999999966,0.45,True,True,-28.649999999999977,-7.88,False,True,,,False
2016-12-22,RBLBANK,357.9,359.6,339.2,340.2,4551651,472602112,Thursday,2016-12-16,4,,True,False,-15.5,-4.36,False,True,-28.649999999999977,-7.88,False,True,,,False
2016-12-29,RBLBANK,340.0,342.3,325.1,331.65,4994464,327650944,Thursday,2016-12-23,5,,False,False,-8.550000000000011,-2.51,False,True,-28.649999999999977,-7.88,False,True,,,False
2017-01-05,RBLBANK,332.6,355.0,332.0,353.95,4269581,338117824,Thursday,2016-12-30,1,1,False,False,22.30000000000001,6.72,True,False,47.049999999999955,14.04,True,False,175.0,52.22,True
2017-01-12,RBLBANK,356.0,373.9,353.3,367.75,4573223,312421280,Thursday,2017-01-06,2,2,True,True,13.800000000000011,3.9,True,False,47.049999999999955,14.04,True,False,175.0,52.22,True
2017-01-19,RBLBANK,369.0,386.0,362.55,377.9,4181391,293874304,Thursday,2017-01-13,3,3,False,False,10.149999999999977,2.76,True,False,47.049999999999955,14.04,True,False,175.0,52.22,True
2017-01-26,RBLBANK,380.0,394.8,366.25,390.05,9002498,420139616,Thursday,2017-01-20,4,4,True,True,12.150000000000034,3.22,True,False,47.049999999999955,14.04,True,False,175.0,52.22,True
2017-02-02,RBLBANK,391.95,411.6,380.1,394.45,9250654,489607136,Thursday,2017-01-27,1,5,False,False,4.399999999999977,1.13,True,True,94.55000000000001,24.74,True,False,175.0,52.22,True
2017-02-09,RBLBANK,396.4,399.75,388.35,394.4,4971745,356848768,Thursday,2017-02-03,2,6,True,True,-0.05000000000001137,-0.01,False,True,94.55000000000001,24.74,True,False,175.0,52.22,True
2017-02-16,RBLBANK,394.65,416.4,387.2,413.1,8218187,1292217344,Thursday,2017-02-10,3,7,False,False,18.700000000000045,4.74,True,True,94.55000000000001,24.74,True,False,175.0,52.22,True
2017-02-23,RBLBANK,417.7,474.15,413.6,456.9,11856093,2825860608,Thursday,2017-02-17,4,8,True,True,43.799999999999955,10.6,True,True,94.55000000000001,24.74,True,False,175.0,52.22,True
2017-03-02,RBLBANK,458.0,488.0,455.55,462.5,14541936,1387428352,Thursday,2017-02-24,1,9,False,False,5.600000000000023,1.23,True,False,17.850000000000023,3.74,True,False,175.0,52.22,True
2017-03-09,RBLBANK,461.9,482.9,452.0,471.8,8582642,907025600,Thursday,2017-03-03,2,10,True,True,9.300000000000011,2.01,True,False,17.850000000000023,3.74,True,False,175.0,52.22,True
2017-03-16,RBLBANK,473.15,484.35,466.65,479.15,3285883,573748608,Thursday,2017-03-10,3,11,False,False,7.349999999999966,1.56,True,False,17.850000000000023,3.74,True,False,175.0,52.22,True
2017-03-23,RBLBANK,480.95,509.95,478.0,500.1,7836993,381735840,Thursday,2017-03-17,4,12,True,True,20.950000000000045,4.37,True,False,17.850000000000023,3.74,True,False,175.0,52.22,True
2017-03-30,RBLBANK,500.7,503.9,481.3,486.55,4463541,283899008,Thursday,2017-03-24,5,13,False,False,-13.550000000000011,-2.71,False,False,17.850000000000023,3.74,True,False,175.0,52.22,True
2017-04-06,RBLBANK,486.95,551.0,482.5,547.1,8691679,1279821184,Thursday,2017-03-31,1,14,False,True,60.55000000000001,12.44,True,True,69.90000000000003,14.13,True,False,175.0,52.22,True
2017-04-13,RBLBANK,542.95,599.4,540.1,558.65,20466117,1193033472,Thursday,2017-04-07,2,15,True,False,11.549999999999955,2.11,True,True,69.90000000000003,14.13,True,False,175.0,52.22,True
2017-04-20,RBLBANK,554.25,584.35,527.4,577.4,11426475,1033151680,Thursday,2017-04-14,3,16,False,True,18.75,3.36,True,True,69.90000000000003,14.13,True,False,175.0,52.22,True
2017-04-27,RBLBANK,580.0,584.8,547.55,553.4,7293171,830392256,Thursday,2017-04-21,4,17,True,False,-24.0,-4.16,False,True,69.90000000000003,14.13,True,False,175.0,52.22,True
2017-05-04,RBLBANK,556.85,600.9,553.5,571.4,13203589,1206777472,Thursday,2017-04-28,1,18,False,True,18.0,3.25,True,False,-36.75,-6.51,False,False,175.0,52.22,True
2017-05-11,RBLBANK,575.0,576.0,551.6,561.4,4742249,557812672,Thursday,2017-05-05,2,19,True,False,-10.0,-1.75,False,False,-36.75,-6.51,False,False,175.0,52.22,True
2017-05-18,RBLBANK,562.3,569.9,551.0,552.15,3972327,580265472,Thursday,2017-05-12,3,20,False,True,-9.25,-1.65,False,False,-36.75,-6.51,False,False,175.0,52.22,True
2017-05-25,RBLBANK,560.95,567.0,502.2,545.6,5953490,574433280,Thursday,2017-05-19,4,21,True,False,-6.5499999999999545,-1.19,False,False,-36.75,-6.51,False,False,175.0,52.22,True
2017-06-01,RBLBANK,549.4,554.25,495.85,550.1,18402683,2012255232,Thursday,2017-05-26,1,22,False,True,4.5,0.82,True,True,-19.950000000000045,-3.78,False,False,175.0,52.22,True
2017-06-08,RBLBANK,552.0,558.0,537.5,544.65,6456591,846053376,Thursday,2017-06-02,2,23,True,False,-5.4500000000000455,-0.99,False,True,-19.950000000000045,-3.78,False,False,175.0,52.22,True
2017-06-15,RBLBANK,543.0,543.7,510.1,514.0,5973935,461477952,Thursday,2017-06-09,3,24,False,True,-30.649999999999977,-5.63,False,True,-19.950000000000045,-3.78,False,False,175.0,52.22,True
