Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2008-03-01,RECLTD,64.95,64.95,46.33,53.23,370575234,238510272,Saturday,False,,,False,True,,,False
2008-04-01,RECLTD,53.73,63.1,50.55,61.28,81567820,947747904,Tuesday,True,8.050000000000004,15.12,True,True,,,False
2008-05-01,RECLTD,62.35,62.95,53.05,53.6,42775718,28822112,Thursday,False,-7.68,-12.53,False,True,,,False
2008-06-01,RECLTD,53.88,54.4,41.53,41.85,18106224,20357178,Sunday,True,-11.75,-21.92,False,True,,,False
2008-07-01,RECLTD,41.5,47.25,36.0,43.88,20760078,81534144,Tuesday,False,2.030000000000001,4.85,True,True,,,False
2008-08-01,RECLTD,43.53,48.55,40.95,43.58,26700202,127473176,Friday,True,-0.30000000000000426,-0.68,False,True,,,False
2008-09-01,RECLTD,42.98,47.45,33.55,40.63,18353522,36399676,Monday,False,-2.9499999999999957,-6.77,False,True,,,False
2008-10-01,RECLTD,41.0,42.48,28.0,32.98,13607714,13611420,Wednesday,True,-7.650000000000006,-18.83,False,True,,,False
2008-11-01,RECLTD,33.75,36.5,26.5,27.45,7756226,14893218,Saturday,False,-5.529999999999998,-16.77,False,True,,,False
2008-12-01,RECLTD,27.05,39.5,27.05,36.45,61191506,18240746,Monday,True,9.000000000000004,32.79,True,True,,,False
2009-01-01,RECLTD,36.63,42.3,36.05,40.05,45078104,27493604,Thursday,False,3.5999999999999943,9.88,True,False,84.95,233.06,True
2009-02-01,RECLTD,39.5,44.8,37.55,39.38,14526280,19111996,Sunday,True,-0.6699999999999946,-1.67,False,False,84.95,233.06,True
2009-03-01,RECLTD,38.93,49.48,37.78,48.05,21113696,41498476,Sunday,False,8.669999999999995,22.02,True,False,84.95,233.06,True
2009-04-01,RECLTD,47.5,57.33,47.25,51.55,30931376,50082372,Wednesday,True,3.5,7.28,True,False,84.95,233.06,True
2009-05-01,RECLTD,52.9,77.1,52.1,73.25,44097412,114186056,Friday,False,21.700000000000003,42.1,True,False,84.95,233.06,True
2009-06-01,RECLTD,71.8,86.75,71.03,81.73,50645152,136757952,Monday,True,8.480000000000004,11.58,True,False,84.95,233.06,True
2009-07-01,RECLTD,81.2,103.9,73.53,101.35,68595278,547685888,Wednesday,False,19.61999999999999,24.01,True,False,84.95,233.06,True
2009-08-01,RECLTD,101.9,112.25,89.0,111.05,54316016,294104384,Saturday,True,9.700000000000003,9.57,True,False,84.95,233.06,True
2009-09-01,RECLTD,111.95,112.33,95.3,100.7,50422204,92469584,Tuesday,False,-10.349999999999994,-9.32,False,False,84.95,233.06,True
2009-10-01,RECLTD,101.35,107.68,94.08,100.03,37268934,148330080,Thursday,True,-0.6700000000000017,-0.67,False,False,84.95,233.06,True
2009-11-01,RECLTD,100.6,123.68,99.0,122.48,35471330,284715424,Sunday,False,22.450000000000003,22.44,True,False,84.95,233.06,True
2009-12-01,RECLTD,125.0,132.95,112.53,121.4,35666664,206233104,Tuesday,True,-1.0799999999999983,-0.88,False,False,84.95,233.06,True
2010-01-01,RECLTD,122.45,137.4,116.1,119.83,52949080,173511872,Friday,False,-1.5700000000000074,-1.29,False,True,28.150000000000006,23.19,True
2010-02-01,RECLTD,120.03,125.93,103.08,121.6,79916748,1438624256,Monday,True,1.769999999999996,1.48,True,True,28.150000000000006,23.19,True
2010-03-01,RECLTD,122.0,128.55,115.0,125.33,149301076,542336128,Monday,False,3.730000000000004,3.07,True,True,28.150000000000006,23.19,True
2010-04-01,RECLTD,125.53,133.93,123.0,126.85,55298634,387205568,Thursday,True,1.519999999999996,1.21,True,True,28.150000000000006,23.19,True
