Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-07,SAIL,54.5,54.5,52.5,52.5,11900,467250,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-14,SAIL,53.5,54.5,52.5,53.5,5700,48150,Monday,,,False,False,1.0,1.9,True,False,,,False,True,,,False
1994-11-21,SAIL,53.75,54.0,51.5,52.5,5900,84000,Monday,,,False,False,-1.0,-1.87,False,False,,,False,True,,,False
1994-11-28,SAIL,52.25,56.25,52.0,55.0,73100,484000,Monday,,,False,False,2.5,4.76,True,False,,,False,True,,,False
1994-12-05,SAIL,54.5,54.5,51.5,54.5,23000,376050,Monday,1,,False,False,-0.5,-0.91,False,True,-2.5,-4.59,False,True,,,False
1994-12-12,SAIL,51.5,52.5,50.0,52.5,3100,42000,Monday,2,,True,False,-2.0,-3.67,False,True,-2.5,-4.59,False,True,,,False
1994-12-19,SAIL,53.0,53.0,49.25,51.5,6000,92700,Monday,3,,False,False,-1.0,-1.9,False,True,-2.5,-4.59,False,True,,,False
1994-12-26,SAIL,52.25,53.0,51.5,52.0,3400,5200,Monday,4,,True,False,0.5,0.97,True,True,-2.5,-4.59,False,True,,,False
1995-01-02,SAIL,51.0,52.0,49.0,50.0,13400,10000,Monday,1,1,False,False,-2.0,-3.85,False,False,-12.700000000000003,-24.42,False,False,-25.35,-48.75,False
1995-01-09,SAIL,50.0,50.0,44.6,44.6,9900,133800,Monday,2,2,True,True,-5.399999999999999,-10.8,False,False,-12.700000000000003,-24.42,False,False,-25.35,-48.75,False
1995-01-16,SAIL,45.5,47.0,45.4,46.25,18900,254375,Monday,3,3,False,False,1.6499999999999986,3.7,True,False,-12.700000000000003,-24.42,False,False,-25.35,-48.75,False
1995-01-23,SAIL,46.0,46.0,40.0,41.05,43800,849735,Monday,4,4,True,True,-5.200000000000003,-11.24,False,False,-12.700000000000003,-24.42,False,False,-25.35,-48.75,False
1995-01-30,SAIL,43.0,43.0,38.95,39.25,159600,2095950,Monday,5,5,False,False,-1.7999999999999972,-4.38,False,False,-12.700000000000003,-24.42,False,False,-25.35,-48.75,False
1995-02-06,SAIL,39.6,40.4,38.0,38.1,104800,320040,Monday,1,6,False,True,-1.1499999999999986,-2.93,False,True,-1.5499999999999972,-3.94,False,False,-25.35,-48.75,False
1995-02-13,SAIL,38.0,39.0,36.6,37.0,51300,199800,Monday,2,7,True,False,-1.1000000000000014,-2.89,False,True,-1.5499999999999972,-3.94,False,False,-25.35,-48.75,False
1995-02-20,SAIL,37.5,38.25,36.0,37.95,47200,694485,Monday,3,8,False,True,0.9500000000000028,2.57,True,True,-1.5499999999999972,-3.94,False,False,-25.35,-48.75,False
1995-02-27,SAIL,38.15,39.25,37.5,38.15,72700,732480,Monday,4,9,True,False,0.19999999999999574,0.53,True,True,-1.5499999999999972,-3.94,False,False,-25.35,-48.75,False
1995-03-06,SAIL,38.5,38.5,37.0,37.75,76800,392600,Monday,1,10,False,True,-0.3999999999999986,-1.05,False,False,-3.25,-8.61,False,False,-25.35,-48.75,False
1995-03-13,SAIL,36.0,39.75,36.0,37.5,134800,622500,Monday,2,11,True,False,-0.25,-0.66,False,False,-3.25,-8.61,False,False,-25.35,-48.75,False
1995-03-20,SAIL,36.75,36.75,34.0,34.5,185800,707250,Monday,3,12,False,True,-3.0,-8.0,False,False,-3.25,-8.61,False,False,-25.35,-48.75,False
1995-03-27,SAIL,34.0,35.45,34.0,34.5,33400,34500,Monday,4,13,True,False,0.0,0.0,False,False,-3.25,-8.61,False,False,-25.35,-48.75,False
1995-04-03,SAIL,34.0,36.4,33.5,35.9,103800,556450,Monday,1,14,False,True,1.3999999999999986,4.06,True,True,-2.5,-7.25,False,False,-25.35,-48.75,False
1995-04-10,SAIL,35.5,36.0,35.0,35.95,18600,158180,Monday,2,15,True,False,0.05000000000000426,0.14,True,True,-2.5,-7.25,False,False,-25.35,-48.75,False
1995-04-17,SAIL,35.0,36.0,33.5,34.0,42500,129200,Monday,3,16,False,True,-1.9500000000000028,-5.42,False,True,-2.5,-7.25,False,False,-25.35,-48.75,False
1995-04-24,SAIL,34.0,34.75,32.0,32.0,33200,44800,Monday,4,17,True,False,-2.0,-5.88,False,True,-2.5,-7.25,False,False,-25.35,-48.75,False
1995-05-01,SAIL,32.25,32.25,30.5,31.35,161300,1090980,Monday,1,18,False,True,-0.6499999999999986,-2.03,False,False,8.799999999999997,27.5,True,False,-25.35,-48.75,False
