Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1994-01-01,SAIL,54.5,56.25,49.25,52.0,132100,5200,Saturday,True,,,False
1995-01-01,SAIL,51.0,52.0,24.05,26.65,3780900,101270,Sunday,False,-25.35,-48.75,False
1996-01-01,SAIL,26.75,35.25,15.3,20.3,26560400,2616670,Monday,True,-6.349999999999998,-23.83,False
1997-01-01,SAIL,21.0,27.0,9.45,9.8,47364900,1628760,Wednesday,False,-10.5,-51.72,False
1998-01-01,SAIL,9.85,16.6,4.9,5.7,203611900,1615950,Thursday,True,-4.1000000000000005,-41.84,False
1999-01-01,SAIL,5.7,16.75,4.9,11.3,472416260,6218289,Friday,False,5.6000000000000005,98.25,True
2000-01-01,SAIL,12.25,15.9,4.75,6.4,279812605,6307559,Saturday,True,-4.9,-43.36,False
2001-01-01,SAIL,6.3,10.05,3.95,4.85,241235629,561446,Monday,False,-1.5500000000000007,-24.22,False
2002-01-01,SAIL,4.75,13.2,4.6,10.25,811403822,25681416,Tuesday,True,5.4,111.34,True
2003-01-01,SAIL,10.3,61.75,8.65,51.1,6286657140,1724599552,Wednesday,False,40.85,398.54,True
2004-01-01,SAIL,51.4,65.4,20.5,62.7,7184147075,1181237888,Thursday,True,11.600000000000001,22.7,True
2005-01-01,SAIL,63.5,70.35,47.05,54.1,3260109054,176963152,Saturday,False,-8.600000000000001,-13.72,False
2006-01-01,SAIL,54.3,96.2,49.55,89.05,2580512862,583116544,Sunday,True,34.949999999999996,64.6,True
2007-01-01,SAIL,89.5,293.0,82.45,284.55,2510282780,2104114816,Monday,False,195.5,219.54,True
2008-01-01,SAIL,284.7,290.4,55.25,77.5,2642042302,916414080,Tuesday,True,-207.05,-72.76,False
2009-01-01,SAIL,78.0,243.8,69.5,241.7,2561449340,1965345792,Thursday,False,164.2,211.87,True
2010-01-01,SAIL,240.7,267.0,166.0,182.5,990847711,472427712,Friday,True,-59.19999999999999,-24.49,False
2011-01-01,SAIL,183.5,189.7,73.2,81.5,803836253,321304288,Saturday,False,-101.0,-55.34,False
2012-01-01,SAIL,81.9,115.9,75.75,90.65,822404220,157934784,Sunday,True,9.150000000000006,11.23,True
2013-01-01,SAIL,91.25,101.75,37.6,72.45,1004527589,136624832,Tuesday,False,-18.200000000000003,-20.08,False
2014-01-01,SAIL,72.6,112.95,54.05,82.55,1441307449,166866736,Wednesday,True,10.099999999999994,13.94,True
2015-01-01,SAIL,82.55,84.25,43.25,48.35,792974199,611453056,Thursday,False,-34.199999999999996,-41.43,False
2016-01-01,SAIL,48.5,56.1,33.5,49.3,1487030429,175241184,Friday,True,0.9499999999999957,1.96,True
2017-01-01,SAIL,49.5,93.75,48.85,92.15,2017704688,996714688,Sunday,False,42.85000000000001,86.92,True
2018-01-01,SAIL,92.6,101.45,49.0,56.35,3263139869,1184585600,Monday,True,-35.800000000000004,-38.85,False
2019-01-01,SAIL,56.7,60.2,29.55,42.9,6065910848,882270080,Tuesday,False,-13.450000000000003,-23.87,False
2020-01-01,SAIL,43.15,74.7,20.15,74.1,8325822431,10169271296,Wednesday,True,31.199999999999996,72.73,True
2021-01-01,SAIL,73.95,151.3,55.3,107.2,15223200741,2358080512,Friday,False,33.10000000000001,44.67,True
2022-01-01,SAIL,107.7,113.65,63.6,82.65,9585656294,0,Saturday,True,-24.549999999999997,-22.9,False
2023-01-01,SAIL,83.3,93.9,77.6,82.8,1394074268,0,Sunday,False,0.14999999999999147,0.18,True
