Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-10,SBIN,18.5,18.75,18.5,18.6,569500,2724900,Thursday,1994-11-04,,,False,False,,,False,False,,,False,True,,,False
1994-11-17,SBIN,18.5,20.5,18.48,20.35,1437000,12525425,Thursday,1994-11-11,,,False,False,1.75,9.41,True,False,,,False,True,,,False
1994-11-24,SBIN,20.0,22.6,20.0,21.4,1810000,2921100,Thursday,1994-11-18,,,False,False,1.0499999999999972,5.16,True,False,,,False,True,,,False
1994-12-01,SBIN,21.5,24.0,21.45,23.05,3545500,23142200,Thursday,1994-11-25,1,,False,False,1.6500000000000021,7.71,True,True,-0.5800000000000018,-2.54,False,True,,,False
1994-12-08,SBIN,23.0,23.13,21.7,21.92,2025000,7629900,Thursday,1994-12-02,2,,True,False,-1.129999999999999,-4.9,False,True,-0.5800000000000018,-2.54,False,True,,,False
1994-12-15,SBIN,21.9,21.98,20.55,21.45,1470000,6402825,Thursday,1994-12-09,3,,False,False,-0.4700000000000024,-2.14,False,True,-0.5800000000000018,-2.54,False,True,,,False
1994-12-22,SBIN,21.3,22.35,21.2,21.92,3028500,5810125,Thursday,1994-12-16,4,,True,False,0.4700000000000024,2.19,True,True,-0.5800000000000018,-2.54,False,True,,,False
1994-12-29,SBIN,21.81,22.6,21.76,22.02,1634000,5141670,Thursday,1994-12-23,5,,False,False,0.09999999999999787,0.46,True,True,-0.5800000000000018,-2.54,False,True,,,False
1995-01-05,SBIN,21.88,22.4,21.42,21.44,969500,4438080,Thursday,1994-12-30,1,1,False,False,-0.5799999999999983,-2.63,False,False,-3.75,-16.88,False,False,-2.41,-10.85,False
1995-01-12,SBIN,21.25,21.49,18.9,19.5,1255000,4046250,Thursday,1995-01-06,2,2,True,True,-1.9400000000000013,-9.05,False,False,-3.75,-16.88,False,False,-2.41,-10.85,False
1995-01-19,SBIN,19.45,20.2,19.15,19.51,621000,3492290,Thursday,1995-01-13,3,3,False,False,0.010000000000001563,0.05,True,False,-3.75,-16.88,False,False,-2.41,-10.85,False
1995-01-26,SBIN,19.56,19.65,16.5,17.53,652500,3777715,Thursday,1995-01-20,4,4,True,True,-1.9800000000000004,-10.15,False,False,-3.75,-16.88,False,False,-2.41,-10.85,False
1995-02-02,SBIN,17.65,18.7,17.25,17.99,1269000,2176790,Thursday,1995-01-27,1,5,False,False,0.4599999999999973,2.62,True,True,-0.2799999999999976,-1.52,False,False,-2.41,-10.85,False
1995-02-09,SBIN,17.9,18.2,17.2,17.42,1084500,1786063,Thursday,1995-02-03,2,6,True,True,-0.5699999999999967,-3.17,False,True,-0.2799999999999976,-1.52,False,False,-2.41,-10.85,False
1995-02-16,SBIN,17.52,17.52,16.6,16.7,2231000,12015650,Thursday,1995-02-10,3,7,False,False,-0.7200000000000024,-4.13,False,True,-0.2799999999999976,-1.52,False,False,-2.41,-10.85,False
1995-02-23,SBIN,16.6,17.55,16.0,17.49,1907000,5630170,Thursday,1995-02-17,4,8,True,True,0.7899999999999991,4.73,True,True,-0.2799999999999976,-1.52,False,False,-2.41,-10.85,False
1995-03-02,SBIN,17.5,19.67,17.13,19.17,3737000,17295850,Thursday,1995-02-24,1,9,False,False,1.6800000000000033,9.61,True,False,-0.5,-2.75,False,False,-2.41,-10.85,False
1995-03-09,SBIN,19.0,20.5,19.0,19.95,3209000,13848770,Thursday,1995-03-03,2,10,True,True,0.7799999999999976,4.07,True,False,-0.5,-2.75,False,False,-2.41,-10.85,False
1995-03-16,SBIN,19.91,20.05,17.13,18.04,4325000,7080700,Thursday,1995-03-10,3,11,False,False,-1.9100000000000001,-9.57,False,False,-0.5,-2.75,False,False,-2.41,-10.85,False
1995-03-23,SBIN,17.49,18.07,16.91,17.26,1814500,1795560,Thursday,1995-03-17,4,12,True,True,-0.7799999999999976,-4.32,False,False,-0.5,-2.75,False,False,-2.41,-10.85,False
1995-03-30,SBIN,17.21,18.15,17.0,17.65,1683500,4077150,Thursday,1995-03-24,5,13,False,False,0.389999999999997,2.26,True,False,-0.5,-2.75,False,False,-2.41,-10.85,False
1995-04-06,SBIN,17.9,19.2,17.48,19.01,6659500,24849038,Thursday,1995-03-31,1,14,False,True,1.360000000000003,7.71,True,True,-0.8200000000000003,-4.64,False,False,-2.41,-10.85,False
1995-04-13,SBIN,19.2,19.2,18.5,18.95,3967500,10785395,Thursday,1995-04-07,2,15,True,False,-0.060000000000002274,-0.32,False,True,-0.8200000000000003,-4.64,False,False,-2.41,-10.85,False
1995-04-20,SBIN,18.61,18.95,17.66,17.69,2681500,13125980,Thursday,1995-04-14,3,16,False,True,-1.259999999999998,-6.65,False,True,-0.8200000000000003,-4.64,False,False,-2.41,-10.85,False
1995-04-27,SBIN,17.78,17.9,16.5,17.14,5616000,21810650,Thursday,1995-04-21,4,17,True,False,-0.5500000000000007,-3.11,False,True,-0.8200000000000003,-4.64,False,False,-2.41,-10.85,False
1995-05-04,SBIN,17.17,17.65,16.31,17.49,5179000,25945084,Thursday,1995-04-28,1,18,False,True,0.34999999999999787,2.04,True,False,1.8999999999999986,11.26,True,False,-2.41,-10.85,False
1995-05-11,SBIN,17.49,17.7,17.0,17.08,2376500,10518200,Thursday,1995-05-05,2,19,True,False,-0.41000000000000014,-2.34,False,False,1.8999999999999986,11.26,True,False,-2.41,-10.85,False
1995-05-18,SBIN,16.85,17.99,16.8,17.77,5826000,36401844,Thursday,1995-05-12,3,20,False,True,0.6900000000000013,4.04,True,False,1.8999999999999986,11.26,True,False,-2.41,-10.85,False
1995-05-25,SBIN,17.8,18.1,17.2,17.36,7877000,5461293,Thursday,1995-05-19,4,21,True,False,-0.41000000000000014,-2.31,False,False,1.8999999999999986,11.26,True,False,-2.41,-10.85,False
1995-06-01,SBIN,17.6,19.63,17.35,19.53,9539500,87562760,Thursday,1995-05-26,1,22,False,True,2.1700000000000017,12.5,True,True,0.030000000000001137,0.16,True,False,-2.41,-10.85,False
1995-06-08,SBIN,19.51,20.69,19.48,19.87,18491500,43465624,Thursday,1995-06-02,2,23,True,False,0.33999999999999986,1.74,True,True,0.030000000000001137,0.16,True,False,-2.41,-10.85,False
1995-06-15,SBIN,19.8,20.0,19.1,19.3,9714000,57784200,Thursday,1995-06-09,3,24,False,True,-0.5700000000000003,-2.87,False,True,0.030000000000001137,0.16,True,False,-2.41,-10.85,False
1995-06-22,SBIN,19.55,21.0,19.38,20.07,30119500,249299504,Thursday,1995-06-16,4,25,True,False,0.7699999999999996,3.99,True,True,0.030000000000001137,0.16,True,False,-2.41,-10.85,False
1995-06-29,SBIN,20.3,20.55,18.8,19.16,35428000,47280052,Thursday,1995-06-23,5,26,False,True,-0.9100000000000001,-4.53,False,True,0.030000000000001137,0.16,True,False,-2.41,-10.85,False
1995-07-06,SBIN,19.11,19.11,17.77,18.26,14588500,48293604,Thursday,1995-06-30,1,27,False,False,-0.8999999999999986,-4.7,False,False,0.620000000000001,3.3,True,False,-2.41,-10.85,False
1995-07-13,SBIN,18.33,19.59,18.2,19.38,19769000,44099192,Thursday,1995-07-07,2,28,True,True,1.1199999999999974,6.13,True,False,0.620000000000001,3.3,True,False,-2.41,-10.85,False
1995-07-20,SBIN,19.4,20.3,18.7,20.2,24010500,68858640,Thursday,1995-07-14,3,29,False,False,0.8200000000000003,4.23,True,False,0.620000000000001,3.3,True,False,-2.41,-10.85,False
1995-07-27,SBIN,20.1,21.1,19.83,20.6,21611000,88672704,Thursday,1995-07-21,4,30,True,True,0.40000000000000213,1.98,True,False,0.620000000000001,3.3,True,False,-2.41,-10.85,False
1995-08-03,SBIN,19.5,20.4,18.78,19.06,22036000,61030120,Thursday,1995-07-28,1,31,False,False,-1.5400000000000027,-7.48,False,True,-0.020000000000003126,-0.1,False,False,-2.41,-10.85,False
1995-08-10,SBIN,18.81,19.6,18.8,19.44,10665000,50699520,Thursday,1995-08-04,2,32,True,True,0.38000000000000256,1.99,True,True,-0.020000000000003126,-0.1,False,False,-2.41,-10.85,False
1995-08-17,SBIN,19.4,19.75,19.2,19.66,7249000,17473296,Thursday,1995-08-11,3,33,False,False,0.21999999999999886,1.13,True,True,-0.020000000000003126,-0.1,False,False,-2.41,-10.85,False
1995-08-24,SBIN,19.6,20.19,19.6,19.67,3241500,15159588,Thursday,1995-08-18,4,34,True,True,0.010000000000001563,0.05,True,True,-0.020000000000003126,-0.1,False,False,-2.41,-10.85,False
1995-08-31,SBIN,19.5,19.58,19.08,19.4,3435500,26328712,Thursday,1995-08-25,5,35,False,False,-0.2700000000000031,-1.37,False,True,-0.020000000000003126,-0.1,False,False,-2.41,-10.85,False
1995-09-07,SBIN,19.31,20.09,19.2,19.78,10052500,53307100,Thursday,1995-09-01,1,36,False,True,0.38000000000000256,1.96,True,False,2.610000000000003,13.45,True,False,-2.41,-10.85,False
1995-09-14,SBIN,19.74,19.9,19.61,19.81,9257500,16713952,Thursday,1995-09-08,2,37,True,False,0.029999999999997584,0.15,True,False,2.610000000000003,13.45,True,False,-2.41,-10.85,False
1995-09-21,SBIN,19.71,21.27,19.71,21.08,19273000,186039568,Thursday,1995-09-15,3,38,False,True,1.2699999999999996,6.41,True,False,2.610000000000003,13.45,True,False,-2.41,-10.85,False
1995-09-28,SBIN,21.2,22.4,21.2,21.63,24732500,37019744,Thursday,1995-09-22,4,39,True,False,0.5500000000000007,2.61,True,False,2.610000000000003,13.45,True,False,-2.41,-10.85,False
1995-10-05,SBIN,21.6,22.83,21.55,22.41,8611000,76894656,Thursday,1995-09-29,1,40,False,True,0.7800000000000011,3.61,True,True,-0.6400000000000006,-2.91,False,False,-2.41,-10.85,False
1995-10-12,SBIN,22.55,23.1,22.4,22.59,27650500,113246136,Thursday,1995-10-06,2,41,True,False,0.17999999999999972,0.8,True,True,-0.6400000000000006,-2.91,False,False,-2.41,-10.85,False
1995-10-19,SBIN,22.59,23.3,22.17,22.29,21359500,78093016,Thursday,1995-10-13,3,42,False,True,-0.3000000000000007,-1.33,False,True,-0.6400000000000006,-2.91,False,False,-2.41,-10.85,False
1995-10-26,SBIN,22.29,22.35,20.5,20.82,21849500,167101312,Thursday,1995-10-20,4,43,True,False,-1.4699999999999989,-6.59,False,True,-0.6400000000000006,-2.91,False,False,-2.41,-10.85,False
1995-11-02,SBIN,20.82,22.7,20.31,21.7,51957000,311601152,Thursday,1995-10-27,1,44,False,True,0.879999999999999,4.23,True,False,-4.540000000000003,-21.24,False,False,-2.41,-10.85,False
1995-11-09,SBIN,21.7,22.2,20.51,20.83,41903500,151642400,Thursday,1995-11-03,2,45,True,False,-0.870000000000001,-4.01,False,False,-4.540000000000003,-21.24,False,False,-2.41,-10.85,False
1995-11-16,SBIN,20.65,21.19,19.6,19.99,33347000,170232240,Thursday,1995-11-10,3,46,False,True,-0.8399999999999999,-4.03,False,False,-4.540000000000003,-21.24,False,False,-2.41,-10.85,False
1995-11-23,SBIN,19.73,20.2,18.48,18.74,43069500,167467824,Thursday,1995-11-17,4,47,True,False,-1.25,-6.25,False,False,-4.540000000000003,-21.24,False,False,-2.41,-10.85,False
1995-11-30,SBIN,18.5,19.29,15.18,16.83,119269500,351755424,Thursday,1995-11-24,5,48,False,True,-1.9100000000000001,-10.19,False,False,-4.540000000000003,-21.24,False,False,-2.41,-10.85,False
1995-12-07,SBIN,16.9,17.8,15.86,17.66,94601000,278013280,Thursday,1995-12-01,1,49,False,False,0.8300000000000018,4.93,True,True,2.9800000000000004,17.71,True,False,-2.41,-10.85,False
1995-12-14,SBIN,17.7,18.58,16.75,17.77,106604500,342177632,Thursday,1995-12-08,2,50,True,True,0.10999999999999943,0.62,True,True,2.9800000000000004,17.71,True,False,-2.41,-10.85,False
1995-12-21,SBIN,17.6,18.85,17.45,18.8,69046500,257118208,Thursday,1995-12-15,3,51,False,False,1.0300000000000011,5.8,True,True,2.9800000000000004,17.71,True,False,-2.41,-10.85,False
1995-12-28,SBIN,18.95,21.27,18.85,20.38,140488500,1175637504,Thursday,1995-12-22,4,52,True,True,1.5799999999999983,8.4,True,True,2.9800000000000004,17.71,True,False,-2.41,-10.85,False
1996-01-04,SBIN,20.25,20.25,18.26,18.74,300102496,1521516288,Thursday,1995-12-29,1,1,False,False,-1.6400000000000006,-8.05,False,False,-0.14999999999999858,-0.76,False,True,3.5600000000000023,17.97,True
1996-01-11,SBIN,18.8,19.8,17.7,18.9,315513000,1176157056,Thursday,1996-01-05,2,2,True,True,0.16000000000000014,0.85,True,False,-0.14999999999999858,-0.76,False,True,3.5600000000000023,17.97,True
1996-01-18,SBIN,18.95,20.7,18.15,18.44,373556500,1176818688,Thursday,1996-01-12,3,3,False,False,-0.4599999999999973,-2.43,False,False,-0.14999999999999858,-0.76,False,True,3.5600000000000023,17.97,True
1996-01-25,SBIN,18.33,19.9,18.33,19.04,360093000,1216227584,Thursday,1996-01-19,4,4,True,True,0.5999999999999979,3.25,True,False,-0.14999999999999858,-0.76,False,True,3.5600000000000023,17.97,True
1996-02-01,SBIN,19.25,20.88,19.16,20.64,300307508,1880746240,Thursday,1996-01-26,1,5,False,False,1.6000000000000014,8.4,True,True,4.370000000000001,22.23,True,True,3.5600000000000023,17.97,True
