Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-01,SBIN,18.5,24.0,18.48,22.8,6358000,21261000,Tuesday,False,,,False,True,,,False
1994-12-01,SBIN,22.75,23.17,20.55,22.22,9410500,5532780,Thursday,True,-0.5800000000000018,-2.54,False,True,,,False
1995-01-01,SBIN,22.17,22.4,16.5,18.47,4291000,11008120,Sunday,False,-3.75,-16.88,False,False,-2.41,-10.85,False
1995-02-01,SBIN,18.5,18.8,16.0,18.19,7618000,19194268,Wednesday,True,-0.2799999999999976,-1.52,False,False,-2.41,-10.85,False
1995-03-01,SBIN,18.24,20.5,16.91,17.69,12694500,1662390,Wednesday,False,-0.5,-2.75,False,False,-2.41,-10.85,False
1995-04-01,SBIN,17.6,19.2,16.5,16.87,19716000,14938385,Saturday,True,-0.8200000000000003,-4.64,False,False,-2.41,-10.85,False
1995-05-01,SBIN,16.9,19.0,16.31,18.77,25429000,69233144,Monday,False,1.8999999999999986,11.26,True,False,-2.41,-10.85,False
1995-06-01,SBIN,19.25,21.0,18.69,18.8,101307000,57725400,Thursday,True,0.030000000000001137,0.16,True,False,-2.41,-10.85,False
1995-07-01,SBIN,18.6,21.1,17.77,19.42,86381500,89490976,Saturday,False,0.620000000000001,3.3,True,False,-2.41,-10.85,False
1995-08-01,SBIN,19.4,20.4,18.78,19.4,37154000,26328712,Tuesday,True,-0.020000000000003126,-0.1,False,False,-2.41,-10.85,False
1995-09-01,SBIN,19.31,22.4,19.2,22.01,67404500,90019336,Friday,False,2.610000000000003,13.45,True,False,-2.41,-10.85,False
1995-10-01,SBIN,22.05,23.3,20.31,21.37,99851000,192629184,Sunday,True,-0.6400000000000006,-2.91,False,False,-2.41,-10.85,False
1995-11-01,SBIN,21.4,22.7,15.18,16.83,265077000,351755424,Wednesday,False,-4.540000000000003,-21.24,False,False,-2.41,-10.85,False
1995-12-01,SBIN,16.9,21.27,15.86,19.81,470933000,1192413440,Friday,True,2.9800000000000004,17.71,True,False,-2.41,-10.85,False
1996-01-01,SBIN,19.81,20.88,17.7,19.66,1498236500,1054198720,Monday,False,-0.14999999999999858,-0.76,False,True,3.5600000000000023,17.97,True
1996-02-01,SBIN,19.52,25.92,19.52,24.03,1297759000,1610454528,Thursday,True,4.370000000000001,22.23,True,True,3.5600000000000023,17.97,True
1996-03-01,SBIN,24.3,24.72,21.7,23.54,509692500,471953440,Friday,False,-0.490000000000002,-2.04,False,True,3.5600000000000023,17.97,True
1996-04-01,SBIN,23.0,33.8,23.0,29.88,1827861004,2902998528,Monday,True,6.34,26.93,True,True,3.5600000000000023,17.97,True
1996-05-01,SBIN,30.6,31.15,25.2,27.75,3053146000,3826600192,Wednesday,False,-2.129999999999999,-7.13,False,True,3.5600000000000023,17.97,True
1996-06-01,SBIN,28.45,31.45,27.22,29.93,3498684016,4404498432,Saturday,True,2.1799999999999997,7.86,True,True,3.5600000000000023,17.97,True
1996-07-01,SBIN,29.8,33.5,26.92,29.26,4726812536,4750104576,Monday,False,-0.6699999999999982,-2.24,False,True,3.5600000000000023,17.97,True
1996-08-01,SBIN,29.8,29.89,26.15,27.25,1953271996,1727462656,Thursday,True,-2.0100000000000016,-6.87,False,True,3.5600000000000023,17.97,True
1996-09-01,SBIN,27.35,28.58,24.83,25.28,3107661980,5474126848,Sunday,False,-1.9699999999999989,-7.23,False,True,3.5600000000000023,17.97,True
1996-10-01,SBIN,25.4,25.4,20.0,22.95,4169570528,2472116736,Tuesday,True,-2.330000000000002,-9.22,False,True,3.5600000000000023,17.97,True
1996-11-01,SBIN,23.1,23.36,20.81,21.95,2322345476,2795782400,Friday,False,-1.0,-4.36,False,True,3.5600000000000023,17.97,True
1996-12-01,SBIN,21.83,23.9,20.25,23.37,1948372492,1439194752,Sunday,True,1.4200000000000017,6.47,True,True,3.5600000000000023,17.97,True
