Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1979-08-16,SENSEX,115.56,115.56,114.62,115.32,0,0.0,Thursday,1979-08-10,,,False,False,,,False,True,,,False,False,,,False
1979-08-23,SENSEX,115.93,116.96,114.88,114.88,0,0.0,Thursday,1979-08-17,,,False,False,-0.4399999999999977,-0.38,False,True,,,False,False,,,False
1979-08-30,SENSEX,115.5,116.16,115.38,116.16,0,0.0,Thursday,1979-08-24,,,False,False,1.2800000000000011,1.11,True,True,,,False,False,,,False
1979-09-06,SENSEX,116.11,117.38,116.11,117.38,0,0.0,Thursday,1979-08-31,1,,False,False,1.2199999999999989,1.05,True,False,3.530000000000001,3.04,True,False,,,False
1979-09-13,SENSEX,117.98,119.77,117.98,118.46,0,0.0,Thursday,1979-09-07,2,,True,False,1.0799999999999983,0.92,True,False,3.530000000000001,3.04,True,False,,,False
1979-09-20,SENSEX,118.28,119.24,117.8,117.8,0,0.0,Thursday,1979-09-14,3,,False,False,-0.6599999999999966,-0.56,False,False,3.530000000000001,3.04,True,False,,,False
1979-09-27,SENSEX,118.31,120.05,118.31,120.05,0,0.0,Thursday,1979-09-21,4,,True,False,2.25,1.91,True,False,3.530000000000001,3.04,True,False,,,False
1979-10-04,SENSEX,119.64,119.74,119.01,119.01,0,0.0,Thursday,1979-09-28,1,,False,False,-1.039999999999992,-0.87,False,True,4.209999999999994,3.52,True,False,,,False
1979-10-11,SENSEX,119.45,120.74,118.85,118.85,0,0.0,Thursday,1979-10-05,2,,True,False,-0.1600000000000108,-0.13,False,True,4.209999999999994,3.52,True,False,,,False
1979-10-18,SENSEX,119.58,121.35,119.58,121.35,0,0.0,Thursday,1979-10-12,3,,False,False,2.5,2.1,True,True,4.209999999999994,3.52,True,False,,,False
1979-10-25,SENSEX,122.93,123.52,122.35,123.52,0,0.0,Thursday,1979-10-19,4,,True,False,2.1700000000000017,1.79,True,True,4.209999999999994,3.52,True,False,,,False
1979-11-01,SENSEX,124.23,124.3,123.85,123.85,0,0.0,Thursday,1979-10-26,1,,False,False,0.3299999999999983,0.27,True,False,-8.259999999999991,-6.67,False,False,,,False
1979-11-08,SENSEX,123.27,123.27,121.92,121.92,0,0.0,Thursday,1979-11-02,2,,True,False,-1.9299999999999926,-1.56,False,False,-8.259999999999991,-6.67,False,False,,,False
1979-11-15,SENSEX,121.48,121.74,120.2,120.42,0,0.0,Thursday,1979-11-09,3,,False,False,-1.5,-1.23,False,False,-8.259999999999991,-6.67,False,False,,,False
1979-11-22,SENSEX,118.42,119.02,116.53,116.53,0,0.0,Thursday,1979-11-16,4,,True,False,-3.8900000000000006,-3.23,False,False,-8.259999999999991,-6.67,False,False,,,False
