Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1979-01-01,SENSEX,115.56,124.3,113.28,118.76,0,0,Monday,False,,,False
1980-01-01,SENSEX,118.16,148.97,118.16,148.25,0,0,Tuesday,True,29.489999999999995,24.83,True
1981-01-01,SENSEX,152.26,227.72,146.63,227.72,0,0,Thursday,False,79.47,53.61,True
1982-01-01,SENSEX,252.89,252.89,204.66,235.83,0,0,Friday,True,8.110000000000014,3.56,True
1983-01-01,SENSEX,236.62,252.92,207.17,252.92,0,0,Saturday,False,17.089999999999975,7.25,True
1984-01-01,SENSEX,252.8,280.01,233.11,271.87,0,0,Sunday,True,18.950000000000017,7.49,True
1985-01-01,SENSEX,273.41,539.7,273.41,527.36,0,0,Tuesday,False,255.49,93.98,True
1986-01-01,SENSEX,549.43,658.92,482.41,524.45,0,0,Wednesday,True,-2.909999999999968,-0.55,False
1987-01-01,SENSEX,542.06,578.75,405.57,442.17,0,0,Thursday,False,-82.28000000000003,-15.69,False
1988-01-01,SENSEX,439.17,719.07,390.0,666.26,0,0,Friday,True,224.08999999999997,50.68,True
1989-01-01,SENSEX,659.11,798.01,625.32,778.64,0,0,Sunday,False,112.38,16.87,True
1990-01-01,SENSEX,783.35,1559.43,659.3,1048.29,0,0,Monday,True,269.65,34.63,True
1991-01-01,SENSEX,1027.38,1955.29,947.14,1908.85,0,0,Tuesday,False,860.56,82.09,True
1992-01-01,SENSEX,1957.33,4546.58,1945.48,2615.37,0,0,Wednesday,True,706.52,37.01,True
1993-01-01,SENSEX,2617.78,3459.07,1980.06,3346.06,0,0,Friday,False,730.69,27.94,True
1994-01-01,SENSEX,3436.87,4643.31,3405.88,3926.9,0,0,Saturday,True,580.8400000000001,17.36,True
1995-01-01,SENSEX,3910.16,3943.66,2891.45,3110.49,0,0,Sunday,False,-816.4100000000003,-20.79,False
1996-01-01,SENSEX,3114.08,4131.22,2713.12,3085.2,0,0,Monday,True,-25.289999999999964,-0.81,False
1997-01-01,SENSEX,3096.65,4605.41,3096.65,3658.98,0,0,Wednesday,False,573.7800000000002,18.6,True
1998-01-01,SENSEX,3658.34,4322.0,2741.22,3055.41,0,0,Thursday,True,-603.5700000000002,-16.5,False
1999-01-01,SENSEX,3064.95,5150.99,3042.25,5005.82,0,0,Friday,False,1950.4099999999999,63.83,True
2000-01-01,SENSEX,5209.54,6150.69,3491.55,3972.12,0,0,Saturday,True,-1033.6999999999998,-20.65,False
2001-01-01,SENSEX,3990.65,4462.11,2594.87,3262.33,0,0,Monday,False,-709.79,-17.87,False
2002-01-01,SENSEX,3262.01,3758.27,2828.48,3377.28,0,0,Tuesday,True,114.95000000000027,3.52,True
2003-01-01,SENSEX,3383.85,5920.76,2904.44,5838.96,0,0,Wednesday,False,2461.68,72.89,True
2004-01-01,SENSEX,5872.48,6617.15,4227.5,6602.69,0,0,Thursday,True,763.7299999999996,13.08,True
2005-01-01,SENSEX,6626.49,9442.98,6069.33,9397.93,0,0,Saturday,False,2795.2400000000007,42.33,True
2006-01-01,SENSEX,9422.49,14035.3,8799.01,13786.91,0,0,Sunday,True,4388.98,46.7,True
2007-01-01,SENSEX,13827.77,20498.11,12316.1,20286.99,0,0,Monday,False,6500.080000000002,47.15,True
2008-01-01,SENSEX,20325.27,21206.77,7697.39,9647.31,0,0,Tuesday,True,-10639.680000000002,-52.45,False
2009-01-01,SENSEX,9720.55,17530.94,8047.17,17464.81,0,0,Thursday,False,7817.500000000002,81.03,True
2010-01-01,SENSEX,17473.45,21108.64,15651.99,20509.09,0,0,Friday,True,3044.279999999999,17.43,True
2011-01-01,SENSEX,20621.61,20664.8,15135.86,15454.92,0,0,Saturday,False,-5054.17,-24.64,False
2012-01-01,SENSEX,15534.67,19612.18,15358.02,19426.71,0,0,Sunday,True,3971.789999999999,25.7,True
2013-01-01,SENSEX,19513.45,21483.74,17448.71,21170.68,0,0,Tuesday,False,1743.9700000000012,8.98,True
2014-01-01,SENSEX,21222.19,28822.37,19963.12,27499.42,0,0,Wednesday,True,6328.739999999998,29.89,True
2015-01-01,SENSEX,27485.77,30024.74,24833.54,26117.54,0,0,Thursday,False,-1381.8799999999974,-5.03,False
2016-01-01,SENSEX,26101.5,29077.28,22494.61,26626.46,0,0,Friday,True,508.91999999999825,1.95,True
2017-01-01,SENSEX,26711.15,34137.97,26447.06,34056.83,0,0,Sunday,False,7430.370000000003,27.91,True
2018-01-01,SENSEX,34059.99,38989.65,32483.84,36068.33,0,0,Monday,True,2011.5,5.91,True
2019-01-01,SENSEX,36161.8,41809.96,35287.16,41253.74,0,0,Tuesday,False,5185.409999999996,14.38,True
2020-01-01,SENSEX,41349.36,47896.97,25638.9,47751.33,0,0,Wednesday,True,6497.590000000004,15.75,True
2021-01-01,SENSEX,47785.28,62245.43,46160.46,58253.82,0,0,Friday,False,10502.489999999998,21.99,True
2022-01-01,SENSEX,58310.09,63583.07,50921.22,60840.74,0,0,Saturday,True,2586.9199999999983,4.44,True
2023-01-01,SENSEX,60871.24,72484.34,57084.91,72240.26,0,0,Sunday,False,11399.519999999997,18.74,True
2024-01-01,SENSEX,72218.39,73427.59,70001.6,73057.4,0,0,Monday,True,817.1399999999994,1.13,True
