Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-01-12,SHREECEM,65.0,65.0,65.0,65.0,100,6500,Thursday,1995-01-06,,,False,False,,,False,False,,,False,False,,,False
1995-01-19,SHREECEM,70.0,72.0,69.0,71.65,7150,93145,Thursday,1995-01-13,,,False,False,6.650000000000006,10.23,True,False,,,False,False,,,False
1995-01-26,SHREECEM,72.0,72.0,65.0,65.0,1600,45500,Thursday,1995-01-20,,,False,False,-6.650000000000006,-9.28,False,False,,,False,False,,,False
1995-02-02,SHREECEM,68.5,70.0,65.0,67.0,4000,63650,Thursday,1995-01-27,1,,False,False,2.0,3.08,True,True,-3.950000000000003,-5.81,False,False,,,False
1995-02-09,SHREECEM,69.0,75.0,69.0,70.0,1500,28000,Thursday,1995-02-03,2,,True,False,3.0,4.48,True,True,-3.950000000000003,-5.81,False,False,,,False
1995-02-16,SHREECEM,70.0,70.0,65.0,65.0,2100,16250,Thursday,1995-02-10,3,,False,False,-5.0,-7.14,False,True,-3.950000000000003,-5.81,False,False,,,False
1995-02-23,SHREECEM,64.0,64.0,60.0,63.0,1800,12600,Thursday,1995-02-17,4,,True,False,-2.0,-3.08,False,True,-3.950000000000003,-5.81,False,False,,,False
1995-03-02,SHREECEM,69.0,71.0,63.0,66.5,3400,46550,Thursday,1995-02-24,1,,False,False,3.5,5.56,True,False,8.950000000000003,13.97,True,False,,,False
1995-03-09,SHREECEM,66.05,74.0,66.05,72.0,4200,14400,Thursday,1995-03-03,2,,True,False,5.5,8.27,True,False,8.950000000000003,13.97,True,False,,,False
1995-03-16,SHREECEM,74.65,80.0,65.0,72.0,24150,115200,Thursday,1995-03-10,3,,False,False,0.0,0.0,False,False,8.950000000000003,13.97,True,False,,,False
1995-03-23,SHREECEM,70.0,72.0,69.0,71.0,2300,42600,Thursday,1995-03-17,4,,True,False,-1.0,-1.39,False,False,8.950000000000003,13.97,True,False,,,False
1995-03-30,SHREECEM,72.0,75.0,70.0,70.5,1750,28200,Thursday,1995-03-24,5,,False,False,-0.5,-0.7,False,False,8.950000000000003,13.97,True,False,,,False
1995-04-06,SHREECEM,72.0,78.0,70.1,76.0,6950,364800,Thursday,1995-03-31,1,,False,False,5.5,7.8,True,True,-10.5,-14.38,False,False,,,False
1995-04-13,SHREECEM,76.0,77.5,72.0,72.6,6500,3630,Thursday,1995-04-07,2,,True,False,-3.4000000000000057,-4.47,False,True,-10.5,-14.38,False,False,,,False
1995-04-20,SHREECEM,73.5,75.0,70.0,70.0,3650,38500,Thursday,1995-04-14,3,,False,False,-2.5999999999999943,-3.58,False,True,-10.5,-14.38,False,False,,,False
1995-04-27,SHREECEM,70.0,71.3,64.0,66.0,8000,23100,Thursday,1995-04-21,4,,True,False,-4.0,-5.71,False,True,-10.5,-14.38,False,False,,,False
1995-05-04,SHREECEM,64.0,64.0,60.0,63.0,5900,6300,Thursday,1995-04-28,1,,False,False,-3.0,-4.55,False,False,2.75,4.4,True,False,,,False
1995-05-11,SHREECEM,66.0,66.0,61.0,64.0,4000,70400,Thursday,1995-05-05,2,,True,False,1.0,1.59,True,False,2.75,4.4,True,False,,,False
1995-05-18,SHREECEM,62.25,66.0,60.0,64.75,4900,142450,Thursday,1995-05-12,3,,False,False,0.75,1.17,True,False,2.75,4.4,True,False,,,False
1995-05-25,SHREECEM,64.0,64.0,59.25,59.25,3900,5925,Thursday,1995-05-19,4,,True,False,-5.5,-8.49,False,False,2.75,4.4,True,False,,,False
1995-06-01,SHREECEM,60.0,73.5,60.0,70.6,7350,183560,Thursday,1995-05-26,1,,False,False,11.349999999999994,19.16,True,True,-9.25,-14.18,False,False,,,False
1995-06-08,SHREECEM,70.95,72.0,69.0,70.55,4750,14110,Thursday,1995-06-02,2,,True,False,-0.04999999999999716,-0.07,False,True,-9.25,-14.18,False,False,,,False
1995-06-15,SHREECEM,70.75,70.75,63.0,64.0,24100,195200,Thursday,1995-06-09,3,,False,False,-6.549999999999997,-9.28,False,True,-9.25,-14.18,False,False,,,False
1995-06-22,SHREECEM,64.5,66.5,62.0,62.0,16900,31000,Thursday,1995-06-16,4,,True,False,-2.0,-3.12,False,True,-9.25,-14.18,False,False,,,False
1995-06-29,SHREECEM,62.0,62.5,55.0,58.0,3600,14500,Thursday,1995-06-23,5,,False,False,-4.0,-6.45,False,True,-9.25,-14.18,False,False,,,False
1995-07-06,SHREECEM,56.0,60.0,52.0,53.0,3250,53000,Thursday,1995-06-30,1,,False,False,-5.0,-8.62,False,False,5.25,9.38,True,False,,,False
1995-07-13,SHREECEM,53.05,60.0,52.0,58.0,3800,20300,Thursday,1995-07-07,2,,True,False,5.0,9.43,True,False,5.25,9.38,True,False,,,False
1995-07-20,SHREECEM,58.0,67.5,58.0,65.0,4400,19500,Thursday,1995-07-14,3,,False,False,7.0,12.07,True,False,5.25,9.38,True,False,,,False
1995-07-27,SHREECEM,67.0,67.0,61.5,65.5,2150,3275,Thursday,1995-07-21,4,,True,False,0.5,0.77,True,False,5.25,9.38,True,False,,,False
1995-08-03,SHREECEM,62.05,64.1,60.0,63.95,3850,102320,Thursday,1995-07-28,1,,False,False,-1.5499999999999972,-2.37,False,True,2.299999999999997,3.76,True,False,,,False
1995-08-10,SHREECEM,63.0,64.0,61.5,62.5,9600,221875,Thursday,1995-08-04,2,,True,False,-1.4500000000000028,-2.27,False,True,2.299999999999997,3.76,True,False,,,False
1995-08-17,SHREECEM,63.5,63.5,59.5,62.4,42050,2077920,Thursday,1995-08-11,3,,False,False,-0.10000000000000142,-0.16,False,True,2.299999999999997,3.76,True,False,,,False
1995-08-24,SHREECEM,63.0,69.0,63.0,65.85,25300,362175,Thursday,1995-08-18,4,,True,False,3.4499999999999957,5.53,True,True,2.299999999999997,3.76,True,False,,,False
1995-08-31,SHREECEM,65.0,68.0,63.55,63.55,12700,19065,Thursday,1995-08-25,5,,False,False,-2.299999999999997,-3.49,False,True,2.299999999999997,3.76,True,False,,,False
1995-09-07,SHREECEM,63.5,64.0,60.0,61.0,6250,152500,Thursday,1995-09-01,1,,False,False,-2.549999999999997,-4.01,False,False,-2.549999999999997,-4.01,False,False,,,False
1995-09-14,SHREECEM,62.0,63.05,60.75,62.7,29050,15675,Thursday,1995-09-08,2,,True,False,1.7000000000000028,2.79,True,False,-2.549999999999997,-4.01,False,False,,,False
1995-09-21,SHREECEM,63.0,63.0,60.0,60.25,5350,21088,Thursday,1995-09-15,3,,False,False,-2.450000000000003,-3.91,False,False,-2.549999999999997,-4.01,False,False,,,False
1995-09-28,SHREECEM,60.0,62.95,59.0,60.95,3700,15238,Thursday,1995-09-22,4,,True,False,0.7000000000000028,1.16,True,False,-2.549999999999997,-4.01,False,False,,,False
1995-10-05,SHREECEM,57.1,62.9,57.1,62.05,5800,288533,Thursday,1995-09-29,1,,False,False,1.0999999999999943,1.8,True,True,-6.549999999999997,-10.74,False,False,,,False
1995-10-12,SHREECEM,63.0,63.5,61.5,62.0,3150,24800,Thursday,1995-10-06,2,,True,False,-0.04999999999999716,-0.08,False,True,-6.549999999999997,-10.74,False,False,,,False
1995-10-19,SHREECEM,61.0,61.0,55.0,57.0,6300,71250,Thursday,1995-10-13,3,,False,False,-5.0,-8.06,False,True,-6.549999999999997,-10.74,False,False,,,False
1995-10-26,SHREECEM,54.1,58.5,50.25,53.25,3300,45263,Thursday,1995-10-20,4,,True,False,-3.75,-6.58,False,True,-6.549999999999997,-10.74,False,False,,,False
1995-11-02,SHREECEM,52.05,56.0,51.0,55.0,11000,85250,Thursday,1995-10-27,1,,False,False,1.75,3.29,True,False,-3.450000000000003,-6.34,False,False,,,False
1995-11-09,SHREECEM,55.0,57.95,52.55,53.15,15400,223230,Thursday,1995-11-03,2,,True,False,-1.8500000000000014,-3.36,False,False,-3.450000000000003,-6.34,False,False,,,False
