Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1995-01-01,SHREECEM,65.0,80.0,48.0,54.5,481300,65400,Sunday,False,,,False
1996-01-01,SHREECEM,54.5,64.5,20.0,23.1,1434850,681450,Monday,True,-31.4,-57.61,False
1997-01-01,SHREECEM,24.0,27.5,12.0,15.2,2545800,275120,Wednesday,False,-7.900000000000002,-34.2,False
1998-01-01,SHREECEM,15.25,33.0,12.15,21.25,4066750,133875,Thursday,True,6.050000000000001,39.8,True
1999-01-01,SHREECEM,21.5,82.0,16.0,63.5,8167089,926465,Friday,False,42.25,198.82,True
2000-01-01,SHREECEM,68.0,68.7,20.0,58.2,3142736,1025775,Saturday,True,-5.299999999999997,-8.35,False
2001-01-01,SHREECEM,59.1,98.0,22.5,46.15,8697151,3215825,Monday,False,-12.050000000000004,-20.7,False
2002-01-01,SHREECEM,47.5,60.0,38.3,50.9,10184205,558526,Tuesday,True,4.75,10.29,True
2003-01-01,SHREECEM,51.9,159.8,39.4,150.5,10347986,3535998,Wednesday,False,99.6,195.68,True
2004-01-01,SHREECEM,140.0,264.0,110.0,251.9,8945517,12127473,Thursday,True,101.4,67.38,True
2005-01-01,SHREECEM,254.0,539.8,252.0,485.75,7147777,605730,Saturday,False,233.85,92.83,True
2006-01-01,SHREECEM,494.0,1590.0,481.1,1454.8,7940034,15079003,Sunday,True,969.05,199.5,True
2007-01-01,SHREECEM,1499.0,1700.0,853.55,1340.75,4342537,32125710,Monday,False,-114.04999999999995,-7.84,False
2008-01-01,SHREECEM,1255.25,1600.0,320.0,460.1,2651451,1015901,Tuesday,True,-880.65,-65.68,False
2009-01-01,SHREECEM,463.0,1963.0,450.05,1932.05,4661759,8070173,Thursday,False,1471.9499999999998,319.92,True
2010-01-01,SHREECEM,1925.0,2454.1,1779.0,2020.65,4364315,17230082,Friday,True,88.60000000000014,4.59,True
2011-01-01,SHREECEM,2005.0,2239.95,1500.0,2110.25,2940004,100114480,Saturday,False,89.59999999999991,4.43,True
2012-01-01,SHREECEM,2062.0,5100.0,2050.0,4644.8,3208933,109176016,Sunday,True,2534.55,120.11,True
2013-01-01,SHREECEM,4699.9,5384.35,3400.1,4342.2,3534239,32974668,Tuesday,False,-302.60000000000036,-6.51,False
2014-01-01,SHREECEM,4340.0,9500.0,4100.1,9405.65,3915238,32543550,Wednesday,True,5063.45,116.61,True
2015-01-01,SHREECEM,9405.65,13360.0,8977.7,11499.2,5185964,136231024,Thursday,False,2093.550000000001,22.26,True
2016-01-01,SHREECEM,11500.0,18490.0,9399.95,14733.4,3313192,336746592,Friday,True,3234.199999999999,28.13,True
2017-01-01,SHREECEM,14700.0,20538.0,13930.05,18074.5,4657040,277244768,Sunday,False,3341.1000000000004,22.68,True
2018-01-01,SHREECEM,18074.5,19848.9,13100.0,17236.1,5731580,184391792,Monday,True,-838.4000000000015,-4.64,False
2019-01-01,SHREECEM,17260.0,22399.9,14855.0,20363.95,6448294,145357872,Tuesday,False,3127.850000000002,18.15,True
2020-01-01,SHREECEM,20375.0,25655.5,15410.0,24013.2,16033549,2064846976,Wednesday,True,3649.25,17.92,True
2021-01-01,SHREECEM,24050.0,32048.0,22531.0,26987.45,12538054,779478528,Friday,False,2974.25,12.39,True
2022-01-01,SHREECEM,27000.0,27936.75,17865.2,23289.45,1164397944,0,Saturday,True,-3698.0,-13.7,False
2023-01-01,SHREECEM,23296.5,27049.0,21410.0,24334.45,3857575,0,Sunday,False,1045.0,4.49,True
