Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2022-04-01,SHRIRAMFIN,1224.95,1239.0,1076.35,1202.05,18949551,0,Friday,True,,,False,True,,,False
2022-05-01,SHRIRAMFIN,1189.7,1257.45,1047.1,1176.2,28594057,0,Sunday,False,-25.84999999999991,-2.15,False,True,,,False
2022-06-01,SHRIRAMFIN,1175.2,1297.2,1112.55,1281.35,19647754,0,Wednesday,True,105.14999999999986,8.94,True,True,,,False
2022-07-01,SHRIRAMFIN,1266.2,1509.0,1233.7,1379.75,19935553,0,Friday,False,98.40000000000009,7.68,True,True,,,False
2022-08-01,SHRIRAMFIN,1380.0,1425.3,1298.2,1354.65,17090535,0,Monday,True,-25.09999999999991,-1.82,False,True,,,False
2022-09-01,SHRIRAMFIN,1342.0,1391.55,1146.0,1197.55,18591579,0,Thursday,False,-157.10000000000014,-11.6,False,True,,,False
2022-10-01,SHRIRAMFIN,1200.0,1283.85,1157.65,1229.15,12032045,0,Saturday,True,31.600000000000136,2.64,True,True,,,False
2022-11-01,SHRIRAMFIN,1231.5,1375.0,1195.85,1350.0,25476913,0,Tuesday,False,120.84999999999991,9.83,True,True,,,False
2022-12-01,SHRIRAMFIN,1346.45,1419.5,1251.35,1376.9,22543959,0,Thursday,True,26.90000000000009,1.99,True,True,,,False
2023-01-01,SHRIRAMFIN,1381.0,1390.0,1227.4,1286.6,11276278,0,Sunday,False,-90.30000000000018,-6.56,False,False,-44.30000000000018,-3.22,False
2023-02-01,SHRIRAMFIN,1328.0,1366.9,1190.0,1203.35,11923620,0,Wednesday,True,-83.25,-6.47,False,False,-44.30000000000018,-3.22,False
2023-03-01,SHRIRAMFIN,1207.0,1314.7,1193.0,1259.4,23238499,0,Wednesday,False,56.05000000000018,4.66,True,False,-44.30000000000018,-3.22,False
2023-04-01,SHRIRAMFIN,1266.0,1469.3,1266.0,1332.6,12777160,0,Saturday,True,73.19999999999982,5.81,True,False,-44.30000000000018,-3.22,False
