Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-10,SIEMENS,60.0,60.0,60.0,60.0,3000,60000,Thursday,1994-11-04,,,False,False,,,False,False,,,False,True,,,False
1994-11-17,SIEMENS,59.0,59.0,56.5,58.0,1500,29000,Thursday,1994-11-11,,,False,False,-2.0,-3.33,False,False,,,False,True,,,False
1994-11-24,SIEMENS,59.0,59.0,57.5,58.0,6000,145000,Thursday,1994-11-18,,,False,False,0.0,0.0,False,False,,,False,True,,,False
1994-12-01,SIEMENS,58.5,58.5,58.5,58.5,2000,117000,Thursday,1994-11-25,1,,False,False,0.5,0.86,True,True,-3.200000000000003,-5.47,False,True,,,False
1994-12-08,SIEMENS,57.5,57.5,57.5,57.5,500,28750,Thursday,1994-12-02,2,,True,False,-1.0,-1.71,False,True,-3.200000000000003,-5.47,False,True,,,False
1994-12-15,SIEMENS,54.0,54.0,52.0,52.0,3000,52000,Thursday,1994-12-09,3,,False,False,-5.5,-9.57,False,True,-3.200000000000003,-5.47,False,True,,,False
1994-12-22,SIEMENS,53.0,55.5,53.0,55.0,4000,82500,Thursday,1994-12-16,4,,True,False,3.0,5.77,True,True,-3.200000000000003,-5.47,False,True,,,False
1994-12-29,SIEMENS,56.0,56.0,54.75,55.3,57000,387100,Thursday,1994-12-23,5,,False,False,0.29999999999999716,0.55,True,True,-3.200000000000003,-5.47,False,True,,,False
1995-01-05,SIEMENS,54.0,54.0,53.0,53.8,101500,5406900,Thursday,1994-12-30,1,1,False,False,-1.5,-2.71,False,False,-3.6999999999999957,-6.69,False,False,-6.57,-11.88,False
1995-01-12,SIEMENS,54.5,54.5,50.5,50.5,4500,25250,Thursday,1995-01-06,2,2,True,True,-3.299999999999997,-6.13,False,False,-3.6999999999999957,-6.69,False,False,-6.57,-11.88,False
1995-01-19,SIEMENS,51.0,52.0,51.0,52.0,1500,26000,Thursday,1995-01-13,3,3,False,False,1.5,2.97,True,False,-3.6999999999999957,-6.69,False,False,-6.57,-11.88,False
1995-01-26,SIEMENS,52.0,52.0,52.0,52.0,500,26000,Thursday,1995-01-20,4,4,True,True,0.0,0.0,False,False,-3.6999999999999957,-6.69,False,False,-6.57,-11.88,False
