Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-12-15,SRF,27.0,27.9,27.0,27.6,4000,6900,Thursday,1994-12-09,,,False,False,,,False,True,,,False,True,,,False
1994-12-22,SRF,28.5,29.6,28.5,29.4,11000,44100,Thursday,1994-12-16,,,False,False,1.7999999999999972,6.52,True,True,,,False,True,,,False
1994-12-29,SRF,29.5,29.8,29.0,29.0,2500,7250,Thursday,1994-12-23,,,False,False,-0.3999999999999986,-1.36,False,True,,,False,True,,,False
1995-01-05,SRF,29.4,30.0,29.2,30.0,9000,7500,Thursday,1994-12-30,1,1,False,False,1.0,3.45,True,False,-2.5,-8.62,False,False,-17.25,-59.48,False
1995-01-12,SRF,29.0,29.0,27.0,28.0,3250,21000,Thursday,1995-01-06,2,2,True,True,-2.0,-6.67,False,False,-2.5,-8.62,False,False,-17.25,-59.48,False
1995-01-19,SRF,25.2,27.7,25.2,27.0,2250,13500,Thursday,1995-01-13,3,3,False,False,-1.0,-3.57,False,False,-2.5,-8.62,False,False,-17.25,-59.48,False
1995-01-26,SRF,27.0,28.0,27.0,27.0,3750,60750,Thursday,1995-01-20,4,4,True,True,0.0,0.0,False,False,-2.5,-8.62,False,False,-17.25,-59.48,False
1995-02-02,SRF,26.8,27.6,26.0,26.2,12000,6550,Thursday,1995-01-27,1,5,False,False,-0.8000000000000007,-2.96,False,True,-2.1000000000000014,-7.92,False,False,-17.25,-59.48,False
1995-02-09,SRF,26.0,26.4,23.11,25.0,7500,43750,Thursday,1995-02-03,2,6,True,True,-1.1999999999999993,-4.58,False,True,-2.1000000000000014,-7.92,False,False,-17.25,-59.48,False
1995-02-16,SRF,26.39,26.39,22.03,24.05,9000,30063,Thursday,1995-02-10,3,7,False,False,-0.9499999999999993,-3.8,False,True,-2.1000000000000014,-7.92,False,False,-17.25,-59.48,False
1995-02-23,SRF,24.01,24.5,23.0,23.0,4250,23000,Thursday,1995-02-17,4,8,True,True,-1.0500000000000007,-4.37,False,True,-2.1000000000000014,-7.92,False,False,-17.25,-59.48,False
1995-03-02,SRF,24.4,28.0,24.0,27.5,14250,158125,Thursday,1995-02-24,1,9,False,False,4.5,19.57,True,False,-0.3999999999999986,-1.64,False,False,-17.25,-59.48,False
1995-03-09,SRF,27.0,30.0,27.0,27.0,16250,40500,Thursday,1995-03-03,2,10,True,True,-0.5,-1.82,False,False,-0.3999999999999986,-1.64,False,False,-17.25,-59.48,False
1995-03-16,SRF,27.0,27.0,24.0,24.0,2250,12000,Thursday,1995-03-10,3,11,False,False,-3.0,-11.11,False,False,-0.3999999999999986,-1.64,False,False,-17.25,-59.48,False
1995-03-23,SRF,24.01,25.0,24.01,25.0,2000,50000,Thursday,1995-03-17,4,12,True,True,1.0,4.17,True,False,-0.3999999999999986,-1.64,False,False,-17.25,-59.48,False
1995-03-30,SRF,24.0,24.1,23.6,23.6,4750,17700,Thursday,1995-03-24,5,13,False,False,-1.3999999999999986,-5.6,False,False,-0.3999999999999986,-1.64,False,False,-17.25,-59.48,False
