Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-12-01,SRF,27.0,29.8,27.0,29.0,17500,7250,Thursday,True,,,False,True,,,False
1995-01-01,SRF,29.4,30.0,25.2,26.5,28500,66250,Sunday,False,-2.5,-8.62,False,False,-17.25,-59.48,False
1995-02-01,SRF,26.0,26.4,22.03,24.4,25500,12200,Wednesday,True,-2.1000000000000014,-7.92,False,False,-17.25,-59.48,False
1995-03-01,SRF,24.0,30.0,23.4,24.0,37250,18000,Wednesday,False,-0.3999999999999986,-1.64,False,False,-17.25,-59.48,False
1995-04-01,SRF,24.0,24.0,18.05,18.6,56500,32550,Saturday,True,-5.399999999999999,-22.5,False,False,-17.25,-59.48,False
1995-05-01,SRF,18.05,18.4,17.0,17.4,16250,21750,Monday,False,-1.2000000000000028,-6.45,False,False,-17.25,-59.48,False
1995-06-01,SRF,18.0,19.59,15.6,15.6,15000,7800,Thursday,True,-1.799999999999999,-10.34,False,False,-17.25,-59.48,False
1995-07-01,SRF,17.1,20.0,14.4,18.0,29500,9000,Saturday,False,2.4000000000000004,15.38,True,False,-17.25,-59.48,False
1995-08-01,SRF,18.0,18.8,15.6,15.6,12750,3900,Tuesday,True,-2.4000000000000004,-13.33,False,False,-17.25,-59.48,False
1995-09-01,SRF,15.02,16.5,12.8,13.55,29000,23713,Friday,False,-2.049999999999999,-13.14,False,False,-17.25,-59.48,False
1995-10-01,SRF,13.55,14.0,11.0,11.0,91750,49500,Sunday,True,-2.5500000000000007,-18.82,False,False,-17.25,-59.48,False
1995-11-01,SRF,11.0,13.0,11.0,11.4,227250,39900,Wednesday,False,0.40000000000000036,3.64,True,False,-17.25,-59.48,False
1995-12-01,SRF,11.8,12.4,11.2,11.75,99250,102813,Friday,True,0.34999999999999964,3.07,True,False,-17.25,-59.48,False
1996-01-01,SRF,11.65,11.75,9.31,9.7,77500,48500,Monday,False,-2.0500000000000007,-17.45,False,True,-5.61,-47.74,False
1996-02-01,SRF,9.61,12.6,9.61,12.06,166500,33165,Thursday,True,2.360000000000001,24.33,True,True,-5.61,-47.74,False
