Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-02-06,SUNPHARMA,1.92,1.96,1.92,1.92,250000,431550,Monday,,,False,False,,,False,True,,,False,False,,,False
1995-02-13,SUNPHARMA,1.92,1.92,1.86,1.88,1012500,305565,Monday,,,False,False,-0.040000000000000036,-2.08,False,True,,,False,False,,,False
1995-02-20,SUNPHARMA,1.87,1.94,1.8,1.9,925000,71400,Monday,,,False,False,0.020000000000000018,1.06,True,True,,,False,False,,,False
1995-02-27,SUNPHARMA,1.92,2.0,1.9,2.0,1312500,75000,Monday,,,False,False,0.10000000000000009,5.26,True,True,,,False,False,,,False
1995-03-06,SUNPHARMA,2.01,2.01,1.92,1.93,787500,819400,Monday,1,,False,False,-0.07000000000000006,-3.5,False,False,-0.039999999999999813,-2.11,False,False,,,False
1995-03-13,SUNPHARMA,1.85,2.0,1.85,1.86,262500,139500,Monday,2,,True,False,-0.06999999999999984,-3.63,False,False,-0.039999999999999813,-2.11,False,False,,,False
1995-03-20,SUNPHARMA,1.88,1.88,1.8,1.87,2212500,770550,Monday,3,,False,False,0.010000000000000009,0.54,True,False,-0.039999999999999813,-2.11,False,False,,,False
1995-03-27,SUNPHARMA,1.88,1.88,1.84,1.86,487500,162400,Monday,4,,True,False,-0.010000000000000009,-0.53,False,False,-0.039999999999999813,-2.11,False,False,,,False
1995-04-03,SUNPHARMA,1.84,1.92,1.84,1.92,762500,359625,Monday,1,,False,False,0.05999999999999983,3.23,True,True,0.010000000000000009,0.54,True,False,,,False
1995-04-10,SUNPHARMA,1.88,1.94,1.87,1.93,487500,169225,Monday,2,,True,False,0.010000000000000009,0.52,True,True,0.010000000000000009,0.54,True,False,,,False
1995-04-17,SUNPHARMA,1.88,1.91,1.85,1.88,487500,212040,Monday,3,,False,False,-0.050000000000000044,-2.59,False,True,0.010000000000000009,0.54,True,False,,,False
1995-04-24,SUNPHARMA,1.89,1.93,1.84,1.87,775000,187200,Monday,4,,True,False,-0.009999999999999787,-0.53,False,True,0.010000000000000009,0.54,True,False,,,False
1995-05-01,SUNPHARMA,1.8,2.0,1.8,1.96,887500,441000,Monday,1,,False,False,0.08999999999999986,4.81,True,False,0.23999999999999977,12.83,True,False,,,False
1995-05-08,SUNPHARMA,1.95,2.05,1.94,1.99,1537500,498000,Monday,2,,True,False,0.030000000000000027,1.53,True,False,0.23999999999999977,12.83,True,False,,,False
1995-05-15,SUNPHARMA,2.04,2.11,1.96,2.1,2237500,1835050,Monday,3,,False,False,0.1100000000000001,5.53,True,False,0.23999999999999977,12.83,True,False,,,False
1995-05-22,SUNPHARMA,2.04,2.12,1.96,2.08,987500,260050,Monday,4,,True,False,-0.020000000000000018,-0.95,False,False,0.23999999999999977,12.83,True,False,,,False
1995-05-29,SUNPHARMA,2.06,2.2,2.06,2.16,775000,378770,Monday,5,,False,False,0.08000000000000007,3.85,True,False,0.23999999999999977,12.83,True,False,,,False
1995-06-05,SUNPHARMA,2.12,2.21,2.12,2.17,812500,380100,Monday,1,,False,False,0.009999999999999787,0.46,True,True,0.07000000000000028,3.32,True,False,,,False
1995-06-12,SUNPHARMA,2.16,2.24,2.0,2.16,975000,297000,Monday,2,,True,False,-0.009999999999999787,-0.46,False,True,0.07000000000000028,3.32,True,False,,,False
1995-06-19,SUNPHARMA,2.18,2.19,2.14,2.14,775000,160260,Monday,3,,False,False,-0.020000000000000018,-0.93,False,True,0.07000000000000028,3.32,True,False,,,False
1995-06-26,SUNPHARMA,2.14,2.18,2.14,2.18,1912500,734535,Monday,4,,True,False,0.040000000000000036,1.87,True,True,0.07000000000000028,3.32,True,False,,,False
1995-07-03,SUNPHARMA,2.16,2.2,2.13,2.16,2100000,918340,Monday,1,,False,False,-0.020000000000000018,-0.92,False,False,0.06000000000000005,2.75,True,False,,,False
1995-07-10,SUNPHARMA,2.16,2.21,2.15,2.21,587500,165600,Monday,2,,True,False,0.04999999999999982,2.31,True,False,0.06000000000000005,2.75,True,False,,,False
1995-07-17,SUNPHARMA,2.22,2.36,2.22,2.32,1112500,928160,Monday,3,,False,False,0.10999999999999988,4.98,True,False,0.06000000000000005,2.75,True,False,,,False
1995-07-24,SUNPHARMA,2.31,2.33,2.24,2.24,1587500,252000,Monday,4,,True,False,-0.07999999999999963,-3.45,False,False,0.06000000000000005,2.75,True,False,,,False
1995-07-31,SUNPHARMA,2.18,2.28,2.18,2.24,1550000,168000,Monday,5,,False,False,0.0,0.0,False,False,0.06000000000000005,2.75,True,False,,,False
1995-08-07,SUNPHARMA,2.28,2.36,2.26,2.34,525000,351300,Monday,1,,False,False,0.09999999999999964,4.46,True,True,-0.16000000000000014,-7.14,False,False,,,False
1995-08-14,SUNPHARMA,2.35,2.36,2.27,2.27,1300000,1476800,Monday,2,,True,False,-0.06999999999999984,-2.99,False,True,-0.16000000000000014,-7.14,False,False,,,False
1995-08-21,SUNPHARMA,2.28,2.28,2.16,2.16,675000,324000,Monday,3,,False,False,-0.10999999999999988,-4.85,False,True,-0.16000000000000014,-7.14,False,False,,,False
1995-08-28,SUNPHARMA,2.16,2.16,2.05,2.05,437500,281600,Monday,4,,True,False,-0.11000000000000032,-5.09,False,True,-0.16000000000000014,-7.14,False,False,,,False
1995-09-04,SUNPHARMA,2.1,2.16,2.08,2.12,1625000,582450,Monday,1,,False,False,0.07000000000000028,3.41,True,False,0.10000000000000009,4.81,True,False,,,False
1995-09-11,SUNPHARMA,2.13,2.18,2.12,2.14,412500,133750,Monday,2,,True,False,0.020000000000000018,0.94,True,False,0.10000000000000009,4.81,True,False,,,False
1995-09-18,SUNPHARMA,2.14,2.16,2.12,2.16,612500,351000,Monday,3,,False,False,0.020000000000000018,0.93,True,False,0.10000000000000009,4.81,True,False,,,False
1995-09-25,SUNPHARMA,2.16,2.2,2.16,2.18,662500,382200,Monday,4,,True,False,0.020000000000000018,0.93,True,False,0.10000000000000009,4.81,True,False,,,False
1995-10-02,SUNPHARMA,2.17,2.19,2.17,2.19,300000,191765,Monday,1,,False,False,0.009999999999999787,0.46,True,True,0.009999999999999787,0.46,True,False,,,False
1995-10-09,SUNPHARMA,2.18,2.2,2.17,2.18,550000,163500,Monday,2,,True,False,-0.009999999999999787,-0.46,False,True,0.009999999999999787,0.46,True,False,,,False
