Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-02-01,SUNPHARMA,1.92,1.96,1.8,1.9,2300000,213750,Wednesday,True,,,False,False,,,False
1995-03-01,SUNPHARMA,1.94,2.01,1.8,1.86,4950000,162400,Wednesday,False,-0.039999999999999813,-2.11,False,False,,,False
1995-04-01,SUNPHARMA,1.84,1.94,1.84,1.87,2512500,187200,Saturday,True,0.010000000000000009,0.54,True,False,,,False
1995-05-01,SUNPHARMA,1.8,2.14,1.8,2.11,6125000,447440,Monday,False,0.23999999999999977,12.83,True,False,,,False
1995-06-01,SUNPHARMA,2.16,2.24,2.0,2.18,4775000,734535,Thursday,True,0.07000000000000028,3.32,True,False,,,False
1995-07-01,SUNPHARMA,2.16,2.36,2.13,2.24,5537500,336000,Saturday,False,0.06000000000000005,2.75,True,False,,,False
1995-08-01,SUNPHARMA,2.22,2.36,2.08,2.08,4200000,208040,Tuesday,True,-0.16000000000000014,-7.14,False,False,,,False
1995-09-01,SUNPHARMA,2.05,2.2,2.05,2.18,3450000,382200,Friday,False,0.10000000000000009,4.81,True,False,,,False
1995-10-01,SUNPHARMA,2.17,2.21,2.13,2.19,4012500,1315440,Sunday,True,0.009999999999999787,0.46,True,False,,,False
1995-11-01,SUNPHARMA,2.19,2.29,1.76,1.88,5312500,281400,Wednesday,False,-0.31000000000000005,-14.16,False,False,,,False
1995-12-01,SUNPHARMA,1.88,1.91,1.72,1.87,2400000,397885,Friday,True,-0.009999999999999787,-0.53,False,False,,,False
1996-01-01,SUNPHARMA,1.87,1.87,1.6,1.68,6212500,126180,Monday,False,-0.19000000000000017,-10.16,False,True,0.009999999999999787,0.53,True
1996-02-01,SUNPHARMA,1.68,2.28,1.7,2.24,12475000,2380425,Thursday,True,0.5600000000000003,33.33,True,True,0.009999999999999787,0.53,True
1996-03-01,SUNPHARMA,2.24,2.28,2.05,2.14,4950000,160800,Friday,False,-0.10000000000000009,-4.46,False,True,0.009999999999999787,0.53,True
1996-04-01,SUNPHARMA,2.14,2.28,2.05,2.24,5175000,1178520,Monday,True,0.10000000000000009,4.67,True,True,0.009999999999999787,0.53,True
1996-05-01,SUNPHARMA,2.24,2.4,2.02,2.2,8000000,302500,Wednesday,False,-0.040000000000000036,-1.79,False,True,0.009999999999999787,0.53,True
1996-06-01,SUNPHARMA,2.2,2.28,2.08,2.22,8250000,249840,Saturday,True,0.020000000000000018,0.91,True,True,0.009999999999999787,0.53,True
1996-07-01,SUNPHARMA,2.22,2.26,2.08,2.1,5650000,210400,Monday,False,-0.1200000000000001,-5.41,False,True,0.009999999999999787,0.53,True
1996-08-01,SUNPHARMA,2.12,2.19,2.08,2.08,2037500,78120,Thursday,True,-0.020000000000000018,-0.95,False,True,0.009999999999999787,0.53,True
1996-09-01,SUNPHARMA,2.08,2.12,1.61,1.71,9800000,855400,Sunday,False,-0.3700000000000001,-17.79,False,True,0.009999999999999787,0.53,True
1996-10-01,SUNPHARMA,1.72,1.84,1.64,1.69,14150000,63300,Tuesday,True,-0.020000000000000018,-1.17,False,True,0.009999999999999787,0.53,True
1996-11-01,SUNPHARMA,1.7,1.76,1.58,1.72,15337500,107450,Friday,False,0.030000000000000027,1.78,True,True,0.009999999999999787,0.53,True
1996-12-01,SUNPHARMA,1.7,1.96,1.61,1.88,5650000,588000,Sunday,True,0.15999999999999992,9.3,True,True,0.009999999999999787,0.53,True
1997-01-01,SUNPHARMA,1.9,2.06,1.78,2.0,6537500,2756050,Wednesday,False,0.1200000000000001,6.38,True,False,-0.08999999999999986,-4.79,False
1997-02-01,SUNPHARMA,1.96,2.14,1.88,1.94,6975000,48600,Saturday,True,-0.06000000000000005,-3.0,False,False,-0.08999999999999986,-4.79,False
1997-03-01,SUNPHARMA,1.88,2.28,1.88,2.08,9575000,1118000,Saturday,False,0.14000000000000012,7.22,True,False,-0.08999999999999986,-4.79,False
1997-04-01,SUNPHARMA,2.06,2.22,2.02,2.11,3825000,3325770,Tuesday,True,0.029999999999999805,1.44,True,False,-0.08999999999999986,-4.79,False
1997-05-01,SUNPHARMA,2.12,2.15,2.0,2.02,4337500,101180,Thursday,False,-0.08999999999999986,-4.27,False,False,-0.08999999999999986,-4.79,False
1997-06-01,SUNPHARMA,2.0,2.07,1.96,1.98,4450000,421430,Sunday,True,-0.040000000000000036,-1.98,False,False,-0.08999999999999986,-4.79,False
1997-07-01,SUNPHARMA,1.98,2.26,1.88,2.0,13825000,575000,Tuesday,False,0.020000000000000018,1.01,True,False,-0.08999999999999986,-4.79,False
1997-08-01,SUNPHARMA,2.03,2.8,2.0,2.39,33037500,1614600,Friday,True,0.3900000000000001,19.5,True,False,-0.08999999999999986,-4.79,False
1997-09-01,SUNPHARMA,2.37,2.53,2.28,2.42,4900000,726000,Monday,False,0.029999999999999805,1.26,True,False,-0.08999999999999986,-4.79,False
1997-10-01,SUNPHARMA,2.42,2.51,2.24,2.31,2687500,115500,Wednesday,True,-0.10999999999999988,-4.55,False,False,-0.08999999999999986,-4.79,False
1997-11-01,SUNPHARMA,2.28,2.44,2.12,2.13,4737500,399000,Saturday,False,-0.18000000000000016,-7.79,False,False,-0.08999999999999986,-4.79,False
1997-12-01,SUNPHARMA,2.12,2.14,1.69,1.79,17537500,4432230,Monday,True,-0.33999999999999986,-15.96,False,False,-0.08999999999999986,-4.79,False
1998-01-01,SUNPHARMA,1.79,2.08,1.74,1.78,4987500,289900,Thursday,False,-0.010000000000000009,-0.56,False,True,0.3900000000000001,21.79,True
1998-02-01,SUNPHARMA,1.75,1.93,1.75,1.91,5512500,1865760,Sunday,True,0.1299999999999999,7.3,True,True,0.3900000000000001,21.79,True
1998-03-01,SUNPHARMA,1.94,2.2,1.72,1.87,20412500,2478810,Sunday,False,-0.039999999999999813,-2.09,False,True,0.3900000000000001,21.79,True
1998-04-01,SUNPHARMA,1.95,2.98,1.95,2.38,67287500,8016200,Wednesday,True,0.5099999999999998,27.27,True,True,0.3900000000000001,21.79,True
1998-05-01,SUNPHARMA,2.46,2.98,2.08,2.72,59025000,5823405,Friday,False,0.3400000000000003,14.29,True,True,0.3900000000000001,21.79,True
1998-06-01,SUNPHARMA,2.81,2.86,1.75,2.28,34012500,1536300,Monday,True,-0.4400000000000004,-16.18,False,True,0.3900000000000001,21.79,True
1998-07-01,SUNPHARMA,2.29,2.58,2.08,2.37,22075000,1156545,Wednesday,False,0.0900000000000003,3.95,True,True,0.3900000000000001,21.79,True
1998-08-01,SUNPHARMA,2.33,3.06,2.32,2.6,31000000,5173065,Saturday,True,0.22999999999999998,9.7,True,True,0.3900000000000001,21.79,True
1998-09-01,SUNPHARMA,2.47,2.97,2.4,2.82,34887500,599165,Tuesday,False,0.21999999999999975,8.46,True,True,0.3900000000000001,21.79,True
1998-10-01,SUNPHARMA,2.85,2.85,2.47,2.6,11137500,97500,Thursday,True,-0.21999999999999975,-7.8,False,True,0.3900000000000001,21.79,True
1998-11-01,SUNPHARMA,2.6,2.72,2.47,2.54,4250000,349800,Sunday,False,-0.06000000000000005,-2.31,False,True,0.3900000000000001,21.79,True
1998-12-01,SUNPHARMA,2.52,2.55,2.1,2.18,53137500,572460,Tuesday,True,-0.3599999999999999,-14.17,False,True,0.3900000000000001,21.79,True
1999-01-01,SUNPHARMA,2.2,2.52,2.16,2.42,30912500,4628250,Friday,False,0.23999999999999977,11.01,True,False,11.41,523.39,True
1999-02-01,SUNPHARMA,2.47,2.71,2.28,2.48,59900000,7905000,Monday,True,0.06000000000000005,2.48,True,False,11.41,523.39,True
1999-03-01,SUNPHARMA,2.5,4.2,2.48,4.2,198062500,77632712,Monday,False,1.7200000000000002,69.35,True,False,11.41,523.39,True
1999-04-01,SUNPHARMA,4.24,4.52,2.96,3.55,93962500,11524500,Thursday,True,-0.6500000000000004,-15.48,False,False,11.41,523.39,True
