Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1995-01-01,SUNPHARMA,1.92,2.36,1.72,1.87,45575000,397885,Sunday,False,,,False
1996-01-01,SUNPHARMA,1.87,2.4,1.58,1.88,97687500,588000,Monday,True,0.009999999999999787,0.53,True
1997-01-01,SUNPHARMA,1.9,2.8,1.69,1.79,112425000,4432230,Wednesday,False,-0.08999999999999986,-4.79,False
1998-01-01,SUNPHARMA,1.79,3.06,1.72,2.18,347725000,572460,Thursday,True,0.3900000000000001,21.79,True
1999-01-01,SUNPHARMA,2.2,15.61,2.16,13.59,1075991625,11417952,Friday,False,11.41,523.39,True
2000-01-01,SUNPHARMA,14.99,25.87,7.15,13.45,573593045,8077645,Saturday,True,-0.14000000000000057,-1.03,False
2001-01-01,SUNPHARMA,13.5,16.18,10.78,14.33,243758560,1609546,Monday,False,0.8800000000000008,6.54,True
2002-01-01,SUNPHARMA,14.43,17.6,12.35,15.03,128425600,19165288,Tuesday,True,0.6999999999999993,4.88,True
2003-01-01,SUNPHARMA,14.88,34.65,12.8,29.78,226698720,27041320,Wednesday,False,14.750000000000002,98.14,True
2004-01-01,SUNPHARMA,30.1,57.5,27.75,55.56,331478680,49377280,Thursday,True,25.78,86.57,True
2005-01-01,SUNPHARMA,56.7,72.47,37.49,68.16,248448380,50724672,Saturday,False,12.599999999999994,22.68,True
2006-01-01,SUNPHARMA,67.4,106.4,63.5,98.24,412791480,297240448,Sunday,True,30.08,44.13,True
2007-01-01,SUNPHARMA,98.39,127.39,85.5,120.38,509596220,65752436,Monday,False,22.14,22.54,True
2008-01-01,SUNPHARMA,122.69,155.69,87.0,106.42,761955160,228702864,Tuesday,True,-13.959999999999994,-11.6,False
2009-01-01,SUNPHARMA,107.8,163.8,95.4,150.88,776452570,173570848,Thursday,False,44.459999999999994,41.78,True
2010-01-01,SUNPHARMA,153.8,244.8,140.0,242.48,468351820,374386272,Friday,True,91.6,60.71,True
2011-01-01,SUNPHARMA,247.5,301.5,196.58,248.83,463010930,207531488,Saturday,False,6.350000000000023,2.62,True
2012-01-01,SUNPHARMA,250.0,387.95,244.0,368.13,400949180,143582736,Sunday,True,119.29999999999998,47.94,True
2013-01-01,SUNPHARMA,369.55,651.9,347.0,567.45,485981618,528154112,Tuesday,False,199.32000000000005,54.14,True
2014-01-01,SUNPHARMA,568.25,932.5,552.55,826.55,579097957,1059794944,Wednesday,True,259.0999999999999,45.66,True
2015-01-01,SUNPHARMA,826.5,1200.8,704.0,820.15,1174038606,2124613376,Thursday,False,-6.399999999999977,-0.77,False
2016-01-01,SUNPHARMA,810.05,898.45,571.9,630.0,835607121,2219811328,Friday,True,-190.14999999999998,-23.18,False
2017-01-01,SUNPHARMA,633.0,729.05,432.7,571.15,1103299331,2968395264,Sunday,False,-58.85000000000002,-9.34,False
2018-01-01,SUNPHARMA,571.5,679.3,390.6,430.5,1870357891,2741728256,Monday,True,-140.64999999999998,-24.63,False
2019-01-01,SUNPHARMA,432.5,484.25,344.55,432.55,1855120920,1279209984,Tuesday,False,2.0500000000000114,0.48,True
2020-01-01,SUNPHARMA,432.95,599.45,312.0,592.35,2601391113,5233570304,Wednesday,True,159.8,36.94,True
2021-01-01,SUNPHARMA,592.5,851.0,550.4,845.7,1435110587,2830154496,Friday,False,253.35000000000002,42.77,True
2022-01-01,SUNPHARMA,845.0,1070.95,784.8,1001.4,2403853033,0,Saturday,True,155.69999999999993,18.41,True
2023-01-01,SUNPHARMA,1001.4,1072.15,946.1,987.65,166808921,0,Sunday,False,-13.75,-1.37,False
