Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-07,TATACONSUM,42.5,43.0,41.5,41.5,2500,20750,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-14,TATACONSUM,41.2,42.5,41.2,41.5,6000,83000,Monday,,,False,False,0.0,0.0,False,False,,,False,True,,,False
1994-11-21,TATACONSUM,43.5,43.5,41.75,42.03,3500,105063,Monday,,,False,False,0.5300000000000011,1.28,True,False,,,False,True,,,False
1994-11-28,TATACONSUM,42.95,42.95,41.5,41.5,2000,41500,Monday,,,False,False,-0.5300000000000011,-1.26,False,False,,,False,True,,,False
1994-12-05,TATACONSUM,41.5,41.5,40.0,41.0,13000,410000,Monday,1,,False,False,-0.5,-1.2,False,True,-2.75,-6.4,False,True,,,False
1994-12-12,TATACONSUM,38.0,40.0,38.0,39.9,2000,39900,Monday,2,,True,False,-1.1000000000000014,-2.68,False,True,-2.75,-6.4,False,True,,,False
1994-12-19,TATACONSUM,41.0,41.0,38.6,38.88,17000,97188,Monday,3,,False,False,-1.019999999999996,-2.56,False,True,-2.75,-6.4,False,True,,,False
1994-12-26,TATACONSUM,39.8,40.2,39.8,40.2,26000,140700,Monday,4,,True,False,1.3200000000000003,3.4,True,True,-2.75,-6.4,False,True,,,False
1995-01-02,TATACONSUM,40.0,40.1,38.0,38.0,11500,38000,Monday,1,1,False,False,-2.200000000000003,-5.47,False,False,-2.200000000000003,-5.47,False,False,-12.200000000000003,-30.35,False
1995-01-09,TATACONSUM,38.0,38.0,34.5,37.2,14000,74400,Monday,2,2,True,True,-0.7999999999999972,-2.11,False,False,-2.200000000000003,-5.47,False,False,-12.200000000000003,-30.35,False
1995-01-16,TATACONSUM,37.4,39.0,37.0,38.5,28000,134750,Monday,3,3,False,False,1.2999999999999972,3.49,True,False,-2.200000000000003,-5.47,False,False,-12.200000000000003,-30.35,False
1995-01-23,TATACONSUM,38.0,38.4,35.0,37.5,17000,37500,Monday,4,4,True,True,-1.0,-2.6,False,False,-2.200000000000003,-5.47,False,False,-12.200000000000003,-30.35,False
1995-01-30,TATACONSUM,38.0,40.5,38.0,40.5,16500,303750,Monday,5,5,False,False,3.0,8.0,True,False,-2.200000000000003,-5.47,False,False,-12.200000000000003,-30.35,False
1995-02-06,TATACONSUM,39.9,39.9,38.49,38.5,171000,3946250,Monday,1,6,False,True,-2.0,-4.94,False,True,-1.0,-2.63,False,False,-12.200000000000003,-30.35,False
1995-02-13,TATACONSUM,38.5,38.65,37.0,37.97,130500,246838,Monday,2,7,True,False,-0.5300000000000011,-1.38,False,True,-1.0,-2.63,False,False,-12.200000000000003,-30.35,False
1995-02-20,TATACONSUM,37.0,38.5,34.0,37.5,32500,150000,Monday,3,8,False,True,-0.46999999999999886,-1.24,False,True,-1.0,-2.63,False,False,-12.200000000000003,-30.35,False
1995-02-27,TATACONSUM,38.0,39.0,36.5,38.1,19000,266700,Monday,4,9,True,False,0.6000000000000014,1.6,True,True,-1.0,-2.63,False,False,-12.200000000000003,-30.35,False
1995-03-06,TATACONSUM,38.4,38.4,34.0,37.2,24500,204600,Monday,1,10,False,True,-0.8999999999999986,-2.36,False,False,-1.5,-4.05,False,False,-12.200000000000003,-30.35,False
1995-03-13,TATACONSUM,36.3,40.0,35.0,35.0,10500,17500,Monday,2,11,True,False,-2.200000000000003,-5.91,False,False,-1.5,-4.05,False,False,-12.200000000000003,-30.35,False
1995-03-20,TATACONSUM,33.75,36.9,33.1,34.5,26000,362250,Monday,3,12,False,True,-0.5,-1.43,False,False,-1.5,-4.05,False,False,-12.200000000000003,-30.35,False
1995-03-27,TATACONSUM,34.5,36.0,33.0,35.5,22500,17750,Monday,4,13,True,False,1.0,2.9,True,False,-1.5,-4.05,False,False,-12.200000000000003,-30.35,False
1995-04-03,TATACONSUM,35.5,37.6,34.75,37.0,26500,148000,Monday,1,14,False,True,1.5,4.23,True,True,-1.8100000000000023,-5.1,False,False,-12.200000000000003,-30.35,False
1995-04-10,TATACONSUM,35.0,36.5,35.0,36.1,9000,18050,Monday,2,15,True,False,-0.8999999999999986,-2.43,False,True,-1.8100000000000023,-5.1,False,False,-12.200000000000003,-30.35,False
1995-04-17,TATACONSUM,36.5,36.9,34.0,34.03,55500,255188,Monday,3,16,False,True,-2.0700000000000003,-5.73,False,True,-1.8100000000000023,-5.1,False,False,-12.200000000000003,-30.35,False
1995-04-24,TATACONSUM,35.0,35.17,33.1,33.69,125500,589663,Monday,4,17,True,False,-0.3400000000000034,-1.0,False,True,-1.8100000000000023,-5.1,False,False,-12.200000000000003,-30.35,False
1995-05-01,TATACONSUM,33.0,34.53,32.5,33.5,18500,134000,Monday,1,18,False,True,-0.18999999999999773,-0.56,False,False,-1.4899999999999949,-4.42,False,False,-12.200000000000003,-30.35,False
1995-05-08,TATACONSUM,33.5,34.0,31.0,32.5,24500,276250,Monday,2,19,True,False,-1.0,-2.99,False,False,-1.4899999999999949,-4.42,False,False,-12.200000000000003,-30.35,False
1995-05-15,TATACONSUM,32.4,33.1,31.0,32.7,31000,98100,Monday,3,20,False,True,0.20000000000000284,0.62,True,False,-1.4899999999999949,-4.42,False,False,-12.200000000000003,-30.35,False
1995-05-22,TATACONSUM,32.5,32.5,30.3,32.42,107500,599678,Monday,4,21,True,False,-0.28000000000000114,-0.86,False,False,-1.4899999999999949,-4.42,False,False,-12.200000000000003,-30.35,False
1995-05-29,TATACONSUM,32.0,33.2,31.0,33.07,79000,413375,Monday,5,22,False,True,0.6499999999999986,2.0,True,False,-1.4899999999999949,-4.42,False,False,-12.200000000000003,-30.35,False
1995-06-05,TATACONSUM,32.0,33.2,32.0,33.0,38500,462000,Monday,1,23,False,False,-0.07000000000000028,-0.21,False,True,-5.200000000000003,-16.15,False,False,-12.200000000000003,-30.35,False
1995-06-12,TATACONSUM,33.6,33.6,29.25,29.5,133500,2832000,Monday,2,24,True,True,-3.5,-10.61,False,True,-5.200000000000003,-16.15,False,False,-12.200000000000003,-30.35,False
1995-06-19,TATACONSUM,30.0,30.1,27.5,27.81,115000,834450,Monday,3,25,False,False,-1.6900000000000013,-5.73,False,True,-5.200000000000003,-16.15,False,False,-12.200000000000003,-30.35,False
1995-06-26,TATACONSUM,27.6,28.5,27.0,27.0,60000,202500,Monday,4,26,True,True,-0.8099999999999987,-2.91,False,True,-5.200000000000003,-16.15,False,False,-12.200000000000003,-30.35,False
1995-07-03,TATACONSUM,27.0,27.5,25.75,26.4,129000,686270,Monday,1,27,False,False,-0.6000000000000014,-2.22,False,False,3.030000000000001,11.22,True,False,-12.200000000000003,-30.35,False
1995-07-10,TATACONSUM,26.4,29.2,26.3,28.98,92000,680913,Monday,2,28,True,True,2.580000000000002,9.77,True,False,3.030000000000001,11.22,True,False,-12.200000000000003,-30.35,False
1995-07-17,TATACONSUM,29.6,31.9,29.6,30.87,130500,355005,Monday,3,29,False,False,1.8900000000000006,6.52,True,False,3.030000000000001,11.22,True,False,-12.200000000000003,-30.35,False
1995-07-24,TATACONSUM,31.0,34.0,30.1,30.31,140500,727440,Monday,4,30,True,True,-0.5600000000000023,-1.81,False,False,3.030000000000001,11.22,True,False,-12.200000000000003,-30.35,False
1995-07-31,TATACONSUM,30.0,33.0,29.7,30.5,141500,320250,Monday,5,31,False,False,0.19000000000000128,0.63,True,False,3.030000000000001,11.22,True,False,-12.200000000000003,-30.35,False
1995-08-07,TATACONSUM,30.5,30.99,29.05,30.3,43500,121200,Monday,1,32,False,True,-0.1999999999999993,-0.66,False,True,-2.6300000000000026,-8.76,False,False,-12.200000000000003,-30.35,False
1995-08-14,TATACONSUM,30.0,30.5,28.0,29.52,27000,59050,Monday,2,33,True,False,-0.7800000000000011,-2.57,False,True,-2.6300000000000026,-8.76,False,False,-12.200000000000003,-30.35,False
1995-08-21,TATACONSUM,29.7,29.8,28.65,28.7,31500,71750,Monday,3,34,False,True,-0.8200000000000003,-2.78,False,True,-2.6300000000000026,-8.76,False,False,-12.200000000000003,-30.35,False
1995-08-28,TATACONSUM,28.0,28.8,27.0,27.55,26000,110220,Monday,4,35,True,False,-1.1499999999999986,-4.01,False,True,-2.6300000000000026,-8.76,False,False,-12.200000000000003,-30.35,False
1995-09-04,TATACONSUM,27.2,28.6,27.2,28.5,28500,99750,Monday,1,36,False,True,0.9499999999999993,3.45,True,False,3.4800000000000004,12.7,True,False,-12.200000000000003,-30.35,False
1995-09-11,TATACONSUM,29.3,30.5,28.9,30.0,42000,570000,Monday,2,37,True,False,1.5,5.26,True,False,3.4800000000000004,12.7,True,False,-12.200000000000003,-30.35,False
1995-09-18,TATACONSUM,30.0,31.0,29.05,30.52,85500,335775,Monday,3,38,False,True,0.5199999999999996,1.73,True,False,3.4800000000000004,12.7,True,False,-12.200000000000003,-30.35,False
1995-09-25,TATACONSUM,31.0,32.28,30.4,30.88,59500,169813,Monday,4,39,True,False,0.35999999999999943,1.18,True,False,3.4800000000000004,12.7,True,False,-12.200000000000003,-30.35,False
1995-10-02,TATACONSUM,31.61,32.5,31.6,32.0,113000,2560000,Monday,1,40,False,True,1.120000000000001,3.63,True,True,4.890000000000004,15.84,True,False,-12.200000000000003,-30.35,False
1995-10-09,TATACONSUM,32.1,32.9,31.75,32.0,155000,912000,Monday,2,41,True,False,0.0,0.0,False,True,4.890000000000004,15.84,True,False,-12.200000000000003,-30.35,False
1995-10-16,TATACONSUM,32.0,35.5,32.0,34.26,386500,1010818,Monday,3,42,False,True,2.259999999999998,7.06,True,True,4.890000000000004,15.84,True,False,-12.200000000000003,-30.35,False
1995-10-23,TATACONSUM,34.26,34.4,32.0,32.5,290500,3705000,Monday,4,43,True,False,-1.759999999999998,-5.14,False,True,4.890000000000004,15.84,True,False,-12.200000000000003,-30.35,False
1995-10-30,TATACONSUM,32.5,37.6,32.8,35.77,624000,1234065,Monday,5,44,False,True,3.270000000000003,10.06,True,True,4.890000000000004,15.84,True,False,-12.200000000000003,-30.35,False
1995-11-06,TATACONSUM,35.77,36.0,32.02,32.69,352500,3792040,Monday,1,45,False,False,-3.0800000000000054,-8.61,False,False,-7.270000000000003,-20.32,False,False,-12.200000000000003,-30.35,False
1995-11-13,TATACONSUM,32.69,33.0,30.0,30.37,306000,652955,Monday,2,46,True,True,-2.3199999999999967,-7.1,False,False,-7.270000000000003,-20.32,False,False,-12.200000000000003,-30.35,False
1995-11-20,TATACONSUM,30.37,31.0,27.9,31.0,361000,5393130,Monday,3,47,False,False,0.629999999999999,2.07,True,False,-7.270000000000003,-20.32,False,False,-12.200000000000003,-30.35,False
1995-11-27,TATACONSUM,31.0,31.0,26.0,28.1,350500,1067800,Monday,4,48,True,True,-2.8999999999999986,-9.35,False,False,-7.270000000000003,-20.32,False,False,-12.200000000000003,-30.35,False
1995-12-04,TATACONSUM,28.1,29.5,27.2,28.68,192500,659640,Monday,1,49,False,False,0.5799999999999983,2.06,True,True,-0.5,-1.75,False,False,-12.200000000000003,-30.35,False
1995-12-11,TATACONSUM,28.68,28.95,27.8,28.1,90000,477700,Monday,2,50,True,True,-0.5799999999999983,-2.02,False,True,-0.5,-1.75,False,False,-12.200000000000003,-30.35,False
1995-12-18,TATACONSUM,28.1,29.0,27.4,28.43,176000,1179845,Monday,3,51,False,False,0.3299999999999983,1.17,True,True,-0.5,-1.75,False,False,-12.200000000000003,-30.35,False
1995-12-25,TATACONSUM,28.43,28.7,27.7,28.0,90000,574000,Monday,4,52,True,True,-0.4299999999999997,-1.51,False,True,-0.5,-1.75,False,False,-12.200000000000003,-30.35,False
1996-01-01,TATACONSUM,28.0,28.22,27.0,27.38,315000,3135010,Monday,1,1,False,False,-0.620000000000001,-2.21,False,False,-2.1000000000000014,-7.5,False,True,-8.010000000000002,-28.61,False
1996-01-08,TATACONSUM,27.15,27.5,26.0,26.9,293500,255503,Monday,2,2,True,True,-0.4800000000000004,-1.75,False,False,-2.1000000000000014,-7.5,False,True,-8.010000000000002,-28.61,False
1996-01-15,TATACONSUM,26.9,26.9,26.0,26.05,293000,4767150,Monday,3,3,False,False,-0.8499999999999979,-3.16,False,False,-2.1000000000000014,-7.5,False,True,-8.010000000000002,-28.61,False
1996-01-22,TATACONSUM,25.9,26.25,24.0,24.9,139500,896400,Monday,4,4,True,True,-1.1500000000000021,-4.41,False,False,-2.1000000000000014,-7.5,False,True,-8.010000000000002,-28.61,False
1996-01-29,TATACONSUM,25.0,27.95,24.83,27.82,292500,3727880,Monday,5,5,False,False,2.9200000000000017,11.73,True,False,-2.1000000000000014,-7.5,False,True,-8.010000000000002,-28.61,False
1996-02-05,TATACONSUM,28.45,30.5,26.46,30.09,378500,2377110,Monday,1,6,False,True,2.2699999999999996,8.16,True,True,3.5,13.51,True,True,-8.010000000000002,-28.61,False
1996-02-12,TATACONSUM,30.09,33.1,29.1,31.0,695500,992000,Monday,2,7,True,False,0.9100000000000001,3.02,True,True,3.5,13.51,True,True,-8.010000000000002,-28.61,False
1996-02-19,TATACONSUM,31.0,31.0,29.0,30.77,209500,1415420,Monday,3,8,False,True,-0.23000000000000043,-0.74,False,True,3.5,13.51,True,True,-8.010000000000002,-28.61,False
1996-02-26,TATACONSUM,30.77,31.5,29.0,29.53,258500,339653,Monday,4,9,True,False,-1.2399999999999984,-4.03,False,True,3.5,13.51,True,True,-8.010000000000002,-28.61,False
1996-03-04,TATACONSUM,29.53,30.13,29.3,29.7,119000,1203053,Monday,1,10,False,True,0.16999999999999815,0.58,True,False,-1.6799999999999997,-5.71,False,True,-8.010000000000002,-28.61,False
1996-03-11,TATACONSUM,29.7,30.0,28.53,28.8,87000,172800,Monday,2,11,True,False,-0.8999999999999986,-3.03,False,False,-1.6799999999999997,-5.71,False,True,-8.010000000000002,-28.61,False
1996-03-18,TATACONSUM,28.8,28.8,27.1,27.7,123500,1191100,Monday,3,12,False,True,-1.1000000000000014,-3.82,False,False,-1.6799999999999997,-5.71,False,True,-8.010000000000002,-28.61,False
1996-03-25,TATACONSUM,27.7,28.6,27.4,27.72,212000,374153,Monday,4,13,True,False,0.019999999999999574,0.07,True,False,-1.6799999999999997,-5.71,False,True,-8.010000000000002,-28.61,False
1996-04-01,TATACONSUM,27.72,31.88,27.05,31.61,319500,7840520,Monday,1,14,False,True,3.8900000000000006,14.03,True,True,1.8100000000000023,6.53,True,True,-8.010000000000002,-28.61,False
1996-04-08,TATACONSUM,31.61,33.5,29.7,30.0,1103500,4214298,Monday,2,15,True,False,-1.6099999999999994,-5.09,False,True,1.8100000000000023,6.53,True,True,-8.010000000000002,-28.61,False
1996-04-15,TATACONSUM,30.0,32.15,29.25,31.24,1263000,5420140,Monday,3,16,False,True,1.2399999999999984,4.13,True,True,1.8100000000000023,6.53,True,True,-8.010000000000002,-28.61,False
1996-04-22,TATACONSUM,31.24,31.8,29.9,30.38,802500,2627870,Monday,4,17,True,False,-0.8599999999999994,-2.75,False,True,1.8100000000000023,6.53,True,True,-8.010000000000002,-28.61,False
1996-04-29,TATACONSUM,30.38,30.5,29.0,29.23,316000,2674545,Monday,5,18,False,True,-1.1499999999999986,-3.79,False,True,1.8100000000000023,6.53,True,True,-8.010000000000002,-28.61,False
1996-05-06,TATACONSUM,29.23,29.9,27.6,28.58,282500,1028880,Monday,1,19,False,False,-0.6500000000000021,-2.22,False,False,-1.9000000000000021,-6.43,False,True,-8.010000000000002,-28.61,False
1996-05-13,TATACONSUM,28.58,31.4,28.3,30.06,902000,4433850,Monday,2,20,True,True,1.4800000000000004,5.18,True,False,-1.9000000000000021,-6.43,False,True,-8.010000000000002,-28.61,False
1996-05-20,TATACONSUM,29.9,29.9,28.55,28.7,485000,1162350,Monday,3,21,False,False,-1.3599999999999994,-4.52,False,False,-1.9000000000000021,-6.43,False,True,-8.010000000000002,-28.61,False
1996-05-27,TATACONSUM,28.7,29.0,27.35,27.63,1183500,17766090,Monday,4,22,True,True,-1.0700000000000003,-3.73,False,False,-1.9000000000000021,-6.43,False,True,-8.010000000000002,-28.61,False
1996-06-03,TATACONSUM,27.63,29.15,27.42,29.0,1915500,8452043,Monday,1,23,False,False,1.370000000000001,4.96,True,True,3.3500000000000014,12.12,True,True,-8.010000000000002,-28.61,False
1996-06-10,TATACONSUM,29.1,32.19,29.1,31.73,3755000,28663538,Monday,2,24,True,True,2.7300000000000004,9.41,True,True,3.3500000000000014,12.12,True,True,-8.010000000000002,-28.61,False
1996-06-17,TATACONSUM,32.0,32.4,30.5,30.96,2146500,4597560,Monday,3,25,False,False,-0.7699999999999996,-2.43,False,True,3.3500000000000014,12.12,True,True,-8.010000000000002,-28.61,False
1996-06-24,TATACONSUM,30.8,31.29,30.5,30.98,1081000,7124250,Monday,4,26,True,True,0.019999999999999574,0.06,True,True,3.3500000000000014,12.12,True,True,-8.010000000000002,-28.61,False
