Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2004-08-23,TCS,149.84,149.84,119.82,120.33,208020176,3687671552,Monday,,,False,False,,,False,True,,,False,True,,,False
2004-08-30,TCS,121.24,137.5,120.63,124.73,96821616,1231079424,Monday,,,False,False,4.400000000000006,3.66,True,True,,,False,True,,,False
2004-09-06,TCS,129.99,129.99,122.0,123.6,35767144,792902912,Monday,1,,False,False,-1.1300000000000097,-0.91,False,False,4.879999999999981,3.95,True,True,,,False
2004-09-13,TCS,123.88,128.74,123.88,128.06,70214792,1873284992,Monday,2,,True,False,4.460000000000008,3.61,True,False,4.879999999999981,3.95,True,True,,,False
2004-09-20,TCS,129.05,132.0,127.52,128.6,61723776,1039500608,Monday,3,,False,False,0.539999999999992,0.42,True,False,4.879999999999981,3.95,True,True,,,False
2004-09-27,TCS,128.44,132.06,126.56,130.96,49796424,1436512896,Monday,4,,True,False,2.3600000000000136,1.84,True,False,4.879999999999981,3.95,True,True,,,False
2004-10-04,TCS,132.13,138.88,131.81,137.58,67849136,284560960,Monday,1,,False,False,6.6200000000000045,5.05,True,True,16.140000000000015,12.57,True,True,,,False
2004-10-11,TCS,137.5,142.63,134.71,140.75,61958296,2505314048,Monday,2,,True,False,3.1699999999999875,2.3,True,True,16.140000000000015,12.57,True,True,,,False
2004-10-18,TCS,141.75,143.74,140.25,140.69,39080824,902342208,Monday,3,,False,False,-0.060000000000002274,-0.04,False,True,16.140000000000015,12.57,True,True,,,False
2004-10-25,TCS,140.63,146.85,138.84,144.53,51413880,1251897344,Monday,4,,True,False,3.8400000000000034,2.73,True,True,16.140000000000015,12.57,True,True,,,False
2004-11-01,TCS,143.75,148.49,140.63,145.68,35559400,731880448,Monday,1,,False,False,1.1500000000000057,0.8,True,False,14.800000000000011,10.24,True,True,,,False
2004-11-08,TCS,145.63,151.0,144.5,149.59,30413368,271274496,Monday,2,,True,False,3.9099999999999966,2.68,True,False,14.800000000000011,10.24,True,True,,,False
2004-11-15,TCS,149.75,154.63,148.0,152.14,23758328,1036476224,Monday,3,,False,False,2.549999999999983,1.7,True,False,14.800000000000011,10.24,True,True,,,False
2004-11-22,TCS,150.98,155.63,149.38,152.11,18585240,959923072,Monday,4,,True,False,-0.029999999999972715,-0.02,False,False,14.800000000000011,10.24,True,True,,,False
2004-11-29,TCS,152.0,160.75,150.69,154.59,43706416,1511496448,Monday,5,,False,False,2.4799999999999898,1.63,True,False,14.800000000000011,10.24,True,True,,,False
2004-12-06,TCS,155.0,156.25,149.51,153.21,36684536,952453888,Monday,1,,False,False,-1.3799999999999955,-0.89,False,True,7.599999999999994,4.77,True,True,,,False
2004-12-13,TCS,153.25,159.35,153.16,157.06,23712624,865375424,Monday,2,,True,False,3.8499999999999943,2.51,True,True,7.599999999999994,4.77,True,True,,,False
2004-12-20,TCS,157.5,159.63,152.69,158.49,22339416,1055862528,Monday,3,,False,False,1.4300000000000068,0.91,True,True,7.599999999999994,4.77,True,True,,,False
2004-12-27,TCS,158.75,167.35,157.78,166.93,31174280,817848256,Monday,4,,True,False,8.439999999999998,5.33,True,True,7.599999999999994,4.77,True,True,,,False
2005-01-03,TCS,166.93,169.59,160.04,167.49,34947616,1276827648,Monday,1,1,False,False,0.5600000000000023,0.34,True,False,-4.3799999999999955,-2.62,False,False,45.93000000000001,27.51,True
2005-01-10,TCS,168.58,170.99,159.38,162.05,79743704,2553547776,Monday,2,2,True,True,-5.439999999999998,-3.25,False,False,-4.3799999999999955,-2.62,False,False,45.93000000000001,27.51,True
