Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2004-08-26,TCS,149.84,149.84,121.91,122.38,177374176,4949236736,Thursday,2004-08-20,,,False,False,,,False,True,,,False,True,,,False
2004-09-02,TCS,122.8,125.58,119.82,124.21,117597760,2652592384,Thursday,2004-08-27,1,,False,False,1.8299999999999983,1.5,True,False,4.879999999999981,3.95,True,True,,,False
2004-09-09,TCS,125.75,137.5,122.31,122.49,39221928,973480384,Thursday,2004-09-03,2,,True,False,-1.7199999999999989,-1.38,False,False,4.879999999999981,3.95,True,True,,,False
2004-09-16,TCS,123.75,127.5,122.0,126.06,62001968,927550144,Thursday,2004-09-10,3,,False,False,3.5700000000000074,2.91,True,False,4.879999999999981,3.95,True,True,,,False
2004-09-23,TCS,126.5,132.0,126.29,128.78,68268464,2037278208,Thursday,2004-09-17,4,,True,False,2.719999999999999,2.16,True,False,4.879999999999981,3.95,True,True,,,False
2004-09-30,TCS,128.64,130.11,126.56,128.39,46910744,1607595264,Thursday,2004-09-24,5,,False,False,-0.3900000000000148,-0.3,False,False,4.879999999999981,3.95,True,True,,,False
2004-10-07,TCS,128.63,137.85,128.29,137.14,68190792,1382363520,Thursday,2004-10-01,1,,False,False,8.75,6.82,True,True,16.140000000000015,12.57,True,True,,,False
2004-10-14,TCS,137.25,140.5,134.71,139.53,54785784,2682505216,Thursday,2004-10-08,2,,True,False,2.390000000000015,1.74,True,True,16.140000000000015,12.57,True,True,,,False
2004-10-21,TCS,140.21,143.74,139.66,140.69,56880568,902342208,Thursday,2004-10-15,3,,False,False,1.1599999999999966,0.83,True,True,16.140000000000015,12.57,True,True,,,False
2004-10-28,TCS,140.63,146.85,138.84,145.74,42752104,2709582592,Thursday,2004-10-22,4,,True,False,5.050000000000011,3.59,True,True,16.140000000000015,12.57,True,True,,,False
2004-11-04,TCS,145.99,148.49,140.63,146.3,39197328,959114752,Thursday,2004-10-29,1,,False,False,0.5600000000000023,0.38,True,False,14.800000000000011,10.24,True,True,,,False
2004-11-11,TCS,146.74,150.43,144.5,149.53,33623808,782815232,Thursday,2004-11-05,2,,True,False,3.2299999999999898,2.21,True,False,14.800000000000011,10.24,True,True,,,False
2004-11-18,TCS,150.5,154.32,148.0,153.88,18758976,1149773696,Thursday,2004-11-12,3,,False,False,4.349999999999994,2.91,True,False,14.800000000000011,10.24,True,True,,,False
2004-11-25,TCS,154.13,155.63,149.38,152.11,25398000,959923072,Thursday,2004-11-19,4,,True,False,-1.7699999999999818,-1.15,False,False,14.800000000000011,10.24,True,True,,,False
