Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2006-01-01,TECHM,130.25,437.18,113.2,418.14,552200800,2262560512,Sunday,True,,,False
2007-01-01,TECHM,420.8,512.0,230.25,282.73,422260492,104210176,Monday,False,-135.40999999999997,-32.38,False
2008-01-01,TECHM,283.0,289.94,54.16,61.86,137934876,12438569,Tuesday,True,-220.87,-78.12,False
2009-01-01,TECHM,61.86,287.18,51.25,247.8,925422420,209120400,Thursday,False,185.94,300.58,True
2010-01-01,TECHM,249.2,289.5,149.55,175.6,341299096,94431360,Friday,True,-72.20000000000002,-29.14,False
2011-01-01,TECHM,177.63,199.5,119.21,143.43,214562796,32570098,Saturday,False,-32.16999999999999,-18.32,False
2012-01-01,TECHM,144.5,260.74,141.26,233.06,374941808,351838592,Sunday,True,89.63,62.49,True
2013-01-01,TECHM,234.66,468.88,223.76,459.46,828895436,455794144,Tuesday,False,226.39999999999998,97.14,True
2014-01-01,TECHM,461.25,683.5,419.09,648.39,696589664,862080448,Wednesday,True,188.93,41.12,True
2015-01-01,TECHM,647.25,748.78,458.5,521.65,605892072,219970944,Thursday,False,-126.74000000000001,-19.55,False
2016-01-01,TECHM,524.9,564.0,405.5,488.9,502172839,888391424,Friday,True,-32.75,-6.28,False
2017-01-01,TECHM,494.5,518.15,356.65,504.05,635688309,712124352,Sunday,False,15.150000000000034,3.1,True
2018-01-01,TECHM,501.1,780.8,500.05,723.15,816695794,1312267776,Monday,True,219.09999999999997,43.47,True
2019-01-01,TECHM,715.0,846.5,607.15,762.3,703775355,2290625280,Tuesday,False,39.14999999999998,5.41,True
2020-01-01,TECHM,766.0,986.4,471.4,973.2,1171136664,2782767104,Wednesday,True,210.9000000000001,27.67,True
2021-01-01,TECHM,976.0,1838.0,915.0,1790.55,881656825,4258013952,Friday,False,817.3499999999999,83.99,True
2022-01-01,TECHM,1795.05,1818.0,943.7,1016.4,2584559876,0,Saturday,True,-774.15,-43.24,False
2023-01-01,TECHM,1017.9,1164.7,981.05,1023.7,212504357,0,Sunday,False,7.300000000000068,0.72,True
