Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-10,TORNTPHARM,44.8,44.8,44.67,44.67,1500,67000.0,Thursday,1994-11-04,,,False,False,,,False,False,,,False,True,,,False
1994-11-17,TORNTPHARM,43.33,43.33,42.67,42.9,4500,193050.0,Thursday,1994-11-11,,,False,False,-1.7700000000000031,-3.96,False,False,,,False,True,,,False
1994-11-24,TORNTPHARM,44.0,44.0,44.0,44.0,750,33000.0,Thursday,1994-11-18,,,False,False,1.1000000000000014,2.56,True,False,,,False,True,,,False
1994-12-01,TORNTPHARM,44.0,44.0,44.0,44.0,1500,33000.0,Thursday,1994-11-25,1,,False,False,0.0,0.0,False,True,-6.0,-13.64,False,True,,,False
1994-12-08,TORNTPHARM,43.33,43.33,41.33,41.33,3750,31000.0,Thursday,1994-12-02,2,,True,False,-2.6700000000000017,-6.07,False,True,-6.0,-13.64,False,True,,,False
1994-12-15,TORNTPHARM,37.33,38.0,37.33,38.0,2250,57000.0,Thursday,1994-12-09,3,,False,False,-3.3299999999999983,-8.06,False,True,-6.0,-13.64,False,True,,,False
1994-12-22,TORNTPHARM,40.0,40.6,36.67,39.33,5250,29500.0,Thursday,1994-12-16,4,,True,False,1.3299999999999983,3.5,True,True,-6.0,-13.64,False,True,,,False
1994-12-29,TORNTPHARM,39.33,39.33,38.0,38.0,1500,28500.0,Thursday,1994-12-23,5,,False,False,-1.3299999999999983,-3.38,False,True,-6.0,-13.64,False,True,,,False
1995-01-05,TORNTPHARM,38.0,39.33,38.0,38.67,3000,29000.0,Thursday,1994-12-30,1,1,False,False,0.6700000000000017,1.76,True,False,-2.0,-5.26,False,False,-17.73,-46.66,False
1995-01-12,TORNTPHARM,36.0,37.33,36.0,36.68,5250,55020.0,Thursday,1995-01-06,2,2,True,True,-1.990000000000002,-5.15,False,False,-2.0,-5.26,False,False,-17.73,-46.66,False
1995-01-19,TORNTPHARM,38.67,39.68,37.87,38.27,9000,86100.0,Thursday,1995-01-13,3,3,False,False,1.5900000000000034,4.33,True,False,-2.0,-5.26,False,False,-17.73,-46.66,False
1995-01-26,TORNTPHARM,38.2,38.67,36.0,36.0,4500,27000.0,Thursday,1995-01-20,4,4,True,True,-2.270000000000003,-5.93,False,False,-2.0,-5.26,False,False,-17.73,-46.66,False
1995-02-02,,,,,,0,,Thursday,1995-01-27,1,5,False,False,,,False,True,-1.6000000000000014,-4.44,False,False,-17.73,-46.66,False
1995-02-09,TORNTPHARM,39.33,39.33,36.0,36.0,8250,81000.0,Thursday,1995-02-03,2,6,True,True,,,False,True,-1.6000000000000014,-4.44,False,False,-17.73,-46.66,False
1995-02-16,TORNTPHARM,34.67,35.0,34.0,34.0,9000,25500.0,Thursday,1995-02-10,3,7,False,False,-2.0,-5.56,False,True,-1.6000000000000014,-4.44,False,False,-17.73,-46.66,False
