Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2006-11-01,TORNTPOWER,45.0,99.3,45.0,84.5,27044171,809914752,Wednesday,False,,,False,True,,,False
2006-12-01,TORNTPOWER,85.5,90.65,66.8,72.85,23223744,44892720,Friday,True,-11.650000000000006,-13.79,False,True,,,False
2007-01-01,TORNTPOWER,75.0,83.35,73.0,75.2,8727877,6234531,Monday,False,2.3500000000000085,3.23,True,False,117.55000000000001,161.36,True
2007-02-01,TORNTPOWER,76.0,78.35,65.0,67.95,2410096,13152673,Thursday,True,-7.25,-9.64,False,False,117.55000000000001,161.36,True
2007-03-01,TORNTPOWER,68.0,68.2,57.4,59.2,1402142,2851309,Thursday,False,-8.75,-12.88,False,False,117.55000000000001,161.36,True
2007-04-01,TORNTPOWER,59.9,73.05,56.55,67.25,3745490,3564586,Sunday,True,8.049999999999997,13.6,True,False,117.55000000000001,161.36,True
2007-05-01,TORNTPOWER,67.1,80.5,66.1,68.9,7084236,37744248,Tuesday,False,1.6500000000000057,2.45,True,False,117.55000000000001,161.36,True
2007-06-01,TORNTPOWER,70.2,72.9,60.2,70.95,3498062,12156714,Friday,True,2.049999999999997,2.98,True,False,117.55000000000001,161.36,True
2007-07-01,TORNTPOWER,71.2,79.0,68.25,70.45,5731038,12575536,Sunday,False,-0.5,-0.7,False,False,117.55000000000001,161.36,True
2007-08-01,TORNTPOWER,70.4,90.4,64.5,84.05,16809185,35844384,Wednesday,True,13.599999999999994,19.3,True,False,117.55000000000001,161.36,True
2007-09-01,TORNTPOWER,85.0,102.0,84.0,92.65,15674437,34782940,Saturday,False,8.600000000000009,10.23,True,False,117.55000000000001,161.36,True
2007-10-01,TORNTPOWER,93.0,170.95,93.0,165.1,59412341,150709888,Monday,True,72.44999999999999,78.2,True,False,117.55000000000001,161.36,True
2007-11-01,TORNTPOWER,166.0,208.7,150.0,171.45,13618406,21319636,Thursday,False,6.349999999999994,3.85,True,False,117.55000000000001,161.36,True
