Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-12-01,TRENT,19.0,19.5,19.0,19.5,5000,58500.0,Thursday,1994-11-25,,,False,False,,,False,True,0.5,2.63,True,True,,,False
1994-12-08,,,,,,0,,Thursday,1994-12-02,,,False,False,,,False,True,0.5,2.63,True,True,,,False
1994-12-15,TRENT,19.5,19.5,17.5,18.75,5000,37500.0,Thursday,1994-12-09,,,False,False,,,False,True,0.5,2.63,True,True,,,False
1994-12-22,TRENT,19.0,19.0,18.63,18.63,2000,18625.0,Thursday,1994-12-16,,,False,False,-0.120000000000001,-0.64,False,True,0.5,2.63,True,True,,,False
1994-12-29,TRENT,20.0,20.0,19.5,19.5,3000,39000.0,Thursday,1994-12-23,,,False,False,0.870000000000001,4.67,True,True,0.5,2.63,True,True,,,False
1995-01-05,TRENT,19.25,19.25,18.5,18.5,4000,18500.0,Thursday,1994-12-30,1,1,False,False,-1.0,-5.13,False,False,-0.6999999999999993,-3.59,False,False,-6.5,-33.33,False
1995-01-12,TRENT,19.25,19.25,17.55,17.55,14000,105300.0,Thursday,1995-01-06,2,2,True,True,-0.9499999999999993,-5.14,False,False,-0.6999999999999993,-3.59,False,False,-6.5,-33.33,False
1995-01-19,TRENT,18.75,19.0,18.75,19.0,6000,38000.0,Thursday,1995-01-13,3,3,False,False,1.4499999999999993,8.26,True,False,-0.6999999999999993,-3.59,False,False,-6.5,-33.33,False
1995-01-26,TRENT,19.0,19.5,17.5,17.5,20000,17500.0,Thursday,1995-01-20,4,4,True,True,-1.5,-7.89,False,False,-0.6999999999999993,-3.59,False,False,-6.5,-33.33,False
1995-02-02,TRENT,18.0,19.25,18.0,18.0,9000,18000.0,Thursday,1995-01-27,1,5,False,False,0.5,2.86,True,True,-0.8000000000000007,-4.26,False,False,-6.5,-33.33,False
1995-02-09,TRENT,19.15,19.3,19.15,19.25,10000,19250.0,Thursday,1995-02-03,2,6,True,True,1.25,6.94,True,True,-0.8000000000000007,-4.26,False,False,-6.5,-33.33,False
1995-02-16,TRENT,19.25,19.38,17.75,18.0,32000,72000.0,Thursday,1995-02-10,3,7,False,False,-1.25,-6.49,False,True,-0.8000000000000007,-4.26,False,False,-6.5,-33.33,False
1995-02-23,TRENT,18.25,18.25,16.0,16.25,9000,65000.0,Thursday,1995-02-17,4,8,True,True,-1.75,-9.72,False,True,-0.8000000000000007,-4.26,False,False,-6.5,-33.33,False
1995-03-02,TRENT,17.88,18.75,17.6,18.0,12000,18000.0,Thursday,1995-02-24,1,9,False,False,1.75,10.77,True,False,0.3500000000000014,1.94,True,False,-6.5,-33.33,False
1995-03-09,TRENT,18.3,18.5,17.5,18.15,18000,18150.0,Thursday,1995-03-03,2,10,True,True,0.14999999999999858,0.83,True,False,0.3500000000000014,1.94,True,False,-6.5,-33.33,False
1995-03-16,TRENT,18.45,18.75,17.75,18.0,23000,36000.0,Thursday,1995-03-10,3,11,False,False,-0.14999999999999858,-0.83,False,False,0.3500000000000014,1.94,True,False,-6.5,-33.33,False
1995-03-23,TRENT,18.0,18.2,16.95,17.3,24000,103800.0,Thursday,1995-03-17,4,12,True,True,-0.6999999999999993,-3.89,False,False,0.3500000000000014,1.94,True,False,-6.5,-33.33,False
1995-03-30,TRENT,18.0,18.75,18.0,18.35,25000,91750.0,Thursday,1995-03-24,5,13,False,False,1.0500000000000007,6.07,True,False,0.3500000000000014,1.94,True,False,-6.5,-33.33,False
1995-04-06,TRENT,18.5,18.9,18.27,18.75,20000,75000.0,Thursday,1995-03-31,1,14,False,True,0.3999999999999986,2.18,True,True,-1.8500000000000014,-10.08,False,False,-6.5,-33.33,False
1995-04-13,TRENT,18.75,18.75,17.75,17.75,12000,71000.0,Thursday,1995-04-07,2,15,True,False,-1.0,-5.33,False,True,-1.8500000000000014,-10.08,False,False,-6.5,-33.33,False
1995-04-20,TRENT,18.5,18.9,17.0,17.79,29000,71150.0,Thursday,1995-04-14,3,16,False,True,0.03999999999999915,0.23,True,True,-1.8500000000000014,-10.08,False,False,-6.5,-33.33,False
1995-04-27,TRENT,18.0,18.5,17.0,17.25,26000,258750.0,Thursday,1995-04-21,4,17,True,False,-0.5399999999999991,-3.04,False,True,-1.8500000000000014,-10.08,False,False,-6.5,-33.33,False
1995-05-04,TRENT,17.0,17.0,15.75,15.75,5000,31500.0,Thursday,1995-04-28,1,18,False,True,-1.5,-8.7,False,False,0.25,1.52,True,False,-6.5,-33.33,False
1995-05-11,TRENT,16.4,16.4,16.0,16.3,12000,16300.0,Thursday,1995-05-05,2,19,True,False,0.5500000000000007,3.49,True,False,0.25,1.52,True,False,-6.5,-33.33,False
1995-05-18,TRENT,15.75,16.25,15.5,16.25,20000,32500.0,Thursday,1995-05-12,3,20,False,True,-0.05000000000000071,-0.31,False,False,0.25,1.52,True,False,-6.5,-33.33,False
1995-05-25,TRENT,17.25,17.25,16.3,17.25,10000,34500.0,Thursday,1995-05-19,4,21,True,False,1.0,6.15,True,False,0.25,1.52,True,False,-6.5,-33.33,False
1995-06-01,TRENT,17.25,17.7,16.25,16.88,20000,16875.0,Thursday,1995-05-26,1,22,False,True,-0.370000000000001,-2.14,False,True,-1.4000000000000004,-8.36,False,False,-6.5,-33.33,False
