Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2000-08-01,TVSMOTOR,11.0,11.4,10.25,10.5,167340,54613,Tuesday,True,,,False,True,,,False
2000-09-01,TVSMOTOR,10.5,11.08,8.36,8.58,1202520,244945,Friday,False,-1.92,-18.29,False,True,,,False
2000-10-01,TVSMOTOR,8.25,8.98,6.9,8.23,3835120,499232,Sunday,True,-0.34999999999999964,-4.08,False,True,,,False
2000-11-01,TVSMOTOR,8.55,10.01,7.36,8.76,10679900,4526532,Wednesday,False,0.5299999999999994,6.44,True,True,,,False
2000-12-01,TVSMOTOR,8.7,9.9,6.95,7.28,17373960,17718904,Friday,True,-1.4799999999999995,-16.89,False,True,,,False
2001-01-01,TVSMOTOR,7.4,8.95,7.28,8.74,31001880,5904685,Monday,False,1.46,20.05,True,False,0.79,10.85,True
2001-02-01,TVSMOTOR,8.73,10.7,8.11,10.28,44633320,40660872,Thursday,True,1.5399999999999991,17.62,True,False,0.79,10.85,True
2001-03-01,TVSMOTOR,11.08,11.25,6.8,6.9,20073700,2886488,Thursday,False,-3.379999999999999,-32.88,False,False,0.79,10.85,True
2001-04-01,TVSMOTOR,6.45,6.83,4.35,4.61,19774660,5903867,Sunday,True,-2.29,-33.19,False,False,0.79,10.85,True
2001-05-01,TVSMOTOR,4.9,5.45,3.95,5.11,15466000,3910479,Tuesday,False,0.5,10.85,True,False,0.79,10.85,True
2001-06-01,TVSMOTOR,5.2,5.2,4.0,4.7,13172340,1391470,Friday,True,-0.41000000000000014,-8.02,False,False,0.79,10.85,True
2001-07-01,TVSMOTOR,4.8,4.85,3.5,4.51,2304480,3846489,Sunday,False,-0.1900000000000004,-4.04,False,False,0.79,10.85,True
2001-08-01,TVSMOTOR,4.45,5.05,4.2,4.68,6730380,2534918,Wednesday,True,0.16999999999999993,3.77,True,False,0.79,10.85,True
2001-09-01,TVSMOTOR,4.5,4.75,3.06,4.05,23889820,19299586,Saturday,False,-0.6299999999999999,-13.46,False,False,0.79,10.85,True
2001-10-01,TVSMOTOR,3.26,6.25,3.26,5.96,16984140,2559105,Monday,True,1.9100000000000001,47.16,True,False,0.79,10.85,True
2001-11-01,TVSMOTOR,6.08,8.69,5.4,8.26,11539020,5057476,Thursday,False,2.3,38.59,True,False,0.79,10.85,True
2001-12-01,TVSMOTOR,8.5,8.8,6.58,8.07,4020220,373848,Saturday,True,-0.1899999999999995,-2.3,False,False,0.79,10.85,True
2002-01-01,TVSMOTOR,8.05,13.93,8.05,13.41,29036980,5504490,Tuesday,False,5.34,66.17,True,True,17.04,211.15,True
2002-02-01,TVSMOTOR,13.35,18.65,13.25,16.56,9984580,14918307,Friday,True,3.1499999999999986,23.49,True,True,17.04,211.15,True
2002-03-01,TVSMOTOR,17.0,20.35,16.38,18.9,7503420,5296859,Friday,False,2.34,14.13,True,True,17.04,211.15,True
2002-04-01,TVSMOTOR,18.75,25.0,17.8,22.98,6931600,4806560,Monday,True,4.080000000000002,21.59,True,True,17.04,211.15,True
2002-05-01,TVSMOTOR,23.75,24.35,17.55,20.26,4143500,1246088,Wednesday,False,-2.719999999999999,-11.84,False,True,17.04,211.15,True
2002-06-01,TVSMOTOR,20.8,25.6,16.55,25.37,5154400,22903808,Saturday,True,5.109999999999999,25.22,True,True,17.04,211.15,True
2002-07-01,TVSMOTOR,25.56,28.0,19.55,21.55,5327120,5885988,Monday,False,-3.8200000000000003,-15.06,False,True,17.04,211.15,True
2002-08-01,TVSMOTOR,21.25,23.5,19.18,20.94,5728420,1174037,Thursday,True,-0.6099999999999994,-2.83,False,True,17.04,211.15,True
2002-09-01,TVSMOTOR,21.25,21.7,18.08,20.6,2157360,2505784,Sunday,False,-0.33999999999999986,-1.62,False,True,17.04,211.15,True
2002-10-01,TVSMOTOR,20.25,21.85,18.75,19.3,4856960,5433472,Tuesday,True,-1.3000000000000007,-6.31,False,True,17.04,211.15,True
2002-11-01,TVSMOTOR,19.25,24.0,19.03,23.87,6279760,7537834,Friday,False,4.57,23.68,True,True,17.04,211.15,True
2002-12-01,TVSMOTOR,23.95,25.7,23.25,25.11,3926560,10089198,Sunday,True,1.2399999999999984,5.19,True,True,17.04,211.15,True
2003-01-01,TVSMOTOR,24.95,27.2,24.25,25.25,3660800,839227,Wednesday,False,0.14000000000000057,0.56,True,False,28.17,112.19,True
2003-02-01,TVSMOTOR,25.5,26.25,24.87,25.52,4397020,3367109,Saturday,True,0.2699999999999996,1.07,True,False,28.17,112.19,True
2003-03-01,TVSMOTOR,25.8,25.8,20.21,20.75,6180300,8516630,Saturday,False,-4.77,-18.69,False,False,28.17,112.19,True
2003-04-01,TVSMOTOR,20.25,21.25,19.0,20.88,4007340,3029798,Tuesday,True,0.129999999999999,0.63,True,False,28.17,112.19,True
2003-05-01,TVSMOTOR,20.35,27.75,20.35,26.68,4173240,9154117,Thursday,False,5.800000000000001,27.78,True,False,28.17,112.19,True
2003-06-01,TVSMOTOR,27.0,30.6,24.9,30.02,6776520,51324448,Sunday,True,3.34,12.52,True,False,28.17,112.19,True
2003-07-01,TVSMOTOR,30.0,30.75,26.5,29.95,5439580,18194904,Tuesday,False,-0.07000000000000028,-0.23,False,False,28.17,112.19,True
2003-08-01,TVSMOTOR,29.5,37.0,29.09,36.74,9358240,15841896,Friday,True,6.790000000000003,22.67,True,False,28.17,112.19,True
2003-09-01,TVSMOTOR,35.5,43.5,32.6,41.53,9228860,2490969,Monday,False,4.789999999999999,13.04,True,False,28.17,112.19,True
2003-10-01,TVSMOTOR,42.5,47.0,41.25,43.41,6314020,34960400,Wednesday,True,1.8799999999999955,4.53,True,False,28.17,112.19,True
2003-11-01,TVSMOTOR,44.0,49.75,35.07,48.82,5426040,2706581,Saturday,False,5.410000000000004,12.46,True,False,28.17,112.19,True
2003-12-01,TVSMOTOR,50.0,62.35,45.05,53.28,14201768,31156180,Monday,True,4.460000000000001,9.14,True,False,28.17,112.19,True
2004-01-01,TVSMOTOR,53.75,62.0,49.55,52.38,23194254,14964271,Thursday,False,-0.8999999999999986,-1.69,False,True,-12.43,-23.33,False
2004-02-01,TVSMOTOR,52.85,59.7,49.5,50.08,9744662,8881302,Sunday,True,-2.3000000000000043,-4.39,False,True,-12.43,-23.33,False
2004-03-01,TVSMOTOR,50.68,53.0,40.63,43.0,5663682,3721478,Monday,False,-7.079999999999998,-14.14,False,True,-12.43,-23.33,False
2004-04-01,TVSMOTOR,43.8,49.55,42.5,43.75,4184358,3982300,Thursday,True,0.75,1.74,True,True,-12.43,-23.33,False
2004-05-01,TVSMOTOR,44.0,46.75,30.0,33.0,4909058,6543636,Saturday,False,-10.75,-24.57,False,True,-12.43,-23.33,False
2004-06-01,TVSMOTOR,34.5,36.73,26.58,33.93,3029630,9550905,Tuesday,True,0.9299999999999997,2.82,True,True,-12.43,-23.33,False
2004-07-01,TVSMOTOR,34.48,34.63,29.9,32.03,3688874,4926086,Thursday,False,-1.8999999999999986,-5.6,False,True,-12.43,-23.33,False
2004-08-01,TVSMOTOR,32.25,39.7,32.25,37.65,11988136,21328876,Sunday,True,5.619999999999997,17.55,True,True,-12.43,-23.33,False
2004-09-01,TVSMOTOR,38.0,43.88,33.73,41.65,14479412,66247908,Wednesday,False,4.0,10.62,True,True,-12.43,-23.33,False
2004-10-01,TVSMOTOR,42.8,43.75,32.75,37.83,5217970,3214066,Friday,True,-3.8200000000000003,-9.17,False,True,-12.43,-23.33,False
2004-11-01,TVSMOTOR,39.48,47.25,37.53,45.58,13852480,54014944,Monday,False,7.75,20.49,True,True,-12.43,-23.33,False
2004-12-01,TVSMOTOR,45.55,46.8,39.85,40.85,15630286,23979930,Wednesday,True,-4.729999999999997,-10.38,False,True,-12.43,-23.33,False
2005-01-01,TVSMOTOR,41.45,43.98,37.0,38.13,11537866,34860508,Saturday,False,-2.719999999999999,-6.66,False,False,9.229999999999997,22.59,True
2005-02-01,TVSMOTOR,38.5,39.0,35.5,36.28,11623004,8167172,Tuesday,True,-1.8500000000000014,-4.85,False,False,9.229999999999997,22.59,True
2005-03-01,TVSMOTOR,36.75,39.75,32.5,33.98,13725888,17432368,Tuesday,False,-2.3000000000000043,-6.34,False,False,9.229999999999997,22.59,True
2005-04-01,TVSMOTOR,34.45,36.85,32.8,34.15,4760986,3315487,Friday,True,0.1700000000000017,0.5,True,False,9.229999999999997,22.59,True
2005-05-01,TVSMOTOR,34.1,38.55,33.85,37.03,5166688,44786848,Sunday,False,2.8800000000000026,8.43,True,False,9.229999999999997,22.59,True
2005-06-01,TVSMOTOR,37.25,40.38,33.13,35.78,24118298,43227292,Wednesday,True,-1.25,-3.38,False,False,9.229999999999997,22.59,True
2005-07-01,TVSMOTOR,36.23,43.9,36.13,38.63,24442314,141659584,Friday,False,2.8500000000000014,7.97,True,False,9.229999999999997,22.59,True
2005-08-01,TVSMOTOR,38.0,42.48,37.5,38.63,13546718,10488542,Monday,True,0.0,0.0,False,False,9.229999999999997,22.59,True
2005-09-01,TVSMOTOR,39.25,48.43,38.23,46.48,72417288,67778392,Thursday,False,7.849999999999994,20.32,True,False,9.229999999999997,22.59,True
2005-10-01,TVSMOTOR,46.9,52.95,38.75,42.8,43489706,113075032,Saturday,True,-3.6799999999999997,-7.92,False,False,9.229999999999997,22.59,True
2005-11-01,TVSMOTOR,43.3,52.33,42.03,49.05,33735092,43975680,Tuesday,False,6.25,14.6,True,False,9.229999999999997,22.59,True
2005-12-01,TVSMOTOR,48.58,53.0,48.0,50.08,19889438,40396904,Thursday,True,1.0300000000000011,2.1,True,False,9.229999999999997,22.59,True
2006-01-01,TVSMOTOR,50.5,59.95,49.25,58.4,19103662,84527112,Sunday,False,8.32,16.61,True,True,-6.449999999999996,-12.88,False
2006-02-01,TVSMOTOR,59.35,63.3,55.85,59.95,19869614,35962688,Wednesday,True,1.5500000000000043,2.65,True,True,-6.449999999999996,-12.88,False
2006-03-01,TVSMOTOR,59.9,72.18,59.3,70.23,17748144,50836720,Wednesday,False,10.280000000000001,17.15,True,True,-6.449999999999996,-12.88,False
2006-04-01,TVSMOTOR,74.5,93.25,64.5,80.38,57569560,80784432,Saturday,True,10.149999999999991,14.45,True,True,-6.449999999999996,-12.88,False
2006-05-01,TVSMOTOR,83.5,86.4,45.35,61.93,33951250,93642736,Monday,False,-18.449999999999996,-22.95,False,True,-6.449999999999996,-12.88,False
