Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2000-01-01,TVSMOTOR,11.0,11.4,6.9,7.28,33258840,17718904,Saturday,True,,,False
2001-01-01,TVSMOTOR,7.4,11.25,3.06,8.07,209589960,373848,Monday,False,0.79,10.85,True
2002-01-01,TVSMOTOR,8.05,28.0,8.05,25.11,91030660,10089198,Tuesday,True,17.04,211.15,True
2003-01-01,TVSMOTOR,24.95,62.35,19.0,53.28,79163728,31156180,Wednesday,False,28.17,112.19,True
2004-01-01,TVSMOTOR,53.75,62.0,26.58,40.85,115582802,23979930,Thursday,True,-12.43,-23.33,False
2005-01-01,TVSMOTOR,41.45,53.0,32.5,50.08,278453286,40396904,Saturday,False,9.229999999999997,22.59,True
2006-01-01,TVSMOTOR,50.5,93.25,38.95,43.63,395579744,44301624,Sunday,True,-6.449999999999996,-12.88,False
2007-01-01,TVSMOTOR,41.28,43.5,25.5,36.18,430804888,92149952,Monday,False,-7.450000000000003,-17.08,False
2008-01-01,TVSMOTOR,36.53,39.48,10.7,11.28,439772444,10880375,Tuesday,True,-24.9,-68.82,False
2009-01-01,TVSMOTOR,11.25,34.15,7.48,32.33,656939504,120710600,Thursday,False,21.049999999999997,186.61,True
2010-01-01,TVSMOTOR,32.75,87.4,29.0,70.7,801383425,168296400,Friday,True,38.370000000000005,118.68,True
2011-01-01,TVSMOTOR,72.6,73.95,43.6,52.0,528588600,39093860,Saturday,False,-18.700000000000003,-26.45,False
2012-01-01,TVSMOTOR,52.3,55.7,31.8,41.85,463081860,19737798,Sunday,True,-10.149999999999999,-19.52,False
2013-01-01,TVSMOTOR,44.85,81.4,28.1,75.95,241503161,296023552,Tuesday,False,34.1,81.48,True
2014-01-01,TVSMOTOR,76.4,272.3,64.0,268.45,639767296,765160384,Wednesday,True,192.5,253.46,True
2015-01-01,TVSMOTOR,267.9,322.25,201.0,289.8,518698676,508320768,Thursday,False,21.350000000000023,7.95,True
2016-01-01,TVSMOTOR,290.0,420.0,256.0,360.5,441185057,330708288,Friday,True,70.69999999999999,24.4,True
2017-01-01,TVSMOTOR,357.2,792.1,355.4,770.7,283607371,415563744,Sunday,False,410.20000000000005,113.79,True
2018-01-01,TVSMOTOR,773.85,794.45,478.7,571.25,338006461,605004608,Monday,True,-199.45000000000005,-25.88,False
2019-01-01,TVSMOTOR,570.0,575.65,338.25,468.45,436472781,994846336,Tuesday,False,-102.80000000000001,-18.0,False
2020-01-01,TVSMOTOR,469.9,519.5,240.1,485.0,716712780,1290652928,Wednesday,True,16.55000000000001,3.53,True
2021-01-01,TVSMOTOR,486.0,813.95,481.8,627.0,685398974,456719328,Friday,False,142.0,29.28,True
2022-01-01,TVSMOTOR,625.0,1176.9,513.0,1085.4,1475511802,0,Saturday,True,458.4000000000001,73.11,True
2023-01-01,TVSMOTOR,1085.0,1184.4,967.55,1138.35,107582002,0,Sunday,False,52.94999999999982,4.88,True
