Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2008-07-31,UBL,162.1,169.5,147.1,153.8,17729,224240,Thursday,2008-07-25,,,False,False,,,False,False,,,False,True,,,False
2008-08-07,UBL,147.0,224.0,147.0,182.15,131818,1020404,Thursday,2008-08-01,1,,False,False,28.349999999999994,18.43,True,True,18.649999999999977,12.13,True,True,,,False
2008-08-14,UBL,182.1,198.0,177.0,179.8,50523,692410,Thursday,2008-08-08,2,,True,False,-2.3499999999999943,-1.29,False,True,18.649999999999977,12.13,True,True,,,False
2008-08-21,UBL,178.0,189.0,175.1,178.35,22703,464958,Thursday,2008-08-15,3,,False,False,-1.450000000000017,-0.81,False,True,18.649999999999977,12.13,True,True,,,False
2008-08-28,UBL,180.0,198.0,161.25,163.75,47471,242514,Thursday,2008-08-22,4,,True,False,-14.599999999999994,-8.19,False,True,18.649999999999977,12.13,True,True,,,False
2008-09-04,UBL,171.0,193.45,165.25,175.0,45035,6341125,Thursday,2008-08-29,1,,False,False,11.25,6.87,True,False,-42.44999999999999,-24.62,False,True,,,False
2008-09-11,UBL,171.0,180.0,166.35,167.9,471781,50645688,Thursday,2008-09-05,2,,True,False,-7.099999999999994,-4.06,False,False,-42.44999999999999,-24.62,False,True,,,False
2008-09-18,UBL,174.45,174.45,135.0,137.1,386485,849472,Thursday,2008-09-12,3,,False,False,-30.80000000000001,-18.34,False,False,-42.44999999999999,-24.62,False,True,,,False
2008-09-25,UBL,135.7,156.95,135.7,144.45,9552,46224,Thursday,2008-09-19,4,,True,False,7.349999999999994,5.36,True,False,-42.44999999999999,-24.62,False,True,,,False
2008-10-02,UBL,141.4,144.0,125.0,128.45,206548,25871884,Thursday,2008-09-26,1,,False,False,-16.0,-11.08,False,True,-37.650000000000006,-28.96,False,True,,,False
2008-10-09,UBL,150.0,150.0,111.0,126.1,339286,883457,Thursday,2008-10-03,2,,True,False,-2.3499999999999943,-1.83,False,True,-37.650000000000006,-28.96,False,True,,,False
2008-10-16,UBL,121.0,123.0,100.35,106.65,20225,190584,Thursday,2008-10-10,3,,False,False,-19.44999999999999,-15.42,False,True,-37.650000000000006,-28.96,False,True,,,False
2008-10-23,UBL,105.45,113.5,80.1,82.0,38873,558092,Thursday,2008-10-17,4,,True,False,-24.650000000000006,-23.11,False,True,-37.650000000000006,-28.96,False,True,,,False
2008-10-30,UBL,80.6,106.85,80.6,84.7,17817,166012,Thursday,2008-10-24,5,,False,False,2.700000000000003,3.29,True,True,-37.650000000000006,-28.96,False,True,,,False
2008-11-06,UBL,93.5,105.1,86.0,93.5,22827,359040,Thursday,2008-10-31,1,,False,False,8.799999999999997,10.39,True,False,-7.8999999999999915,-8.55,False,True,,,False
2008-11-13,UBL,103.3,109.75,77.2,93.4,12821,164010,Thursday,2008-11-07,2,,True,False,-0.09999999999999432,-0.11,False,False,-7.8999999999999915,-8.55,False,True,,,False
2008-11-20,UBL,93.6,95.95,85.0,90.0,6304,139140,Thursday,2008-11-14,3,,False,False,-3.4000000000000057,-3.64,False,False,-7.8999999999999915,-8.55,False,True,,,False
2008-11-27,UBL,88.1,95.0,84.0,87.0,24442,463362,Thursday,2008-11-21,4,,True,False,-3.0,-3.33,False,False,-7.8999999999999915,-8.55,False,True,,,False
2008-12-04,UBL,79.0,90.0,77.35,80.0,26739,661040,Thursday,2008-11-28,1,,False,False,-7.0,-8.05,False,True,-6.450000000000003,-7.64,False,True,,,False
2008-12-11,UBL,95.0,95.0,77.0,87.1,81736,6223295,Thursday,2008-12-05,2,,True,False,7.099999999999994,8.87,True,True,-6.450000000000003,-7.64,False,True,,,False
2008-12-18,UBL,85.0,85.0,79.0,81.05,58766,352649,Thursday,2008-12-12,3,,False,False,-6.049999999999997,-6.95,False,True,-6.450000000000003,-7.64,False,True,,,False
2008-12-25,UBL,81.05,86.0,67.3,78.65,29722,486450,Thursday,2008-12-19,4,,True,False,-2.3999999999999915,-2.96,False,True,-6.450000000000003,-7.64,False,True,,,False
2009-01-01,UBL,80.75,81.5,76.0,78.25,23324,500644,Thursday,2008-12-26,1,1,False,False,-0.4000000000000057,-0.51,False,False,-5.450000000000003,-6.99,False,False,90.35,115.83,True
