Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2004-08-26,ULTRACEMCO,305.0,340.0,249.2,270.7,11769043,633688704,Thursday,2004-08-20,,,False,False,,,False,True,,,False,True,,,False
2004-09-02,ULTRACEMCO,272.0,273.45,260.0,262.2,2081168,53891804,Thursday,2004-08-27,1,,False,False,-8.5,-3.14,False,False,-0.14999999999997726,-0.06,False,True,,,False
2004-09-09,ULTRACEMCO,262.2,267.85,254.8,256.0,831002,58825216,Thursday,2004-09-03,2,,True,False,-6.199999999999989,-2.36,False,False,-0.14999999999997726,-0.06,False,True,,,False
2004-09-16,ULTRACEMCO,256.9,266.95,254.35,265.6,794031,30247856,Thursday,2004-09-10,3,,False,False,9.600000000000023,3.75,True,False,-0.14999999999997726,-0.06,False,True,,,False
2004-09-23,ULTRACEMCO,267.0,283.0,266.1,269.9,1172669,19427672,Thursday,2004-09-17,4,,True,False,4.2999999999999545,1.62,True,False,-0.14999999999997726,-0.06,False,True,,,False
2004-09-30,ULTRACEMCO,269.5,273.9,262.65,266.05,354901,12122036,Thursday,2004-09-24,5,,False,False,-3.849999999999966,-1.43,False,False,-0.14999999999997726,-0.06,False,True,,,False
2004-10-07,ULTRACEMCO,266.0,354.0,263.0,316.45,3502673,671594240,Thursday,2004-10-01,1,,False,False,50.39999999999998,18.94,True,True,37.19999999999999,13.98,True,True,,,False
2004-10-14,ULTRACEMCO,318.1,331.35,286.55,289.1,1047208,25772110,Thursday,2004-10-08,2,,True,False,-27.349999999999966,-8.64,False,True,37.19999999999999,13.98,True,True,,,False
2004-10-21,ULTRACEMCO,294.8,299.8,282.6,292.25,424422,23957486,Thursday,2004-10-15,3,,False,False,3.1499999999999773,1.09,True,True,37.19999999999999,13.98,True,True,,,False
2004-10-28,ULTRACEMCO,295.5,313.9,281.55,306.6,1303863,100130960,Thursday,2004-10-22,4,,True,False,14.350000000000023,4.91,True,True,37.19999999999999,13.98,True,True,,,False
