Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1998-03-09,VEDL,7.69,7.89,7.56,7.6,2499375,8888880,Monday,,,False,False,,,False,False,,,False,True,,,False
1998-03-16,VEDL,7.58,7.58,7.2,7.46,4711875,13511925,Monday,,,False,False,-0.13999999999999968,-1.84,False,False,,,False,True,,,False
1998-03-23,VEDL,7.36,7.87,7.2,7.31,5120625,9019535,Monday,,,False,False,-0.15000000000000036,-2.01,False,False,,,False,True,,,False
1998-03-30,VEDL,7.31,7.81,7.08,7.79,12928125,21097000,Monday,,,False,False,0.4800000000000004,6.57,True,False,,,False,True,,,False
1998-04-06,VEDL,7.79,8.2,7.52,7.77,11964375,14480095,Monday,1,,False,False,-0.020000000000000462,-0.26,False,True,0.7300000000000004,10.22,True,True,,,False
1998-04-13,VEDL,7.73,7.88,7.49,7.67,3448125,4903580,Monday,2,,True,False,-0.09999999999999964,-1.29,False,True,0.7300000000000004,10.22,True,True,,,False
1998-04-20,VEDL,7.76,8.72,7.49,7.58,4914375,3551875,Monday,3,,False,False,-0.08999999999999986,-1.17,False,True,0.7300000000000004,10.22,True,True,,,False
1998-04-27,VEDL,7.52,8.27,7.2,7.87,2593125,5458425,Monday,4,,True,False,0.29000000000000004,3.83,True,True,0.7300000000000004,10.22,True,True,,,False
1998-05-04,VEDL,8.52,8.8,8.16,8.63,6071250,29013466,Monday,1,,False,False,0.7600000000000007,9.66,True,False,1.2399999999999993,15.76,True,True,,,False
1998-05-11,VEDL,8.63,8.93,7.76,8.7,7224375,5547950,Monday,2,,True,False,0.06999999999999851,0.81,True,False,1.2399999999999993,15.76,True,True,,,False
1998-05-18,VEDL,8.73,9.33,8.61,8.94,5060625,10862100,Monday,3,,False,False,0.2400000000000002,2.76,True,False,1.2399999999999993,15.76,True,True,,,False
1998-05-25,VEDL,9.01,9.34,8.99,9.11,7359375,20902860,Monday,4,,True,False,0.16999999999999993,1.9,True,False,1.2399999999999993,15.76,True,True,,,False
1998-06-01,VEDL,9.25,9.38,8.8,9.1,7970625,22652360,Monday,1,,False,False,-0.009999999999999787,-0.11,False,True,-4.819999999999999,-52.91,False,True,,,False
1998-06-08,VEDL,8.93,9.07,7.87,8.27,7625625,9662730,Monday,2,,True,False,-0.8300000000000001,-9.12,False,True,-4.819999999999999,-52.91,False,True,,,False
1998-06-15,VEDL,8.15,8.15,6.7,6.76,2308125,4524975,Monday,3,,False,False,-1.5099999999999998,-18.26,False,True,-4.819999999999999,-52.91,False,True,,,False
1998-06-22,VEDL,6.09,6.09,4.45,4.54,3296250,5047913,Monday,4,,True,False,-2.2199999999999998,-32.84,False,True,-4.819999999999999,-52.91,False,True,,,False
1998-06-29,VEDL,4.54,4.75,4.11,4.13,5735625,4691955,Monday,5,,False,False,-0.41000000000000014,-9.03,False,True,-4.819999999999999,-52.91,False,True,,,False
1998-07-06,VEDL,4.27,4.61,4.19,4.35,3403125,4373760,Monday,1,,False,False,0.21999999999999975,5.33,True,False,0.5599999999999996,13.05,True,True,,,False
1998-07-13,VEDL,4.45,4.83,4.32,4.75,8606250,10356690,Monday,2,,True,False,0.40000000000000036,9.2,True,False,0.5599999999999996,13.05,True,True,,,False
1998-07-20,VEDL,4.8,5.26,4.64,4.93,22522500,14089380,Monday,3,,False,False,0.17999999999999972,3.79,True,False,0.5599999999999996,13.05,True,True,,,False
1998-07-27,VEDL,4.93,5.01,4.32,4.85,17161875,22070534,Monday,4,,True,False,-0.08000000000000007,-1.62,False,False,0.5599999999999996,13.05,True,True,,,False
1998-08-03,VEDL,4.8,4.85,4.61,4.7,5212500,4496925,Monday,1,,False,False,-0.14999999999999947,-3.09,False,True,-0.7799999999999994,-16.08,False,True,,,False
1998-08-10,VEDL,4.67,4.71,4.23,4.34,14473125,2369468,Monday,2,,True,False,-0.3600000000000003,-7.66,False,True,-0.7799999999999994,-16.08,False,True,,,False
1998-08-17,VEDL,4.39,4.43,4.09,4.23,7477500,6780151,Monday,3,,False,False,-0.10999999999999943,-2.53,False,True,-0.7799999999999994,-16.08,False,True,,,False
1998-08-24,VEDL,4.21,4.32,4.05,4.08,8595000,2935680,Monday,4,,True,False,-0.15000000000000036,-3.55,False,True,-0.7799999999999994,-16.08,False,True,,,False
1998-08-31,VEDL,4.11,4.11,3.68,3.78,2971875,2883595,Monday,5,,False,False,-0.30000000000000027,-7.35,False,True,-0.7799999999999994,-16.08,False,True,,,False
1998-09-07,VEDL,3.84,4.21,3.75,3.78,5190000,4425000,Monday,1,,False,False,0.0,0.0,False,False,0.0,0.0,False,True,,,False
1998-09-14,VEDL,3.87,3.95,3.77,3.83,2979375,1192295,Monday,2,,True,False,0.050000000000000266,1.32,True,False,0.0,0.0,False,True,,,False
1998-09-21,VEDL,3.87,4.35,3.82,4.16,5304375,2891945,Monday,3,,False,False,0.33000000000000007,8.62,True,False,0.0,0.0,False,True,,,False
1998-09-28,VEDL,4.19,4.29,3.97,4.07,3007500,3444513,Monday,4,,True,False,-0.08999999999999986,-2.16,False,False,0.0,0.0,False,True,,,False
1998-10-05,VEDL,3.89,4.0,3.65,3.7,5910000,8476793,Monday,1,,False,False,-0.3700000000000001,-9.09,False,True,-1.0600000000000005,-26.04,False,True,,,False
1998-10-12,VEDL,3.76,3.76,3.44,3.51,3241875,1455285,Monday,2,,True,False,-0.1900000000000004,-5.14,False,True,-1.0600000000000005,-26.04,False,True,,,False
1998-10-19,VEDL,3.44,3.52,3.24,3.36,2671875,3626813,Monday,3,,False,False,-0.1499999999999999,-4.27,False,True,-1.0600000000000005,-26.04,False,True,,,False
1998-10-26,VEDL,3.39,3.6,2.99,3.01,5184375,259900,Monday,4,,True,False,-0.3500000000000001,-10.42,False,True,-1.0600000000000005,-26.04,False,True,,,False
1998-11-02,VEDL,3.04,3.05,2.76,2.99,2385000,2785040,Monday,1,,False,False,-0.019999999999999574,-0.66,False,False,-0.04999999999999982,-1.66,False,True,,,False
1998-11-09,VEDL,3.04,3.46,3.04,3.25,3016875,883775,Monday,2,,True,False,0.2599999999999998,8.7,True,False,-0.04999999999999982,-1.66,False,True,,,False
1998-11-16,VEDL,3.15,3.4,3.15,3.25,1678125,85295,Monday,3,,False,False,0.0,0.0,False,False,-0.04999999999999982,-1.66,False,True,,,False
1998-11-23,VEDL,3.23,3.25,2.96,3.01,1250625,288150,Monday,4,,True,False,-0.2400000000000002,-7.38,False,False,-0.04999999999999982,-1.66,False,True,,,False
1998-11-30,VEDL,2.99,3.14,2.84,2.93,1115625,605000,Monday,5,,False,False,-0.07999999999999963,-2.66,False,False,-0.04999999999999982,-1.66,False,True,,,False
1998-12-07,VEDL,2.94,3.33,2.93,3.12,3393750,491820,Monday,1,,False,False,0.18999999999999995,6.48,True,True,0.45999999999999996,15.54,True,True,,,False
1998-12-14,VEDL,3.12,3.16,2.93,2.96,913125,166650,Monday,2,,True,False,-0.16000000000000014,-5.13,False,True,0.45999999999999996,15.54,True,True,,,False
1998-12-21,VEDL,3.04,3.2,2.97,3.04,905625,535800,Monday,3,,False,False,0.08000000000000007,2.7,True,True,0.45999999999999996,15.54,True,True,,,False
1998-12-28,VEDL,3.03,3.69,3.03,3.69,10258125,18027006,Monday,4,,True,False,0.6499999999999999,21.38,True,True,0.45999999999999996,15.54,True,True,,,False
1999-01-04,VEDL,3.78,4.08,3.75,3.83,11767500,6569375,Monday,1,1,False,False,0.14000000000000012,3.79,True,False,0.050000000000000266,1.46,True,False,-0.5499999999999998,-16.08,False
1999-01-11,VEDL,3.89,3.97,3.28,3.29,6690000,2914600,Monday,2,2,True,True,-0.54,-14.1,False,False,0.050000000000000266,1.46,True,False,-0.5499999999999998,-16.08,False
