Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2010-01-04,WHIRLPOOL,132.0,142.8,132.0,141.1,3109,438680,Monday,,,False,False,,,False,False,,,False,True,,,False
2010-01-11,WHIRLPOOL,143.6,155.0,142.0,150.1,278600,6989857,Monday,,,False,False,9.0,6.38,True,False,,,False,True,,,False
2010-01-18,WHIRLPOOL,151.0,160.3,141.0,150.25,235577,5969433,Monday,,,False,False,0.15000000000000568,0.1,True,False,,,False,True,,,False
2010-01-25,WHIRLPOOL,135.1,151.25,126.6,132.95,145385,2147408,Monday,,,False,False,-17.30000000000001,-11.51,False,False,,,False,True,,,False
2010-02-01,WHIRLPOOL,128.7,139.8,128.7,133.85,218112,260071,Monday,1,,False,False,0.9000000000000057,0.68,True,True,8.350000000000023,6.28,True,True,,,False
2010-02-08,WHIRLPOOL,126.0,139.75,126.0,132.4,21756,643596,Monday,2,,True,False,-1.4499999999999886,-1.08,False,True,8.350000000000023,6.28,True,True,,,False
2010-02-15,WHIRLPOOL,130.5,137.25,128.55,134.3,142818,2986429,Monday,3,,False,False,1.9000000000000057,1.44,True,True,8.350000000000023,6.28,True,True,,,False
2010-02-22,WHIRLPOOL,139.8,142.8,130.3,141.3,88649,7549518,Monday,4,,True,False,7.0,5.21,True,True,8.350000000000023,6.28,True,True,,,False
2010-03-01,WHIRLPOOL,142.8,158.5,136.0,153.65,330802,6273837,Monday,1,,False,False,12.349999999999994,8.74,True,False,20.25,14.33,True,True,,,False
2010-03-08,WHIRLPOOL,159.0,173.9,154.0,166.9,643950,5714823,Monday,2,,True,False,13.25,8.62,True,False,20.25,14.33,True,True,,,False
2010-03-15,WHIRLPOOL,168.9,178.3,168.5,172.45,441785,9709452,Monday,3,,False,False,5.549999999999983,3.33,True,False,20.25,14.33,True,True,,,False
2010-03-22,WHIRLPOOL,165.8,174.95,163.0,171.35,769701,124458880,Monday,4,,True,False,-1.0999999999999943,-0.64,False,False,20.25,14.33,True,True,,,False
2010-03-29,WHIRLPOOL,172.35,173.95,160.1,165.8,464839,2938308,Monday,5,,False,False,-5.549999999999983,-3.24,False,False,20.25,14.33,True,True,,,False
2010-04-05,WHIRLPOOL,162.05,181.9,162.05,176.2,817433,49656156,Monday,1,,False,False,10.399999999999977,6.27,True,True,29.349999999999994,18.17,True,True,,,False
2010-04-12,WHIRLPOOL,179.25,182.5,168.1,169.5,298904,4920755,Monday,2,,True,False,-6.699999999999989,-3.8,False,True,29.349999999999994,18.17,True,True,,,False
2010-04-19,WHIRLPOOL,163.1,179.35,162.4,178.1,257908,15136185,Monday,3,,False,False,8.599999999999994,5.07,True,True,29.349999999999994,18.17,True,True,,,False
2010-04-26,WHIRLPOOL,175.0,193.0,174.5,190.9,990084,34362952,Monday,4,,True,False,12.800000000000011,7.19,True,True,29.349999999999994,18.17,True,True,,,False
2010-05-03,WHIRLPOOL,191.0,193.1,179.2,185.6,264167,17152782,Monday,1,,False,False,-5.300000000000011,-2.78,False,False,62.29999999999998,32.63,True,True,,,False
2010-05-10,WHIRLPOOL,185.1,209.85,185.1,200.9,543058,38385160,Monday,2,,True,False,15.300000000000011,8.24,True,False,62.29999999999998,32.63,True,True,,,False
2010-05-17,WHIRLPOOL,199.95,284.0,192.2,260.55,8828530,195419264,Monday,3,,False,False,59.650000000000006,29.69,True,False,62.29999999999998,32.63,True,True,,,False
2010-05-24,WHIRLPOOL,264.9,269.25,236.2,259.4,2110045,63199696,Monday,4,,True,False,-1.150000000000034,-0.44,False,False,62.29999999999998,32.63,True,True,,,False
2010-05-31,WHIRLPOOL,258.0,270.8,251.0,261.55,980382,23424416,Monday,5,,False,False,2.150000000000034,0.83,True,False,62.29999999999998,32.63,True,True,,,False
2010-06-07,WHIRLPOOL,255.0,256.9,227.25,240.8,688678,5372248,Monday,1,,False,False,-20.75,-7.93,False,True,10.900000000000034,4.3,True,True,,,False
2010-06-14,WHIRLPOOL,240.5,258.8,237.15,248.7,131456,3995863,Monday,2,,True,False,7.899999999999977,3.28,True,True,10.900000000000034,4.3,True,True,,,False
2010-06-21,WHIRLPOOL,250.5,266.25,247.25,264.0,220691,24158112,Monday,3,,False,False,15.300000000000011,6.15,True,True,10.900000000000034,4.3,True,True,,,False
2010-06-28,WHIRLPOOL,262.95,269.8,256.25,265.0,1013145,147837136,Monday,4,,True,False,1.0,0.38,True,True,10.900000000000034,4.3,True,True,,,False
2010-07-05,WHIRLPOOL,267.0,296.0,262.1,288.5,314496,9593779,Monday,1,,False,False,23.5,8.87,True,False,15.549999999999955,5.89,True,True,,,False
2010-07-12,WHIRLPOOL,289.9,303.0,282.25,293.45,191958,10395760,Monday,2,,True,False,4.949999999999989,1.72,True,False,15.549999999999955,5.89,True,True,,,False
2010-07-19,WHIRLPOOL,298.0,300.0,267.5,282.95,313443,14706044,Monday,3,,False,False,-10.5,-3.58,False,False,15.549999999999955,5.89,True,True,,,False
2010-07-26,WHIRLPOOL,280.55,283.95,266.05,279.65,162074,10720383,Monday,4,,True,False,-3.3000000000000114,-1.17,False,False,15.549999999999955,5.89,True,True,,,False
2010-08-02,WHIRLPOOL,284.8,286.85,268.0,277.45,71563,4137335,Monday,1,,False,False,-2.1999999999999886,-0.79,False,True,3.0500000000000114,1.09,True,True,,,False
2010-08-09,WHIRLPOOL,281.95,300.0,269.5,298.45,259574,13362801,Monday,2,,True,False,21.0,7.57,True,True,3.0500000000000114,1.09,True,True,,,False
2010-08-16,WHIRLPOOL,300.0,329.8,288.0,309.5,360312,40296592,Monday,3,,False,False,11.050000000000011,3.7,True,True,3.0500000000000114,1.09,True,True,,,False
2010-08-23,WHIRLPOOL,310.8,313.9,285.1,289.95,411162,32223594,Monday,4,,True,False,-19.55000000000001,-6.32,False,True,3.0500000000000114,1.09,True,True,,,False
2010-08-30,WHIRLPOOL,287.3,300.0,277.95,297.0,382691,3483513,Monday,5,,False,False,7.050000000000011,2.43,True,True,3.0500000000000114,1.09,True,True,,,False
2010-09-06,WHIRLPOOL,300.1,339.7,289.0,318.95,934762,235494192,Monday,1,,False,False,21.94999999999999,7.39,True,False,7.449999999999989,2.64,True,True,,,False
2010-09-13,WHIRLPOOL,322.15,327.7,292.0,310.05,1064593,125284688,Monday,2,,True,False,-8.899999999999977,-2.79,False,False,7.449999999999989,2.64,True,True,,,False
2010-09-20,WHIRLPOOL,313.0,316.0,290.55,297.9,547707,15184261,Monday,3,,False,False,-12.150000000000034,-3.92,False,False,7.449999999999989,2.64,True,True,,,False
2010-09-27,WHIRLPOOL,301.8,306.8,285.55,293.35,555915,28330570,Monday,4,,True,False,-4.5499999999999545,-1.53,False,False,7.449999999999989,2.64,True,True,,,False
2010-10-04,WHIRLPOOL,294.0,336.8,294.0,327.0,1711643,33789892,Monday,1,,False,False,33.64999999999998,11.47,True,True,11.300000000000011,3.89,True,True,,,False
2010-10-11,WHIRLPOOL,327.0,331.25,298.6,304.3,757842,5761616,Monday,2,,True,False,-22.69999999999999,-6.94,False,True,11.300000000000011,3.89,True,True,,,False
2010-10-18,WHIRLPOOL,304.0,317.75,301.0,313.8,706646,14195684,Monday,3,,False,False,9.5,3.12,True,True,11.300000000000011,3.89,True,True,,,False
2010-10-25,WHIRLPOOL,317.0,323.75,289.05,301.45,1078164,34569684,Monday,4,,True,False,-12.350000000000023,-3.94,False,True,11.300000000000011,3.89,True,True,,,False
2010-11-01,WHIRLPOOL,302.0,315.75,296.0,301.55,445104,11690490,Monday,1,,False,False,0.10000000000002274,0.03,True,False,-21.399999999999977,-7.1,False,True,,,False
2010-11-08,WHIRLPOOL,303.8,328.9,302.15,306.05,1750693,66449572,Monday,2,,True,False,4.5,1.49,True,False,-21.399999999999977,-7.1,False,True,,,False
2010-11-15,WHIRLPOOL,307.9,315.0,290.2,292.2,405932,18584798,Monday,3,,False,False,-13.850000000000023,-4.53,False,False,-21.399999999999977,-7.1,False,True,,,False
2010-11-22,WHIRLPOOL,283.0,309.9,281.05,287.65,620737,108573776,Monday,4,,True,False,-4.550000000000011,-1.56,False,False,-21.399999999999977,-7.1,False,True,,,False
2010-11-29,WHIRLPOOL,285.0,304.9,277.0,291.45,958360,21790260,Monday,5,,False,False,3.8000000000000114,1.32,True,False,-21.399999999999977,-7.1,False,True,,,False
2010-12-06,WHIRLPOOL,318.0,318.0,248.0,271.1,423112,31821176,Monday,1,,False,False,-20.349999999999966,-6.98,False,True,5.050000000000011,1.8,True,True,,,False
2010-12-13,WHIRLPOOL,273.85,275.8,255.5,272.25,347009,15641852,Monday,2,,True,False,1.1499999999999773,0.42,True,True,5.050000000000011,1.8,True,True,,,False
2010-12-20,WHIRLPOOL,264.0,273.0,262.6,268.3,230528,7791968,Monday,3,,False,False,-3.9499999999999886,-1.45,False,True,5.050000000000011,1.8,True,True,,,False
2010-12-27,WHIRLPOOL,275.0,291.8,265.0,285.1,380016,15579860,Monday,4,,True,False,16.80000000000001,6.26,True,True,5.050000000000011,1.8,True,True,,,False
2011-01-03,WHIRLPOOL,282.6,298.8,265.2,271.6,187834,6429044,Monday,1,1,False,False,-13.5,-4.74,False,False,-46.150000000000034,-16.19,False,False,-128.20000000000002,-44.97,False
2011-01-10,WHIRLPOOL,262.1,280.0,245.95,250.3,358344,30479032,Monday,2,2,True,True,-21.30000000000001,-7.84,False,False,-46.150000000000034,-16.19,False,False,-128.20000000000002,-44.97,False
2011-01-17,WHIRLPOOL,253.0,259.2,245.15,246.6,142989,3007534,Monday,3,3,False,False,-3.700000000000017,-1.48,False,False,-46.150000000000034,-16.19,False,False,-128.20000000000002,-44.97,False
2011-01-24,WHIRLPOOL,249.95,267.95,233.7,239.85,247801,22514480,Monday,4,4,True,True,-6.75,-2.74,False,False,-46.150000000000034,-16.19,False,False,-128.20000000000002,-44.97,False
2011-01-31,WHIRLPOOL,233.0,244.8,215.15,216.85,2539073,57122844,Monday,5,5,False,False,-23.0,-9.59,False,False,-46.150000000000034,-16.19,False,False,-128.20000000000002,-44.97,False
2011-02-07,WHIRLPOOL,217.0,224.5,199.05,219.85,423621,10469477,Monday,1,6,False,True,3.0,1.38,True,True,-10.849999999999994,-4.54,False,False,-128.20000000000002,-44.97,False
2011-02-14,WHIRLPOOL,221.1,241.8,217.0,232.05,618149,14134630,Monday,2,7,True,False,12.200000000000017,5.55,True,True,-10.849999999999994,-4.54,False,False,-128.20000000000002,-44.97,False
2011-02-21,WHIRLPOOL,229.45,232.15,211.25,220.6,324875,4598407,Monday,3,8,False,True,-11.450000000000017,-4.93,False,True,-10.849999999999994,-4.54,False,False,-128.20000000000002,-44.97,False
2011-02-28,WHIRLPOOL,221.0,239.8,217.1,226.35,160490,3229562,Monday,4,9,True,False,5.75,2.61,True,True,-10.849999999999994,-4.54,False,False,-128.20000000000002,-44.97,False
2011-03-07,WHIRLPOOL,224.8,241.4,221.3,233.05,245550,29960210,Monday,1,10,False,True,6.700000000000017,2.96,True,False,37.50000000000003,16.44,True,False,-128.20000000000002,-44.97,False
2011-03-14,WHIRLPOOL,231.05,265.8,225.0,245.25,2116346,36086332,Monday,2,11,True,False,12.199999999999989,5.23,True,False,37.50000000000003,16.44,True,False,-128.20000000000002,-44.97,False
2011-03-21,WHIRLPOOL,247.8,268.6,241.2,264.35,1073425,40442380,Monday,3,12,False,True,19.100000000000023,7.79,True,False,37.50000000000003,16.44,True,False,-128.20000000000002,-44.97,False
2011-03-28,WHIRLPOOL,264.4,274.0,249.0,266.85,409225,23716562,Monday,4,13,True,False,2.5,0.95,True,False,37.50000000000003,16.44,True,False,-128.20000000000002,-44.97,False
2011-04-04,WHIRLPOOL,269.3,293.9,264.3,289.15,824009,76013200,Monday,1,14,False,True,22.299999999999955,8.36,True,True,15.0,5.65,True,False,-128.20000000000002,-44.97,False
2011-04-11,WHIRLPOOL,289.0,295.8,283.9,289.15,464057,27067620,Monday,2,15,True,False,0.0,0.0,False,True,15.0,5.65,True,False,-128.20000000000002,-44.97,False
2011-04-18,WHIRLPOOL,289.75,294.8,284.7,289.35,279797,8476219,Monday,3,16,False,True,0.20000000000004547,0.07,True,True,15.0,5.65,True,False,-128.20000000000002,-44.97,False
2011-04-25,WHIRLPOOL,289.9,294.9,264.0,280.6,856720,20512142,Monday,4,17,True,False,-8.75,-3.02,False,True,15.0,5.65,True,False,-128.20000000000002,-44.97,False
2011-05-02,WHIRLPOOL,283.3,283.3,264.05,275.75,356314,12209934,Monday,1,18,False,True,-4.850000000000023,-1.73,False,False,-40.95000000000002,-14.59,False,False,-128.20000000000002,-44.97,False
2011-05-09,WHIRLPOOL,277.8,277.8,240.5,249.65,567101,9520902,Monday,2,19,True,False,-26.099999999999994,-9.47,False,False,-40.95000000000002,-14.59,False,False,-128.20000000000002,-44.97,False
2011-05-16,WHIRLPOOL,248.35,254.0,235.5,238.8,122194,7884460,Monday,3,20,False,True,-10.849999999999994,-4.35,False,False,-40.95000000000002,-14.59,False,False,-128.20000000000002,-44.97,False
2011-05-23,WHIRLPOOL,237.3,242.6,227.1,236.7,111815,4481205,Monday,4,21,True,False,-2.1000000000000227,-0.88,False,False,-40.95000000000002,-14.59,False,False,-128.20000000000002,-44.97,False
2011-05-30,WHIRLPOOL,240.0,240.0,228.6,230.95,223895,5857123,Monday,5,22,False,True,-5.75,-2.43,False,False,-40.95000000000002,-14.59,False,False,-128.20000000000002,-44.97,False
2011-06-06,WHIRLPOOL,231.1,256.0,226.05,249.8,707497,49769652,Monday,1,23,False,False,18.850000000000023,8.16,True,True,16.900000000000006,7.05,True,False,-128.20000000000002,-44.97,False
2011-06-13,WHIRLPOOL,252.7,259.9,247.4,251.75,709800,13422303,Monday,2,24,True,True,1.9499999999999886,0.78,True,True,16.900000000000006,7.05,True,False,-128.20000000000002,-44.97,False
2011-06-20,WHIRLPOOL,251.75,254.95,240.2,248.5,171274,11440443,Monday,3,25,False,False,-3.25,-1.29,False,True,16.900000000000006,7.05,True,False,-128.20000000000002,-44.97,False
2011-06-27,WHIRLPOOL,245.25,268.95,240.5,262.25,351254,24659892,Monday,4,26,True,True,13.75,5.53,True,True,16.900000000000006,7.05,True,False,-128.20000000000002,-44.97,False
2011-07-04,WHIRLPOOL,264.65,271.9,252.0,262.65,328970,18803638,Monday,1,27,False,False,0.39999999999997726,0.15,True,False,-34.900000000000006,-13.6,False,False,-128.20000000000002,-44.97,False
2011-07-11,WHIRLPOOL,260.0,268.5,248.0,249.05,161973,13406113,Monday,2,28,True,True,-13.599999999999966,-5.18,False,False,-34.900000000000006,-13.6,False,False,-128.20000000000002,-44.97,False
2011-07-18,WHIRLPOOL,249.35,254.6,226.0,228.7,257825,20787228,Monday,3,29,False,False,-20.350000000000023,-8.17,False,False,-34.900000000000006,-13.6,False,False,-128.20000000000002,-44.97,False
2011-07-25,WHIRLPOOL,224.3,235.0,221.0,221.65,164686,4714496,Monday,4,30,True,True,-7.049999999999983,-3.08,False,False,-34.900000000000006,-13.6,False,False,-128.20000000000002,-44.97,False
2011-08-01,WHIRLPOOL,221.0,227.25,202.25,214.6,798471,7306916,Monday,1,31,False,False,-7.050000000000011,-3.18,False,True,-2.9000000000000057,-1.31,False,False,-128.20000000000002,-44.97,False
2011-08-08,WHIRLPOOL,208.0,221.5,200.0,215.1,708089,23888792,Monday,2,32,True,True,0.5,0.23,True,True,-2.9000000000000057,-1.31,False,False,-128.20000000000002,-44.97,False
2011-08-15,WHIRLPOOL,217.3,219.7,191.05,198.2,1005854,122006960,Monday,3,33,False,False,-16.900000000000006,-7.86,False,True,-2.9000000000000057,-1.31,False,False,-128.20000000000002,-44.97,False
2011-08-22,WHIRLPOOL,200.45,217.95,194.5,204.5,235938,7656071,Monday,4,34,True,True,6.300000000000011,3.18,True,True,-2.9000000000000057,-1.31,False,False,-128.20000000000002,-44.97,False
2011-08-29,WHIRLPOOL,208.0,221.8,207.0,215.55,77414,7382157,Monday,5,35,False,False,11.050000000000011,5.4,True,True,-2.9000000000000057,-1.31,False,False,-128.20000000000002,-44.97,False
2011-09-05,WHIRLPOOL,216.0,241.75,209.4,224.35,382472,7469734,Monday,1,36,False,True,8.799999999999983,4.08,True,False,0.6999999999999886,0.32,True,False,-128.20000000000002,-44.97,False
2011-09-12,WHIRLPOOL,223.0,233.8,215.0,220.45,264820,14557636,Monday,2,37,True,False,-3.9000000000000057,-1.74,False,False,0.6999999999999886,0.32,True,False,-128.20000000000002,-44.97,False
2011-09-19,WHIRLPOOL,223.75,230.0,209.15,219.9,127739,3594705,Monday,3,38,False,True,-0.549999999999983,-0.25,False,False,0.6999999999999886,0.32,True,False,-128.20000000000002,-44.97,False
2011-09-26,WHIRLPOOL,218.0,227.0,208.1,219.45,126526,11158813,Monday,4,39,True,False,-0.45000000000001705,-0.2,False,False,0.6999999999999886,0.32,True,False,-128.20000000000002,-44.97,False
2011-10-03,WHIRLPOOL,220.05,222.0,211.15,213.2,119353,8282181,Monday,1,40,False,True,-6.25,-2.85,False,True,-2.3499999999999943,-1.07,False,False,-128.20000000000002,-44.97,False
2011-10-10,WHIRLPOOL,213.2,225.0,210.7,217.95,189085,1808113,Monday,2,41,True,False,4.75,2.23,True,True,-2.3499999999999943,-1.07,False,False,-128.20000000000002,-44.97,False
2011-10-17,WHIRLPOOL,218.0,224.0,211.75,217.7,63934,1364326,Monday,3,42,False,True,-0.25,-0.11,False,True,-2.3499999999999943,-1.07,False,False,-128.20000000000002,-44.97,False
2011-10-24,WHIRLPOOL,224.0,224.9,211.8,221.1,250382,4866632,Monday,4,43,True,False,3.4000000000000057,1.56,True,True,-2.3499999999999943,-1.07,False,False,-128.20000000000002,-44.97,False
2011-10-31,WHIRLPOOL,206.2,219.8,196.0,200.85,339156,18595698,Monday,5,44,False,True,-20.25,-9.16,False,True,-2.3499999999999943,-1.07,False,False,-128.20000000000002,-44.97,False
2011-11-07,WHIRLPOOL,191.0,202.3,191.0,192.9,303607,22865980,Monday,1,45,False,False,-7.949999999999989,-3.96,False,False,-31.150000000000006,-14.35,False,False,-128.20000000000002,-44.97,False
2011-11-14,WHIRLPOOL,197.5,197.5,179.5,186.55,381849,4450710,Monday,2,46,True,True,-6.349999999999994,-3.29,False,False,-31.150000000000006,-14.35,False,False,-128.20000000000002,-44.97,False
2011-11-21,WHIRLPOOL,181.2,193.6,180.0,185.5,43597,740516,Monday,3,47,False,False,-1.0500000000000114,-0.56,False,False,-31.150000000000006,-14.35,False,False,-128.20000000000002,-44.97,False
2011-11-28,WHIRLPOOL,190.95,190.95,178.25,183.1,130582,1109952,Monday,4,48,True,True,-2.4000000000000057,-1.29,False,False,-31.150000000000006,-14.35,False,False,-128.20000000000002,-44.97,False
