Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-02-01,ZEEL,7.83,8.17,7.0,7.07,357000,233200,Wednesday,True,,,False,False,,,False
1995-03-01,ZEEL,7.33,8.0,6.93,6.97,12798000,83700,Wednesday,False,-0.10000000000000053,-1.41,False,False,,,False
1995-04-01,ZEEL,7.17,7.6,6.83,7.2,1350000,777600,Saturday,True,0.23000000000000043,3.3,True,False,,,False
1995-05-01,ZEEL,6.83,7.5,6.67,6.92,6540000,249060,Monday,False,-0.28000000000000025,-3.89,False,False,,,False
1995-06-01,ZEEL,7.1,7.9,7.1,7.68,10359000,1036350,Thursday,True,0.7599999999999998,10.98,True,False,,,False
1995-07-01,ZEEL,7.53,7.53,6.67,6.87,1305000,494400,Saturday,False,-0.8099999999999996,-10.55,False,False,,,False
1995-08-01,ZEEL,6.87,6.87,6.2,6.2,534000,93000,Tuesday,True,-0.6699999999999999,-9.75,False,False,,,False
1995-09-01,ZEEL,6.1,6.67,5.42,6.13,4290000,202400,Friday,False,-0.07000000000000028,-1.13,False,False,,,False
1995-10-01,ZEEL,6.0,6.03,5.47,5.6,327000,201600,Sunday,True,-0.5300000000000002,-8.65,False,False,,,False
1995-11-01,ZEEL,5.6,5.6,3.9,4.33,1812000,156000,Wednesday,False,-1.2699999999999996,-22.68,False,False,,,False
1995-12-01,ZEEL,4.33,4.73,4.0,4.25,609000,51000,Friday,True,-0.08000000000000007,-1.85,False,False,,,False
1996-01-01,ZEEL,4.25,4.25,3.17,3.57,1182000,407170,Monday,False,-0.6800000000000002,-16.0,False,True,-1.31,-30.82,False
1996-02-01,ZEEL,3.57,5.33,3.63,4.6,1809000,193200,Thursday,True,1.0299999999999998,28.85,True,True,-1.31,-30.82,False
1996-03-01,ZEEL,4.6,4.68,3.97,4.32,726000,51900,Friday,False,-0.27999999999999936,-6.09,False,True,-1.31,-30.82,False
1996-04-01,ZEEL,4.32,5.13,3.93,4.36,1812000,287870,Monday,True,0.040000000000000036,0.93,True,True,-1.31,-30.82,False
1996-05-01,ZEEL,4.36,5.4,4.22,4.58,4332000,522500,Wednesday,False,0.21999999999999975,5.05,True,True,-1.31,-30.82,False
1996-06-01,ZEEL,4.58,5.37,4.5,4.92,3702000,280250,Saturday,True,0.33999999999999986,7.42,True,True,-1.31,-30.82,False
1996-07-01,ZEEL,4.89,4.93,3.65,3.82,1020000,252230,Monday,False,-1.1,-22.36,False,True,-1.31,-30.82,False
1996-08-01,ZEEL,3.9,4.0,3.33,3.9,10023000,2233745,Thursday,True,0.08000000000000007,2.09,True,True,-1.31,-30.82,False
1996-09-01,ZEEL,3.89,4.65,3.89,4.57,101064000,29744960,Sunday,False,0.6700000000000004,17.18,True,True,-1.31,-30.82,False
1996-10-01,ZEEL,4.57,4.88,4.06,4.2,29757000,1459860,Tuesday,True,-0.3700000000000001,-8.1,False,True,-1.31,-30.82,False
1996-11-01,ZEEL,4.29,4.29,2.93,2.94,3705000,423840,Friday,False,-1.2600000000000002,-30.0,False,True,-1.31,-30.82,False
1996-12-01,ZEEL,2.98,3.07,2.33,2.94,3729000,626575,Sunday,True,0.0,0.0,False,True,-1.31,-30.82,False
1997-01-01,ZEEL,3.1,3.49,2.8,2.81,4656000,185460,Wednesday,False,-0.1299999999999999,-4.42,False,False,0.18999999999999995,6.46,True
1997-02-01,ZEEL,2.83,2.97,2.64,2.97,1068000,133875,Saturday,True,0.16000000000000014,5.69,True,False,0.18999999999999995,6.46,True
1997-03-01,ZEEL,3.17,3.9,2.98,2.98,2658000,71520,Saturday,False,0.009999999999999787,0.34,True,False,0.18999999999999995,6.46,True
1997-04-01,ZEEL,3.24,3.24,2.87,3.11,2280000,242320,Tuesday,True,0.1299999999999999,4.36,True,False,0.18999999999999995,6.46,True
1997-05-01,ZEEL,3.13,4.83,3.1,4.11,31755000,8196125,Thursday,False,1.0000000000000004,32.15,True,False,0.18999999999999995,6.46,True
1997-06-01,ZEEL,4.14,4.47,3.88,3.89,29907000,967780,Sunday,True,-0.2200000000000002,-5.35,False,False,0.18999999999999995,6.46,True
1997-07-01,ZEEL,4.14,4.93,3.8,4.46,5457000,455090,Tuesday,False,0.5699999999999998,14.65,True,False,0.18999999999999995,6.46,True
1997-08-01,ZEEL,4.43,4.93,3.93,3.98,4422000,835100,Friday,True,-0.48,-10.76,False,False,0.18999999999999995,6.46,True
1997-09-01,ZEEL,3.93,4.26,3.57,3.66,8511000,3060630,Monday,False,-0.31999999999999984,-8.04,False,False,0.18999999999999995,6.46,True
1997-10-01,ZEEL,3.57,4.55,3.51,4.05,6411000,279680,Wednesday,True,0.3899999999999997,10.66,True,False,0.18999999999999995,6.46,True
1997-11-01,ZEEL,4.05,4.3,3.2,3.66,6810000,637420,Saturday,False,-0.3899999999999997,-9.63,False,False,0.18999999999999995,6.46,True
1997-12-01,ZEEL,3.6,3.7,2.92,3.13,8985000,1444520,Monday,True,-0.5300000000000002,-14.48,False,False,0.18999999999999995,6.46,True
1998-01-01,ZEEL,3.15,4.33,3.12,3.9,17397000,187200,Thursday,False,0.77,24.6,True,True,18.17,580.51,True
1998-02-01,ZEEL,3.9,6.26,3.63,6.03,10203000,10655010,Sunday,True,2.1300000000000003,54.62,True,True,18.17,580.51,True
1998-03-01,ZEEL,6.0,8.41,5.23,8.41,21345000,201880,Sunday,False,2.38,39.47,True,True,18.17,580.51,True
1998-04-01,ZEEL,9.23,16.41,8.4,14.33,80784000,207598704,Wednesday,True,5.92,70.39,True,True,18.17,580.51,True
1998-05-01,ZEEL,14.66,19.6,12.22,17.89,340467000,890219328,Friday,False,3.5600000000000005,24.84,True,True,18.17,580.51,True
1998-06-01,ZEEL,18.0,19.0,8.82,11.86,609627000,2491650,Monday,True,-6.030000000000001,-33.71,False,True,18.17,580.51,True
1998-07-01,ZEEL,13.05,20.3,13.05,20.01,389058000,809924736,Wednesday,False,8.150000000000002,68.72,True,True,18.17,580.51,True
1998-08-01,ZEEL,19.72,20.65,16.9,18.33,715500000,779428288,Saturday,True,-1.6800000000000033,-8.4,False,True,18.17,580.51,True
1998-09-01,ZEEL,18.24,24.9,17.2,21.41,1301283000,2449276416,Tuesday,False,3.080000000000002,16.8,True,True,18.17,580.51,True
1998-10-01,ZEEL,21.18,23.3,18.67,22.43,1134621000,110826632,Thursday,True,1.0199999999999996,4.76,True,True,18.17,580.51,True
1998-11-01,ZEEL,22.56,23.33,18.94,19.8,640488000,1119808768,Sunday,False,-2.629999999999999,-11.73,False,True,18.17,580.51,True
1998-12-01,ZEEL,19.72,22.33,17.55,21.3,1585673992,1420944256,Tuesday,True,1.5,7.58,True,True,18.17,580.51,True
1999-01-01,ZEEL,21.54,24.09,18.48,20.45,1142247000,505646688,Friday,False,-0.8500000000000014,-3.99,False,False,342.88,1609.77,True
1999-02-01,ZEEL,20.11,24.16,18.09,24.16,685482000,2116848768,Monday,True,3.710000000000001,18.14,True,False,342.88,1609.77,True
1999-03-01,ZEEL,24.83,35.14,24.58,32.4,580818000,53946000,Monday,False,8.239999999999998,34.11,True,False,342.88,1609.77,True
1999-04-01,ZEEL,33.3,40.94,27.03,40.94,280451970,1002692608,Thursday,True,8.54,26.36,True,False,342.88,1609.77,True
1999-05-01,ZEEL,40.97,60.67,40.83,50.17,343445342,548733504,Saturday,False,9.230000000000004,22.55,True,False,342.88,1609.77,True
1999-06-01,ZEEL,49.33,53.17,43.38,48.67,180378480,340152256,Tuesday,True,-1.5,-2.99,False,False,342.88,1609.77,True
1999-07-01,ZEEL,48.83,74.15,47.67,71.74,260392260,1578750464,Thursday,False,23.069999999999993,47.4,True,False,342.88,1609.77,True
1999-08-01,ZEEL,71.7,113.67,71.17,106.29,223227390,1040530560,Sunday,True,34.55000000000001,48.16,True,False,342.88,1609.77,True
1999-09-01,ZEEL,109.63,173.17,98.17,149.96,288782130,2149613568,Wednesday,False,43.67,41.09,True,False,342.88,1609.77,True
1999-10-01,ZEEL,148.67,194.33,140.83,148.57,317479260,2534849792,Friday,True,-1.3900000000000148,-0.93,False,False,342.88,1609.77,True
1999-11-01,ZEEL,149.0,224.69,125.75,224.39,343916190,4145356800,Monday,False,75.82,51.03,True,False,342.88,1609.77,True
1999-12-01,ZEEL,242.33,365.33,204.23,364.18,461185110,4557637120,Wednesday,True,139.79000000000002,62.3,True,False,342.88,1609.77,True
2000-01-01,ZEEL,351.68,394.39,266.68,363.08,259908241,4989670912,Saturday,False,-1.1000000000000227,-0.3,False,True,-281.03,-77.17,False
2000-02-01,ZEEL,365.15,492.35,363.08,392.31,293841611,6332280320,Tuesday,True,29.230000000000018,8.05,True,True,-281.03,-77.17,False
2000-03-01,ZEEL,395.11,489.06,286.92,309.24,278987953,6302752256,Wednesday,False,-83.07,-21.17,False,True,-281.03,-77.17,False
2000-04-01,ZEEL,314.27,329.05,182.54,215.44,163577449,4762564608,Saturday,True,-93.80000000000001,-30.33,False,True,-281.03,-77.17,False
2000-05-01,ZEEL,219.28,222.95,113.06,156.19,497111326,3295888128,Monday,False,-59.25,-27.5,False,True,-281.03,-77.17,False
2000-06-01,ZEEL,154.0,199.63,125.41,129.67,613044188,5112090112,Thursday,True,-26.52000000000001,-16.98,False,True,-281.03,-77.17,False
2000-07-01,ZEEL,136.18,160.42,118.55,129.64,763468592,3667908864,Saturday,False,-0.030000000000001137,-0.02,False,True,-281.03,-77.17,False
2000-08-01,ZEEL,131.09,158.0,108.2,156.52,944263562,6088844800,Tuesday,True,26.880000000000024,20.73,True,True,-281.03,-77.17,False
2000-09-01,ZEEL,157.16,170.42,117.06,134.15,793834802,6278007296,Friday,False,-22.370000000000005,-14.29,False,True,-281.03,-77.17,False
2000-10-01,ZEEL,133.22,136.62,82.32,85.91,774293108,2386819328,Sunday,True,-48.24000000000001,-35.96,False,True,-281.03,-77.17,False
2000-11-01,ZEEL,88.2,100.74,77.91,84.37,862885830,1955379584,Wednesday,False,-1.539999999999992,-1.79,False,True,-281.03,-77.17,False
2000-12-01,ZEEL,83.36,99.49,76.05,83.15,854574830,3660256768,Friday,True,-1.2199999999999989,-1.45,False,True,-281.03,-77.17,False
2001-01-01,ZEEL,82.61,88.08,63.18,78.9,1106918300,2299510528,Monday,False,-4.25,-5.11,False,False,-49.75000000000001,-59.83,False
2001-02-01,ZEEL,78.51,78.63,45.04,50.79,1059892766,3491909120,Thursday,True,-28.110000000000007,-35.63,False,False,-49.75000000000001,-59.83,False
2001-03-01,ZEEL,51.61,53.26,29.33,36.19,688076611,685219264,Thursday,False,-14.600000000000001,-28.75,False,False,-49.75000000000001,-59.83,False
2001-04-01,ZEEL,35.41,43.25,21.27,29.48,307581365,536702368,Sunday,True,-6.709999999999997,-18.54,False,False,-49.75000000000001,-59.83,False
2001-05-01,ZEEL,31.34,44.82,26.34,39.79,492847461,1256175360,Tuesday,False,10.309999999999999,34.97,True,False,-49.75000000000001,-59.83,False
2001-06-01,ZEEL,40.11,40.97,29.5,34.97,372901862,609289664,Friday,True,-4.82,-12.11,False,False,-49.75000000000001,-59.83,False
2001-07-01,ZEEL,38.91,38.91,20.43,25.37,289455790,716787456,Sunday,False,-9.599999999999998,-27.45,False,False,-49.75000000000001,-59.83,False
2001-08-01,ZEEL,25.62,36.66,23.97,34.96,723305074,1377251712,Wednesday,True,9.59,37.8,True,False,-49.75000000000001,-59.83,False
2001-09-01,ZEEL,35.03,41.86,23.32,25.96,507646167,607212608,Saturday,False,-9.0,-25.74,False,False,-49.75000000000001,-59.83,False
2001-10-01,ZEEL,25.74,29.63,20.85,28.13,403881088,500177024,Monday,True,2.169999999999998,8.36,True,False,-49.75000000000001,-59.83,False
2001-11-01,ZEEL,28.58,43.37,28.58,38.5,487149774,1615264256,Thursday,False,10.370000000000001,36.86,True,False,-49.75000000000001,-59.83,False
2001-12-01,ZEEL,38.61,46.36,28.48,33.4,699355126,854253376,Saturday,True,-5.100000000000001,-13.25,False,False,-49.75000000000001,-59.83,False
2002-01-01,ZEEL,34.37,41.42,31.28,36.86,571789117,233852000,Tuesday,False,3.460000000000001,10.36,True,True,-4.199999999999999,-12.57,False
2002-02-01,ZEEL,37.41,49.35,36.83,42.77,535761339,1389647744,Friday,True,5.910000000000004,16.03,True,True,-4.199999999999999,-12.57,False
2002-03-01,ZEEL,42.5,54.62,41.33,50.13,590310130,1399413632,Friday,False,7.359999999999999,17.21,True,True,-4.199999999999999,-12.57,False
2002-04-01,ZEEL,50.88,56.69,47.5,50.03,347354657,1056073856,Monday,True,-0.10000000000000142,-0.2,False,True,-4.199999999999999,-12.57,False
2002-05-01,ZEEL,50.31,52.05,34.0,39.76,408423302,656087296,Wednesday,False,-10.270000000000003,-20.53,False,True,-4.199999999999999,-12.57,False
2002-06-01,ZEEL,40.14,48.49,36.32,37.98,239895995,279149024,Saturday,True,-1.7800000000000011,-4.48,False,True,-4.199999999999999,-12.57,False
2002-07-01,ZEEL,38.07,40.02,28.82,31.19,268487641,390532928,Monday,False,-6.789999999999996,-17.88,False,True,-4.199999999999999,-12.57,False
2002-08-01,ZEEL,31.43,33.43,28.99,33.06,228270949,579113856,Thursday,True,1.870000000000001,6.0,True,True,-4.199999999999999,-12.57,False
2002-09-01,ZEEL,33.54,34.4,24.99,26.64,275801534,230213984,Sunday,False,-6.420000000000002,-19.42,False,True,-4.199999999999999,-12.57,False
2002-10-01,ZEEL,26.34,27.82,23.08,24.5,432569463,305630272,Tuesday,True,-2.1400000000000006,-8.03,False,True,-4.199999999999999,-12.57,False
2002-11-01,ZEEL,25.08,30.05,24.8,29.27,304796044,662531840,Friday,False,4.77,19.47,True,True,-4.199999999999999,-12.57,False
2002-12-01,ZEEL,29.39,32.62,27.1,29.2,482655978,314149248,Sunday,True,-0.07000000000000028,-0.24,False,True,-4.199999999999999,-12.57,False
2003-01-01,ZEEL,29.51,31.2,23.38,24.93,316131915,343392672,Wednesday,False,-4.27,-14.62,False,False,15.7,53.77,True
2003-02-01,ZEEL,25.07,27.06,24.0,25.22,114978122,134420544,Saturday,True,0.28999999999999915,1.16,True,False,15.7,53.77,True
2003-03-01,ZEEL,25.5,25.5,17.99,18.65,121861862,169442912,Saturday,False,-6.57,-26.05,False,False,15.7,53.77,True
2003-04-01,ZEEL,18.56,23.18,18.32,22.94,227982146,1089263616,Tuesday,True,4.290000000000003,23.0,True,False,15.7,53.77,True
2003-05-01,ZEEL,23.08,25.86,22.01,25.59,369468296,463388544,Thursday,False,2.6499999999999986,11.55,True,False,15.7,53.77,True
2003-06-01,ZEEL,25.72,28.43,23.69,26.4,428453437,218401808,Sunday,True,0.8099999999999987,3.17,True,False,15.7,53.77,True
2003-07-01,ZEEL,26.61,37.08,26.37,36.32,482294669,845383040,Tuesday,False,9.920000000000002,37.58,True,False,15.7,53.77,True
2003-08-01,ZEEL,36.47,36.96,28.34,30.83,270422887,723654848,Friday,True,-5.490000000000002,-15.12,False,False,15.7,53.77,True
2003-09-01,ZEEL,31.43,37.55,29.94,36.95,318265934,1267505024,Monday,False,6.1200000000000045,19.85,True,False,15.7,53.77,True
2003-10-01,ZEEL,37.11,44.36,36.11,41.05,320818183,149060928,Wednesday,True,4.099999999999994,11.1,True,False,15.7,53.77,True
2003-11-01,ZEEL,41.47,45.46,36.01,38.86,166584849,389726624,Saturday,False,-2.1899999999999977,-5.33,False,False,15.7,53.77,True
2003-12-01,ZEEL,39.13,47.86,38.61,44.9,206312057,340835840,Monday,True,6.039999999999999,15.54,True,False,15.7,53.77,True
2004-01-01,ZEEL,45.33,52.32,42.2,45.36,350400712,278048320,Thursday,False,0.46000000000000085,1.02,True,True,6.440000000000005,14.34,True
2004-02-01,ZEEL,45.7,47.27,36.68,39.93,211399343,537279296,Sunday,True,-5.43,-11.97,False,True,6.440000000000005,14.34,True
2004-03-01,ZEEL,40.08,41.42,33.85,40.09,213064166,299557056,Monday,False,0.1600000000000037,0.4,True,True,6.440000000000005,14.34,True
2004-04-01,ZEEL,40.27,45.58,37.76,38.15,166466127,346596832,Thursday,True,-1.9400000000000048,-4.84,False,True,6.440000000000005,14.34,True
2004-05-01,ZEEL,38.07,41.26,29.93,38.31,113170415,99434112,Saturday,False,0.1600000000000037,0.42,True,True,6.440000000000005,14.34,True
2004-06-01,ZEEL,38.76,42.71,35.83,37.73,147057373,140716048,Tuesday,True,-0.5800000000000054,-1.51,False,True,6.440000000000005,14.34,True
2004-07-01,ZEEL,38.0,44.42,35.8,42.05,102541651,166169344,Thursday,False,4.32,11.45,True,True,6.440000000000005,14.34,True
2004-08-01,ZEEL,42.05,46.96,39.24,45.75,99388238,116205440,Sunday,True,3.700000000000003,8.8,True,True,6.440000000000005,14.34,True
2004-09-01,ZEEL,45.67,51.43,42.78,45.49,230221087,188183296,Wednesday,False,-0.259999999999998,-0.57,False,True,6.440000000000005,14.34,True
2004-10-01,ZEEL,45.22,49.38,43.71,44.79,58702295,154063472,Friday,True,-0.7000000000000028,-1.54,False,True,6.440000000000005,14.34,True
2004-11-01,ZEEL,44.9,48.79,43.43,45.52,73544125,191176928,Monday,False,0.730000000000004,1.63,True,True,6.440000000000005,14.34,True
2004-12-01,ZEEL,46.06,56.42,44.75,51.34,137993954,131697048,Wednesday,True,5.82,12.79,True,True,6.440000000000005,14.34,True
