Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2000-04-27,ZYDUSLIFE,11.33,11.93,8.44,8.68,11917499,103404168,Thursday,2000-04-21,,,False,False,,,False,True,,,False,True,,,False
2000-05-04,ZYDUSLIFE,8.68,8.99,6.76,7.41,21730499,49078284,Thursday,2000-04-28,1,,False,False,-1.2699999999999996,-14.63,False,False,4.5,56.39,True,True,,,False
2000-05-11,ZYDUSLIFE,8.0,10.89,7.67,10.77,25509749,134328832,Thursday,2000-05-05,2,,True,False,3.3599999999999994,45.34,True,False,4.5,56.39,True,True,,,False
2000-05-18,ZYDUSLIFE,11.2,11.47,9.45,10.52,24246750,40454988,Thursday,2000-05-12,3,,False,False,-0.25,-2.32,False,False,4.5,56.39,True,True,,,False
2000-05-25,ZYDUSLIFE,10.4,11.63,10.22,10.63,19315500,13333809,Thursday,2000-05-19,4,,True,False,0.11000000000000121,1.05,True,False,4.5,56.39,True,True,,,False
2000-06-01,ZYDUSLIFE,10.93,12.8,10.6,12.39,6638250,12857360,Thursday,2000-05-26,1,,False,False,1.7599999999999998,16.56,True,True,-1.5,-12.02,False,True,,,False
2000-06-08,ZYDUSLIFE,12.67,15.94,12.4,15.46,8169000,31392490,Thursday,2000-06-02,2,,True,False,3.0700000000000003,24.78,True,True,-1.5,-12.02,False,True,,,False
2000-06-15,ZYDUSLIFE,14.67,15.6,12.22,12.93,7117500,9287810,Thursday,2000-06-09,3,,False,False,-2.530000000000001,-16.36,False,True,-1.5,-12.02,False,True,,,False
2000-06-22,ZYDUSLIFE,12.93,13.76,12.34,12.47,9170250,9340650,Thursday,2000-06-16,4,,True,False,-0.4599999999999991,-3.56,False,True,-1.5,-12.02,False,True,,,False
2000-06-29,ZYDUSLIFE,12.27,12.43,10.87,11.19,5109750,13570673,Thursday,2000-06-23,5,,False,False,-1.2800000000000011,-10.26,False,True,-1.5,-12.02,False,True,,,False
2000-07-06,ZYDUSLIFE,11.3,11.93,10.73,11.45,6577500,17781300,Thursday,2000-06-30,1,,False,False,0.2599999999999998,2.32,True,False,-1.9299999999999997,-17.58,False,True,,,False
2000-07-13,ZYDUSLIFE,11.34,11.53,10.58,10.97,6132750,5477850,Thursday,2000-07-07,2,,True,False,-0.47999999999999865,-4.19,False,False,-1.9299999999999997,-17.58,False,True,,,False
2000-07-20,ZYDUSLIFE,11.2,11.2,10.2,10.46,3771255,5424974,Thursday,2000-07-14,3,,False,False,-0.5099999999999998,-4.65,False,False,-1.9299999999999997,-17.58,False,True,,,False
2000-07-27,ZYDUSLIFE,10.58,10.59,8.53,9.92,4662735,13531656,Thursday,2000-07-21,4,,True,False,-0.5400000000000009,-5.16,False,False,-1.9299999999999997,-17.58,False,True,,,False
2000-08-03,ZYDUSLIFE,9.93,9.98,8.8,9.07,6041415,8835068,Thursday,2000-07-28,1,,False,False,-0.8499999999999996,-8.57,False,True,0.23999999999999844,2.65,True,True,,,False
2000-08-10,ZYDUSLIFE,9.2,9.2,8.37,8.91,6324735,3559500,Thursday,2000-08-04,2,,True,False,-0.16000000000000014,-1.76,False,True,0.23999999999999844,2.65,True,True,,,False
2000-08-17,ZYDUSLIFE,8.99,9.06,8.57,8.97,2064945,3534596,Thursday,2000-08-11,3,,False,False,0.0600000000000005,0.67,True,True,0.23999999999999844,2.65,True,True,,,False
2000-08-24,ZYDUSLIFE,8.97,9.2,8.67,9.02,2446245,2227432,Thursday,2000-08-18,4,,True,False,0.049999999999998934,0.56,True,True,0.23999999999999844,2.65,True,True,,,False
2000-08-31,ZYDUSLIFE,9.16,9.67,9.0,9.29,3481845,1895422,Thursday,2000-08-25,5,,False,False,0.2699999999999996,2.99,True,True,0.23999999999999844,2.65,True,True,,,False
2000-09-07,ZYDUSLIFE,9.29,10.21,8.97,9.96,6041535,33882408,Thursday,2000-09-01,1,,False,False,0.6700000000000017,7.21,True,False,-0.7199999999999989,-7.75,False,True,,,False
2000-09-14,ZYDUSLIFE,10.27,10.27,8.91,9.06,5388120,3457752,Thursday,2000-09-08,2,,True,False,-0.9000000000000004,-9.04,False,False,-0.7199999999999989,-7.75,False,True,,,False
2000-09-21,ZYDUSLIFE,9.01,9.03,8.28,8.59,2889105,3267765,Thursday,2000-09-15,3,,False,False,-0.47000000000000064,-5.19,False,False,-0.7199999999999989,-7.75,False,True,,,False
2000-09-28,ZYDUSLIFE,8.4,8.73,8.07,8.59,2539380,1293383,Thursday,2000-09-22,4,,True,False,0.0,0.0,False,False,-0.7199999999999989,-7.75,False,True,,,False
2000-10-05,ZYDUSLIFE,8.6,8.98,8.35,8.65,1359780,3013177,Thursday,2000-09-29,1,,False,False,0.0600000000000005,0.7,True,True,0.25,2.92,True,True,,,False
2000-10-12,ZYDUSLIFE,8.6,8.69,7.68,7.81,1454955,4137377,Thursday,2000-10-06,2,,True,False,-0.8400000000000007,-9.71,False,True,0.25,2.92,True,True,,,False
2000-10-19,ZYDUSLIFE,7.62,8.36,7.56,7.87,1998135,2632816,Thursday,2000-10-13,3,,False,False,0.0600000000000005,0.77,True,True,0.25,2.92,True,True,,,False
2000-10-26,ZYDUSLIFE,8.0,8.73,7.34,8.59,4026285,3758899,Thursday,2000-10-20,4,,True,False,0.7199999999999998,9.15,True,True,0.25,2.92,True,True,,,False
2000-11-02,ZYDUSLIFE,8.65,8.99,8.47,8.78,2102160,2041760,Thursday,2000-10-27,1,,False,False,0.1899999999999995,2.21,True,False,1.2599999999999998,14.29,True,True,,,False
2000-11-09,ZYDUSLIFE,8.83,10.15,8.68,9.43,6497055,6407969,Thursday,2000-11-03,2,,True,False,0.6500000000000004,7.4,True,False,1.2599999999999998,14.29,True,True,,,False
2000-11-16,ZYDUSLIFE,9.58,9.87,9.0,9.51,2886300,1511275,Thursday,2000-11-10,3,,False,False,0.08000000000000007,0.85,True,False,1.2599999999999998,14.29,True,True,,,False
2000-11-23,ZYDUSLIFE,9.41,10.5,9.4,10.26,6850335,26104532,Thursday,2000-11-17,4,,True,False,0.75,7.89,True,False,1.2599999999999998,14.29,True,True,,,False
2000-11-30,ZYDUSLIFE,10.23,10.67,9.67,10.08,20607105,9503827,Thursday,2000-11-24,5,,False,False,-0.17999999999999972,-1.75,False,False,1.2599999999999998,14.29,True,True,,,False
2000-12-07,ZYDUSLIFE,9.93,10.66,9.93,10.15,4763910,10611977,Thursday,2000-12-01,1,,False,False,0.07000000000000028,0.69,True,True,0.4499999999999993,4.46,True,True,,,False
