StartDate,EndDate,Date,Exit Poll Date,Year,PreElectionYears,PostElectionYears,MidElectionYears
1951-10-25,1952-02-21,1952-03-05,,1952,1951,1953,1954
1957-02-24,1957-06-21,1957-03-05,,1957,1956,1958,1955
1962-02-19,1962-03-14,1962-03-12,,1962,1961,1963,1959
1967-02-17,1967-03-21,1967-03-27,,1967,1966,1968,1960
1971-03-01,1971-03-10,1971-03-12,,1971,1970,1972,1964
1977-03-16,1977-03-20,1977-03-20,,1977,1976,1978,1965
1980-01-03,1980-01-06,1980-01-06,,1980,1979,1981,1969
1984-12-24,1984-12-28,1984-12-28,,1984,1983,1985,1973
1989-11-22,1989-12-05,1989-12-06,,1989,1988,1990,1974
1991-05-20,1991-06-15,1991-06-20,,1991,1990,1992,1975
1996-04-27,1996-05-22,1996-05-23,,1996,1995,1997,1982
1998-02-16,1998-03-07,1998-03-07,,1998,1997,1999,1986
1999-09-05,1999-10-03,1999-09-06,,1999,1998,2000,1987
2004-04-20,2004-05-10,2004-05-13,2004-05-11,2004,2003,2005,1993
2009-04-16,2009-05-13,2009-05-16,2009-05-13,2009,2008,2010,1994
2014-04-07,2014-05-12,2014-05-16,2014-05-12,2014,2013,2015,2001
2019-04-11,2019-05-19,2019-05-23,2019-05-19,2019,2018,2020,2002
,,,,,,,2006
,,,,,,,2007
,,,,,,,2011
,,,,,,,2012
,,,,,,,2016
,,,,,,,2017
,,,,,,,2021
,,,,,,,2022
