BROAD BASED-INDICES,SECTOR-INDICES,NIFTY 50-STOCKS,NIFTY 100-STOCKS,NIFTY 200-STOCKS,F&O-STOCKS
NIFTY50,NIFTYAUTO,ADANIENT,ABB,ABB,3IINFOTECH
NIFTYNEXT50,BANKNIFTY,ADANIPORTS,ADANIENSOL,ACC,AARTIIND
NIFTY100,NIFTYFINANCIALSERVICES,APOLLOHOSP,ADANIENT,APLAPOLLO,ABAN
NIFTY200,NIFTYFINANCIALSERVICES25/50,ASIANPAINT,ADANIGREEN,AUBANK,ABB
NIFTYTOTALMARKET,NIFTYFINANCIALSERVICESEXBANK,AXISBANK,ADANIPORTS,ADANIENSOL,ABBOTINDIA
NIFTY500,NIFTYFMCG,BAJAJ-AUTO,ATGL,ADANIENT,ABCAPITAL
NIFTY500MULTICAP,NIFTYHEALTHCARE,BAJFINANCE,AWL,ADANIGREEN,ABFRL
NIFTYMIDCAP150,NIFTYIT,BAJAJFINSV,AMBUJACEM,ADANIPORTS,ABGSHIP
NIFTYMIDCAP50,NIFTYMEDIA,BPCL,APOLLOHOSP,ADANIPOWER,ABIRLANUVO
NIFTYMIDCAPSELECT,NIFTYMEDIA,BHARTIARTL,ASIANPAINT,ATGL,ACC
NIFTYMIDCAP100,NIFTYPHARMA,BRITANNIA,DMART,AWL,ADANIENT
NIFTYSMALLCAP250,NIFTYPRIVATEBANK,CIPLA,AXISBANK,ABCAPITAL,ADANIPORTS
NIFTYSMALLCAP50,NIFTYPSUBANK,COALINDIA,BAJAJ-AUTO,ABFRL,ADANIPOWER
NIFTYSMALLCAP100,NIFTYREALTY,DIVISLAB,BAJFINANCE,ALKEM,ADLABSFILM
NIFTYMICROCAP250,NIFTYCONSUMERDURABLES,DRREDDY,BAJAJFINSV,AMBUJACEM,AIAENG
NIFTYLARGEMIDCAP250,NIFTYOILANDGAS,EICHERMOT,BAJAJHLDNG,APOLLOHOSP,AIL
NIFTYMIDSMALLCAP400,NIFTYMIDSMALLFINANCIALSERVICES,GRASIM,BANKBARODA,APOLLOTYRE,AIRDECCAN
,NIFTYMIDSMALLHEALTHCARE,HCLTECH,BERGEPAINT,ASHOKLEY,AJANTPHARM
,NIFTYMIDSMALLIT&TELECOM,HDFCBANK,BEL,ASIANPAINT,AKRUTI
,,HDFCLIFE,BPCL,ASTRAL,ALBK
,,HEROMOTOCO,BHARTIARTL,AUROPHARMA,ALKEM
,,HINDALCO,BOSCHLTD,DMART,ALOKTEXT
,,HINDUNILVR,BRITANNIA,AXISBANK,ALSTOMT&D
,,ICICIBANK,CANBK,BAJAJ-AUTO,AMARAJABAT
,,ITC,CHOLAFIN,BAJFINANCE,AMBUJACEM
,,INDUSINDBK,CIPLA,BAJAJFINSV,AMTEKAUTO
,,INFY,COALINDIA,BAJAJHLDNG,ANDHRABANK
,,JSWSTEEL,COLPAL,BALKRISIND,ANSALINFRA
,,KOTAKBANK,DLF,BANDHANBNK,APIL
,,LTIM,DABUR,BANKBARODA,APLLTD
,,LT,DIVISLAB,BANKINDIA,APOLLOHOSP
,,M&M,DRREDDY,BATAINDIA,APOLLOTYRE
,,MARUTI,EICHERMOT,BERGEPAINT,APTECHT
,,NTPC,GAIL,BDL,AREVAT&D
,,NESTLEIND,GODREJCP,BEL,ARVIND
,,ONGC,GRASIM,BHARATFORG,ARVINDMILL
,,POWERGRID,HCLTECH,BHEL,ASHOKLEY
,,RELIANCE,HDFCBANK,BPCL,ASIANPAINT
,,SBILIFE,HDFCLIFE,BHARTIARTL,ASTRAL
,,SBIN,HAVELLS,BIOCON,ATUL
,,SUNPHARMA,HEROMOTOCO,BOSCHLTD,AUBANK
,,TCS,HINDALCO,BRITANNIA,AUROPHARMA
,,TATACONSUM,HAL,CGPOWER,AXISBANK
,,TATAMOTORS,HINDUNILVR,CANBK,BAJAJ-AUTO
,,TATASTEEL,ICICIBANK,CHOLAFIN,BAJAJAUTO
,,TECHM,ICICIGI,CIPLA,BAJAJFINSV
,,TITAN,ICICIPRULI,COALINDIA,BAJAJHIND
,,UPL,ITC,COFORGE,BAJAJHLDNG
,,ULTRACEMCO,IOC,COLPAL,BAJFINANCE
,,WIPRO,IRCTC,CONCOR,BALAJITELE
,,,INDUSINDBK,COROMANDEL,BALKRISIND
,,,NAUKRI,CROMPTON,BALLARPUR
,,,INFY,CUMMINSIND,BALRAMCHIN
,,,INDIGO,DLF,BANDHANBNK
,,,JSWSTEEL,DABUR,BANKBARODA
,,,JINDALSTEL,DALBHARAT,BANKINDIA
,,,KOTAKBANK,DEEPAKNTR,BANKNIFTY
,,,LTIM,DELHIVERY,BATAINDIA
,,,LT,DEVYANI,BEL
,,,LICI,DIVISLAB,BEML
,,,M&M,DIXON,BERGEPAINT
,,,MARICO,LALPATHLAB,BFUTILITIE
,,,MARUTI,DRREDDY,BGRENERGY
,,,MUTHOOTFIN,EICHERMOT,BHARATFIN
,,,NTPC,ESCORTS,BHARATFORG
,,,NESTLEIND,NYKAA,BHARTIARTL
,,,ONGC,FEDERALBNK,BHEL
,,,PIIND,FACT,BHUSANSTL
,,,PIDILITIND,FORTIS,BILT
,,,POWERGRID,GAIL,BINDALAGRO
